,ASIN,product,brand,name,date,score,title,comment
0,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,Amazon カスタマー,2019年3月16日,4.0,スタンダード？な淹れ方,紅茶は茶葉を購入して淹れていますが、一人で飲むときはティーパックが重宝します。色々なティーパックを買って飲んでいますが気に入るとそればかり飲むので飽きる。次回もこれを購入すると思います。くせがなくて飲みやすいです←これが一番お薦めなてんです。ティーパック２個使いスパイスも入れて濃いめのチャイも美味しいですよ。１個にしたり２個にしたり気分で臨機応変。
1,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,宙,2019年9月10日,4.0,原価の倍以上の価格設定,以前オリジナルではない普通のピラミッドパックを買いましたが普通に美味しかったのですが、このオリジナルという商品は香りがあまりしなくて大変残念でした。次回はオリジナルではないものを購入しようと思います。追記飲み進んでいくうちにもう残り1/3位になったところで味が美味しくなってきました。不思議です。パッキングがあまり密閉されていないのが要因なのでしょうか？ですから本来はそんなに不味くないということにして☆3→4に変更しました。
2,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,crane,2020年10月5日,3.0,日常使いに最適,イギリスの一般家庭で一番飲まれているブラントだと、あるブログで読み、では試しにと思って買ったのです。コスパだけなら文句なしなのですが、紅茶の味わいがどうも物足りなく思いました。値段の比較では太刀打ちできないことは承知のうえで、その辺のスーパーでも売っているリプトンのイエローパッケージのほうが、はるかに紅茶の味わいがあります、と思いました。
3,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,booboopikaru,2019年2月2日,4.0,オリジナルという名前のパックはイマイチでした。,イギリス土産にもらった、ヨークシャーティーが美味しかったのですが、日本ではなかなか買えないので、同じく人気のこちらを買ってみました。ヨークシャーティーの方が濃くておいしいです。うーん、残念❗️
4,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,じゅん,2020年5月20日,4.0,微妙・・・,ハイエンドな茶葉も揃えて楽しんでいるのですが、これはこれで必要な存在です。手軽にほっこりミルクティーしたい時、気を使わずにお湯を沸かしてすぐ飲める、ミルクにちょうどいい濃さ、ほうっておいても濃すぎない、とにかく安い、保存は適当に、など便利です。
5,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,Amazonヘビーユーザー,2017年2月23日,5.0,薄いです,ザ・スタンダード！癖がなく王道の紅茶です。紐の付いていないピラミッドバッグです。一般的なティーバッグよりも濃く出るため、ティーポット(600ml)に放り込んでストレートで、マグカップ(250ml)でミルクティーにと毎日飲んでます。個包装ではないですが、箱が二重蓋構造になっていて気持ち衛生的☆
6,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,Swanilda,2021年5月21日,4.0,お手軽ミルクティー,ギャラガー兄弟にボロクソ言われているので飲んでみたが、特段ヨークシャーティーとの違いは感じられなかった。イギリス人の紅茶に対する味覚の鋭敏さが確認できただけでも勉強になった。
7,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,popo,2020年12月6日,3.0,日常飲むのに最高,ピラミッド型で良いのですが、紐なしのため浸けっぱなしか、スプーンで拾い上げるか・・・！普段使いには手頃な値段でそれなりだと思います。
8,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,PANDAMA,2021年3月6日,3.0,ミルクティにピッタリ。,イギリス土産で買って帰ってから、家族がこの紅茶を気に入ってずっと買い続けています。関税がかかるので、現地で買う何倍にもなるのは仕方がないとしても、この数年、供給が安定しないのか、巷でも見かけなくなり、通販でも徐々に価格が高騰。もう買えない。美味しいのにちょっと残念です。
9,B0001LQKBQ,ピージーチップス ピラミッド型ティーバッグ ×80袋 [正規輸入品],ピージーティップス,apple-pop,2020年1月27日,5.0,ミルクティーにぴったり。,待ちに待った商品が届きました。寒い時期なので、ストレートやミルクティーなどで堪能します。また、海外からの商品で到着に時間がかかるのを忘れ、ショップに問い合わせをした際とても丁寧に対応いただきました。ありがとうございました。
