,ASIN,product,brand,name,date,score,title,comment
0,MTB,2014年4月5日,5.0,体にしみるおいしさ,いろんなルイボスティーを試しましたけど、その中ではこれが一番おいしいと思います。ホットでもおいしいのですが、煮沸したルイボスティーを冷蔵庫で冷やしたのを夏場に飲むのが、とにかく最高です。うちでは「夏の麦茶」なんてもう過去の遺物になりました。,,,
1,風,2014年2月20日,5.0,ティーバックになっているので使いやすい,以前は同じメーカーのルイボスティー(葉茶)を購入していましたが、販売終了になってしまいました。ハーブティーとブレンドして頂くことも多いので、この方が使い勝手が良くなりました。お味は癖が無く気に入っています^^,,,
2,ほのか,2014年3月28日,5.0,大変気に入っています。,近所のラーメン屋さんが同じものを店舗でつかっていて、似た製品をいろいろ試しましたが、やっぱりこれが一番おいしいです。当時妻が妊婦でしたので、ノンカフェインのお茶でおいしいものをと思い、子供が生まれた現在も愛用しています。個人的にはもっとたくさんの量のお得パックなどもあったらうれしいです。,,,
3,レオくん,2020年7月1日,4.0,何で,定期便の最初は箱の中に銀色の袋で乾燥剤入ってたのに２回目からは透明の袋で乾燥剤も入ってないし中身同じなのか気になります。,,,
4,９９７,2015年10月29日,5.0,有機ルイボスティー！,有機のルイボスティーは葉っぱで購入すると高くなかなか手が出ませんでしたがこれならコスパもよく安心して家族で飲むことができます。定期便で安く購入できて満足です！,,,
5,Yuriko,2018年7月3日,5.0,ルイボスだけか…。,以前はアマランサスとのMixが有りました。復活を期待。,,,
6,豊田充広,2019年12月17日,5.0,おいしい,おいしくいただいてます,,,
7,ダンボのお父さん,2016年8月6日,5.0,健康的,健康にやさしい商品で、健康を気遣う高齢者が安心して飲めるのが助かります。,,,
8,Amazonのお客様,2016年8月4日,5.0,ある程度濃く出ました,今まで飲んだルイボスティーの中では、色が薄くなく、味も好みです。,,,
9,しみなお,2014年3月17日,4.0,飲みやすい,子供も飲みやすい。夏場など、沢山飲むのでもう少し沢山のパックがあるお徳用かあると嬉しいのにな…,,,
10,Amazon カスタマー,2015年9月25日,5.0,美味しい,前まではお水を飲んでいたのに美味しすぎてご飯を食べる時も飲んでます！,,,
11,千鳥,2014年8月28日,5.0,美白に,美白に効果が、あります！細かいシミがとれてきた様に感じます。飲み続けます。,,,
12,Happy&kiss,2014年10月24日,5.0,濃い,小分けになっていて良い。値段と味のバランスが良い。やかんで煮出して飲んでます。次も買うと思います。,,,
13,ぐそん,2015年1月20日,5.0,コスパ良し,そこそこ数が入っていて、コスパも良かった。味も全く問題なし、良いルイボスティーでした。,,,
14,æ æ ç ±ç´,2015年6月24日,5.0,お気に入りです♪,抗酸化作用のあるルイボスティー♪家族で飲んでます！これからもリピします。,,,
15,青山優,2013年4月23日,5.0,良かった！,以前から、飲んでいましたが、近くの店が、置かなくなり困っていました。,,,
16,PTLP,2016年5月17日,4.0,V(^_^)V,tea bagになっているので飲んだ後の処理が楽チン❗️味もスッキリした味で飲みやすいです。またリピします。（≧∇≦）,,,
