,ASIN,product,brand,name,date,score,title,comment
0,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,陽気な午後,2020年10月21日,5.0,カフェインレス,店頭で良く買っていたものが安く出ていたので購入しました。何故かサンプルで青汁が２本付いていました(笑)市販されてるルイボスティーの中ではかなり飲みやすい方だと思います。
1,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,かんみ,2019年8月6日,1.0,香りよい,色も匂いも全然ダメ！山本漢方さんシリーズ多いですがこれは申し訳無いけどハズレでした
2,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,Amazon カスタマー,2021年5月18日,5.0,店頭より安かった。,市販で売ってるものより値段が安いです。色んなルイボスティーの中で一番美味しいですね。
3,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,星のささやき,2020年1月3日,5.0,味が薄すぎ,ルイボスティーも色々あり、これが飲みやすいという情報を得て買いました。やや水多めの1.7Lに1パックで10分煮出して飲むのが濃すぎず飲みやすいです。 ノンカフェインなので親子で飲めるし、温かいままでも、冷やしても、どちらも美味しく飲めます。
4,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,Ramu,2017年3月18日,5.0,やっぱりこの風味が最高！,少し癖はありますが、飲みやいです。母乳育児をしているので、ノンカフェインで助かっています。
5,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,Amazon カスタマー,2020年8月20日,5.0,初めての人におすすめ,美味しいくて飲みやすいです。色もとても綺麗に出ます。
6,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,ちーさん,2015年7月24日,5.0,飲みやすい,友人に勧められて購入。熱湯で煮出すのが面倒なので、今度からはお湯にいれるだけのにします。でも、この商品の品質は最高だと思うので、星５つでございます。
7,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,西川もも恵,2020年10月20日,5.0,美味しいです。,こちらの商品はルイボスティーの中でも美味しく品質も安心だと思います。価格もお手頃で長くおつきあいできるのも良いです。
8,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,hirorin,2018年1月16日,5.0,体にいいルイボス茶。,我が家はルイボスティー愛飲家ですが、店頭で購入すると結構お高い！夏場は特に消費量が高くなるので、ネットで見つけてまとめ買いしました。
9,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,かりん,2013年10月2日,4.0,美味しかったです。,お値段からもお手頃です。１パックでたっぷり１リットル以上作れます。
10,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,Amazon カスタマー,2013年7月28日,5.0,お安く買えました！,他店で買うと高いです。山本漢方さんの商品をいつも購入しています
11,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,青山健太郎,2015年8月2日,5.0,お手頃です,何種類かルイボス茶を試したのですが、家族全員でこれがイイ！となりました。赤ちゃんも飲めるのが良いですねー。
12,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,西條素子,2013年8月29日,5.0,安いし美味しい,近所のディスカウントドラッグストアでは６９９円で買って飲んでいたので、安く買えて良かったです。味は飲みやすいです。
13,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,ゲンジョー,2016年5月16日,3.0,飲みやすいのね～,ルイボス茶で安かったので購入したが香りが薄いと思いました。茶の出が悪いような気がします。
14,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,りえ,2016年5月9日,5.0,安く買えた～,クセがなく毎日飲んでます。おまけで付いてくる青汁も美味しい。
15,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,三村　優,2016年11月25日,5.0,いまいちかな,茶葉がたっぷりで濃いルイボスティーが飲めます！風味がガッツリ出るのに渋さがなく、定期お得便にして大正解！
16,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,みと,2013年10月6日,5.0,飲みやすい,とても美味しくのみやすいです。ちょっと高いかな。でも味は抜群。
17,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,愛知の教師,2015年6月19日,4.0,飲みやすいです。,ルイボス茶は初めてです。思ったより飲みやすかったです。お客様には不評だったので☆４コにしました。
18,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,らん,2013年11月28日,4.0,おいしい,山本漢方のなた豆茶を愛飲していますが、ためしに購入してみました。ジャスミンティに似た味わいで、それなりにおいしいのですが、やっぱり慣れたなた豆茶を選んでしまいます。
19,B000FQTEB0,山本漢方製薬 ルイボス茶100% 3gX20H,山本漢方製薬,甘酢ん,2014年5月11日,2.0,冷水用で,期待が大きかっただけに､､何も変化なくガッカリです。1箱では変化しないのかと思い追加しましたが ﾙｲﾎﾞｽﾃｨｰ結局 何も変化ありませんでしたしかし この商品他の品と比べて安いので お茶と飲むには いいのかも...
