,ASIN,product,variant,brand,name,date,score,title,comment
0,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),恵美子,2023年5月20日,5.0,ポンパドールミントティー,値段が安くておいしいです。
1,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),Reviewer,2023年4月28日,5.0,安心のポンパドール。,いつも通り。
2,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),okisan,2023年4月26日,5.0,とても美味しい,みんとてかお気に入りなので飲みやすくてよかった。
3,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),大地,2023年3月23日,5.0,今だけ？おまけつき,飲みやすさは知っていたので購入。届いてひと箱を開けたら違う色のものが入ってました。え？と思ったら今だけでしょうか・・・ルイボス＆ピーチがおまけに入っていました。とても得をした気分。味は他の方のレビューを参考にしてください。
4,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),bcko,2022年11月14日,4.0,サッパリした感じ,ミントはそんなに好きじゃないですが、これは何度も飲めています。覚醒効果があると聞いてカフェイン飲料の代わりに飲んでいます。
5,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),キルゴア,2022年10月3日,4.0,某メーカーでちょうどミントミルクティーが大々的に出た時だったので,あちらはコスパが高いので…こちらもミントはミントでしょ と言うつもりで…… しかし何かが違う… 純粋なリーフと甘味料で加工しまくった(別にマニア向けと言うのでは無く一般向け)な販売ルートの商品の違いと言えばそれまでなんだが。飲みやすい口当たりは向こうなんだろうな。
6,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),Amazon カスタマー,2022年6月6日,4.0,ちょっぴりエグい❗,もう少しさわやかな感じのが欲しい。
7,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),不動心,2022年5月13日,4.0,すっきりした味,ほぼ毎日飲んでます。
8,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),田中花子,2022年6月27日,5.0,王道,ミントティーはこれ。
9,B000LZSFNS,ポンパドール ペパーミントリーフハーブティー 10P入,ポンパドール,フレーバー名: ペパーミントサイズ: 10袋 (x 1),猫好き,2022年2月2日,5.0,ミント好きなら黙ってこれだろうが！！,エジプシャン料理店で初めて飲んだ生のミントが入ってるミントティーがこれくらい強くて、ずっとこの強さを求めてた。若い頃は心に余裕があって弱目のミントティーに生のミントを浮かべてうふふ、なんてやっていたが、なんかめんどくなり近所のスーパーでポンパドールのレモンジンジャーと共にノリで購入。これ！これ！これこれこれこれ！！Ah〜真夏のJAMBOREE！！レゲェ砂浜BIG WAVE!!本当にこのノリくらい強くてスッキリする。あとハーブティー特有の臭みも少ないかな。ないわけじゃないけど。安いしハーブティー失敗多いんで、博打するより、これ買っとけ！って感じがする。朝や仕事始めに飲むと目覚めがいい。
