,ASIN,product,brand,name,date,score,title,comment
0,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),Wa.t,2015年10月30日,4.0,シンプルなのが良いです,ネットで噂になっていたルイボスティー。みんなが美味しい美味しいと飲んでいるようなのでさっそく購入し急須に入れて30分間お湯で抽出してみました。臭いは一瞬湿布のような臭いに惑わされてしまいましたが、よく嗅いで見るとコーヒーにはない香ばしい臭いがしました。きっと味も美味しいのだろうと思って飲んでみましたが、自分の舌がおかしいのか、まったくの無味です。味はまったくしませんでしたが、ハーブのような、さわやかな香りが鼻をスーっと突き抜けていきました。緑茶や紅茶にはない臭いでしたが、味がまったくないので一つ星を抜かせていただきました。効果のほどは、ほぼ毎日1ℓほど飲んでいると1週間後に肌がキラキラしている感じです。どうやら美肌の効果は本当らしい。さらに、体の温まり具合が最高に持ちます。緑茶などは２０分ほどすると暖かさは消えてしまいますが、このルイボスティーを飲んでから2時間ほどくらいたっても体がポカポカするようになりました。そのためか夜寝る前にコップ一杯飲んでおりますが、寝るときストンとすぐに眠れるようになりました。緑茶やコーヒーのようにカフェインがまったく入っていないのが本当にgoodです。そしてこのお値段200ｇで1000円。大容量かつ、激安です。　これひとつあれば3ヶ月ほどは持つ気がします！これから冬になりますので、このルイボスティーに生姜とレモン、そしてハチミツを加えた体に優しいハーブティーを作っていきたいですね。
1,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),123,2019年5月10日,5.0,初心者向けの飲みやすいルイボス,いろんなサイトでいろんなルイボス飲みましたが、ここのが好きです。いろんなお茶とブレンドしてます。
2,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),こなこな,2012年7月6日,5.0,ルイボスティーを飲み始めたら肌がキレイになった気がする。,我が家ではやかんで大量に作って、お茶・水代わりに飲んでいる。数あるルイボスティーの中で、有機にも係わらず、最もコスパが良いので、繰り返し購入している。最初は、紅茶の飲み過ぎによるカフェイン中毒解消の為に切り替えた。ノンカフェインなので、妊娠・授乳中の紅茶好きにお薦め。苦くないので、胃が悪い時もすんなり受け付ける。やかんに茶葉をいれたままでも苦くならない。作り方は簡単やかんいっぱいの水に、ティースプーン４杯分のルイボスをお茶パックに入れて、沸かすだけ
3,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),ＴＯＮ,2021年3月24日,5.0,一番すきなメーカーです,うちのお茶は年中これです。カフェインレスで子どもにも安心して飲ませられるのでありがたいです。薫りもよく味も良いので手放せません。ただ値段が少し高いのが考え物です。まとめ買いでもう少し安く購入できればいいのですが。。
4,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),HG,2015年4月19日,5.0,やかんに茶葉を入れたままでも苦くならない,ルイボスティーを日常的にヤカンに沸かして麦茶代わりに飲んでいます。今までスーパーや薬局の店頭に売られていた物を飲んでいましたが、こちらの方が割安なので買ってみました。お茶パックに詰める手間がありますが、特に他の製品と味は劣らず、美味しいので、定期便で愛飲しようと思います。量が多いので、ルイボスティーを飲んだ事がない方は、まず少量のティーバックの製品から試してみるのをお勧めします。
5,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),柿本　達郎,2015年8月6日,5.0,我が家の定番茶！,おいしかったのでリピート。これを大さじ一杯ずつティーパックにして、沸騰した湯1.2L程をサーモスのポットに入れてお茶を作っています。香りがよく、ストレートでも美味しいけど、牛乳と蜂蜜を入れミルクティーで飲むのが気に入っています。ストレートで作っておいて、気分でテイストを変えて1日中楽しんでいます。
6,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),あいこ,2020年7月29日,5.0,ルイボスティー常飲者にはお勧め！,店頭で同じものを買うより安くて嬉しいです。味もとてもいいし、家族全員でガンガン飲んでいます！爽やかな後味と、スッキリした飲み心地で、ホットでも好きですねー。買い続けますー。
7,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),YゆかりY,2018年6月9日,5.0,色、香り、味、どれもよい!,ヤカンで煮出すのでこのタイプを探していました。安い割にしっかりとした味で美味しいです。色も綺麗に出るので、オススメです。なんでこんなに安いんでしょうね？
8,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),Coco弐番館,2013年7月17日,4.0,お茶パックに小分けにして冷凍庫へ,珈琲メジャー１スプーンに、黒豆茶を合わせて煮出してます。１日に２Ｌ近く飲んでしまっていますが味もしっかりしていて、利尿作用抜群です。ルイボスの中では一番いいなっておもいました。今後もリピする予定です。妊娠中だし、ルイボスをいろいろのんでみたのですが一番でした～。（わたしには）
9,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),＠＠,2019年5月20日,5.0,お茶パックで。ミルクティーにしてます。,ずいぶん前から麦茶代わりに飲用しています。お得で、飲みやすいので無くなったらまたリピしたいと思います。
10,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),都,2015年4月11日,5.0,トイレが近い～,今までは他社のホームページからルイボスティーを注文していました。amazonで同じ200ｇの物がある事を知り、値段も今までの物（約￥2
11,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),マーヤ,2013年10月22日,4.0,無くなったのでリピート。,私自身は健康効果はよくわかりませんが、夫はお通じがよくなったと言っていました。（というか、ちょっとおなかが下ったみたい）お値段が手ごろで量がたくさんで、味がよく飲みやすいので、麦茶の代わりにずっと飲んでいます。ふつうにおいしいので、今後もリピートしようと思います。
12,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),とらたこ,2015年6月18日,5.0,安く購入できて、嬉しい,こちらのルイボスティー香りがとてもいいです。すぐなくなってしまうので他社のものを購入したことがありましたが、香りの良さや味が全然違ったのでこちらに戻ってきました。一つ気になったのが腐りやすい。冷蔵庫にすぐ入れないと臭いががらッと変わる
13,B000V2EWI8,OSK 有機 ルイボスティー 200g,OSK(オーエスケー),サザエの500円,2015年5月25日,5.0,おいしくごくごくのめる,気まぐれでその日のお茶を選んでいるので定期購入するほどではないが、うちには欠かせないお茶。カフェインフリーなので夜でも飲みやすく、茶葉の中で一番飲んでいるかもしれない。Kalita 500サーバーNに大さじとお湯を入れて、茶こしで茶葉を漉して頂いてます。
