,ASIN,product,brand,name,date,score,title,comment
0,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),ちくわ,2020年7月11日,3.0,安価で美味しいです,商品の評価ではありません。商品自体はいつも愛飲しており美味しくて星５で問題ありません。今回、定期購入とは別に３箱を注文しましたが、いつもの大きな段ボール箱ではなく内側にプチプチが付いた灰色の大きなビニール袋で届きました。台紙１枚入ってましたが、案の定、押しつぶされて３箱ともしわくちゃです。一部は中身のスティックが出てしまっていました。この商品の外箱はケースとしても使える作りですが、破損してるので中身はすべて出すしかありません。今回は運送中のトラブルですが、運送会社よりもアマゾンの梱包に問題があったと思います。返品も面倒なのでサポートには連絡しませんがこちらのレビューに記録しておきます。
1,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),猫之蔵,2018年10月15日,5.0,甘味料嫌いにはありがたい,ブレンディスティック商品ほとんどに甘味料(アスパルテーム・L-フェニルアラニン化合物)が入っていますね。ずっと前は定番商品にも含まれてなかったのに今や当たり前。砂糖なしは甘味料含まれてないから買っています。人工甘味料なしってないの？残念ですね寒い日の朝はおいしいですね(^-^)
2,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),shinchan,2018年2月17日,4.0,梱包・運送トラブル,コストパフォーマンスが良く美味しいのですが同社のカフェオレやココアオレと比べると人工甘味料の味が強く出ているのでそういう味が苦手な方は少し注意かもしれません1本55キロカロリーですスーパー等でよく498円で売られていて特売等では398円で売られいますamazonでの購入時に参考になれば嬉しいです
3,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),Amazon カスタマー,2019年1月23日,3.0,安くて人工甘味料なしなら、,薄いココアは嫌なので、いつも牛乳に混ぜて飲んでいます。美味しいですが、かなり甘いです。バンホーテンとかの方がココア感、チョコ感があり、私は好みです。また、近所のドラッグストアで税別298円で売っており、高く購入してしまったことが残念でした。
4,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),ちくわ,2019年3月27日,5.0,甘味に若干癖があります,このスティックタイプのカフェオレは飽きない味で愛飲しています。メリット、デメリットを以下に記します。メリット・1本あたり15円(2019年3月時点)とコストパフォーマンスが良い・甘すぎず、ミルクが多めなのでマイルドで優しい味わい。飽きない味わい・一本が一本が個包装されていて持ち運びやすい→家で購入し、その内10本位を職場に持参可能デメリット・人によっては甘すぎるメリットデメリットを比べると、概ねメリットがより大きいと思われます。10本セットのものを先に購入した上で試飲し、そしてこの30本セットを購入するかどうか検討すると良いと思います。
5,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),Amazon カスタマー,2018年2月25日,5.0,甘いです。,うるさい家内から「お父さん、ココアは”〇〇〇ォーテン”でしょ！と文句を言われましたがAGFブレンディは小生ののお気に入りのメーカー4さんなので、購入した。飲んでみて、美味しいので、自分一人で楽しんでおります。お薦めです。
6,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),メコノプシス,2020年2月7日,1.0,飽きない味,子供の時、良く飲んでました。大人になり飲まなくなって、夜寒い時身体暖めるホットココア思いだし、バントリーの追加として、Blendy は有名だしstick だから熱いお湯があれば、と注文しました。甘過ぎて飲める代物では、ありません。甘くなければ砂糖足すなり出来ますが、引く事は出来ません。全部捨てました。
7,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),新人写真マニア,2021年1月7日,4.0,とても美味しいです。,大人のほろ苦を以前スーパーで買っていましたが価格は忘れていました。コメントを見て，買い合わせで高上りを選んだかと後悔しましたが、本日スーパーに行って確かめたところ。この商品だけ６００円以上しました。此れ、このシリーズの新製品ですか？　以前は、この黄色い箱は無かった気がします。甘すぎる程の甘さは感じませんしコーヒー成分が薄めかな？　優し過ぎて、コーヒーの苦みを感じません。それでも、朝の一杯として充分覚醒しますｗｗ。苦みで、ガツンと来る感じが無いので物足りなさを感じる人は居るかもしれませんが、私には充分です。ネットで買って凄いお得感は有りませんが、損をした感じも有りません。普通ですね。
8,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),lemonade,2018年4月22日,5.0,入院中の高齢の母へプレゼント　定期便♪,今までブレンディスティックのカロリーハーフとノンシュガーと緑の箱のものを買ったことがあります大人のほろにがが一番すきですお湯を注ぐだけでできるのがほんと楽です
9,B000V2EWVU,AGF ブレンディ スティック カフェオレ 30本 【 スティックコーヒー 】,AGF(エージーエフ),サク山チョコ三郎,2020年11月9日,4.0,コスパいい,寒くなってきたので届いてから最近始めて飲みました！！！((ﾐ`ｴ'ﾐ)) ｸｸｸ･･甘ったるいかなーでもでも牛乳で作ったら喫茶店のココアになるのでお湯と牛乳で作るのに邪魔くさい時はお湯になってまう金額的にはそこらのスーパーのが安いのかなー
