,ASIN,product,variant,brand,name,date,score,title,comment
0,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,chunhyang,2023年5月16日,5.0,ハーブティだけど,結構なライム感でよくある優しいハーブティではないかんじ私はミントティと合わせて飲んでいます
1,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Jojo,2023年1月16日,4.0,Nothing special,As the title says
2,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,下僕,2021年12月3日,4.0,高い。うまい。,高過ぎるのでたくさんは買えません。味はブランド紅茶より劣ります。でも紅茶にライムとレモンの香りをつけただけのものではなく、ライムとレモンがメインのハーブティのような味わいで、とても好きです。一箱500円以上は、高過ぎるので頻繁には買えません。因みに、30～50cc程度のお湯で３分煎じ、100%オレンジジュース(特にポンジュース辺りの濃口がお勧め)180～200cc程度を注ぎ足し、700wの電子レンジで１分20秒を目安に温めると、○タバのオレンジティーに近い味わいに。お好みでシナモンシュガーを足したり、オレンジジュースを150cc＋赤ワイン50ccなどに置き換えてサングリア風にしてもおいしいです。煮出すとライムの方が強く際立ちます。
3,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2022年4月20日,5.0,美味しい,とても香りも味もいいと思います。国産のティーパックを日頃飲んでましたがこちらを気に入りました。リピしたいと思います。
4,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2022年4月1日,5.0,ハーブティーレモンライム,とても爽やかな香りでスッキリとした味わいです。そのまま飲んでも美味しいですが、紅茶の茶葉と一緒に淹れるとレモンライムティーになり２度美味しく飲めました！
5,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,タカさん,2022年3月26日,5.0,これは、当たり！,フルーツハーブティーで美味しいのをみつけました。オススメです！
6,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,a,2021年3月16日,4.0,柑橘の香り、風味がよい,柑橘の香り、風味がほどよくのみやすい。デイリーユースはないけど、バリエーションのひとつとして、たまにのむとおいしい。こちらのハーブティは、オレンジジンジャーもおいしかった。ストロベリー・バニラはいまいち。
7,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,sweety,2022年2月19日,5.0,冷めても香り高い！,袋から香るサッパリな柑橘のハーブティーは ホットでも冷めても上品な香りです。贈り物にも喜ばれます！
8,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2021年8月3日,5.0,ロンドンフルーツ＆ハーブのなかで一番のお気に入り！,いつも寝る前にいただいていますが、いい香りに癒やされてホッとします。暑い日でもレモンとライムですっきりです。
9,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Aoi,2021年1月28日,3.0,かなりサッパリ,サッパリしていて味は薄いですがまぁ、飲みやすかったです味は普通飲めない味ではありません！
10,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,モコてん,2021年6月2日,5.0,おすすめです,美味しです香りも良いです
11,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,絵本の気持ち,2021年4月4日,5.0,スッキリ爽やか,爽やかです。疲れた時のホット一息にとても良いです。この紅茶はお菓子無しで味わいたい。
12,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Julymoon,2021年3月15日,5.0,薄味だけど好き,レモン系のハーブティーが好きです。ジンジャー入りじゃないのが好きなのでよく買っています。さわやかで美味しい。
13,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ash,2021年2月22日,5.0,美味しい。いい香り。,美味しい。いい香り。
14,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,はっぴのすけ,2017年12月2日,4.0,香料は入っていますが…。。,レモンの味がとても強いです。それもそのはず、香料が入っているから。。CCレモンの様な感じで私としては美味しいです。レモンが好きで香料さえ気にならなければ爽快感もありとても良いハーブティーだと思います。
15,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,荒川　ユリ子,2020年6月2日,5.0,一回試してほしい,レモン風味がいい感じであり、再購入したいですが、購入できないことが多いため、購入できるようにしていただきたいです。
16,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ちーたろ,2019年2月13日,5.0,お気に入り,紅茶や日本茶に飽きてきて何か変わったお茶はないかと探していた所こちらの商品を見つけましたハーブティーは味気ないイメージがあり自宅で飲む事は無かったのですが口コミを拝見してどんな味だか気になり試しに購入しました最初の1口を飲んだ時、衝撃を受けました爽やかでシャキッとする感じがたまらない…良い意味でのパンチがあり飽きません今までのハーブティーの概念が覆された！どハマりして毎日のように飲んでいます同じメーカーの他のフレーバーも是非試してみたいです
17,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,lwing0316,2019年5月5日,3.0,変化を求めて購入,長らく仕事中はルイボスティーを飲んでいましたが、変化を求めてハーブティー系を買った中の一つ。香りはそこそこ良いが、飲み続けたいと思うほどの魅力はないかなぁ。
18,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,air,2021年11月7日,1.0,残念,無添加生活をしています。購入前に添加物の表示がないことを確認して購入したのですが、届いた商品の成分にはネットでは書かれていなかった「酸味料と香料」が記載されていました。添加物もしっかりと表示してほしかったです。それと箱が潰れて恥の方が壊れていました。色々と残念です。
19,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ハリモト©️,2021年10月30日,1.0,ライム感はありません,ただ酸っぱいだけの飲み物ですレモンの風味もライムの風味も感じません
20,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,椿,2015年1月23日,4.0,最高！！,レモンとライムのすっきりした爽やかな香りと、ほのかな甘さが本当に最高です！！これを飲みながらフルーツを食べても味を邪魔しないので、素晴らしいです！薄いっちゃ薄いですが、お湯を少なくして、楽しみましょう♪♪
21,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,キュ子,2014年10月2日,5.0,想像以上でした,柑橘類のハーブティーが好きなので購入してみました。今まで買った乾燥レモンピールや乾燥オレンジピール配合のハーブティーは「あぁ、ほのかにレモンの香りがするなぁ～。でも香りがちょっと弱いからレモン汁足すか、、」くらいだったので、あまり乾燥ピールには期待してませんでしたが、本品は驚くほど期待以上でした。レモンとライムのさわやかな香りがしっかりしてるのに加え、酸味のある味わいがかなり良いです。香り付けに柑橘類のピールをいれました、ではなくドドーンと柑橘類の香りと酸味が全面に出てます。砂糖などの甘味を入れると、若干ですが砂糖で香りが消されてしまう様に感じました。甘味をいれる時は少な目に入れた方が良いかも知れません。乾燥柑橘ピール系のティーバッグの中では、生のレモン等を入れた物に一番迫ってる味わいじゃないかと思います。柑橘類のハーブティーがお好きな方は是非一度試されると良いと思います。個別のアルミ包装で抽出時間は５分です。
22,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,なかさと,2018年2月24日,5.0,爽快なレモンティー,ロンドンフルーツハーブティーの色々入っているパックの中で最も好きな味でしたので、20袋を購入しました。ライムの香りが爽快で好きなので満足です。蜂蜜入れると午後の紅茶のレモンティーみたいな味です。でもカフェイン入っていないのでいつでも飲めます。疲れていてしゃきっとしたい時にお勧めです。ホットでもアイスでも美味しいです。
23,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2019年8月1日,5.0,オススメ,爽やかな香りでいい感じです。飲み終わりがほんのりと甘くて美味しいです！
24,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2015年2月7日,4.0,飲みやすいです,ほぼレモンティーです。香りもよくさわやかで気に入りました。また注文すると思います。
25,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,評論家,2020年10月25日,1.0,薬草を飲んでるみたいでした！,味も薄くてハーブティーを飲んで巣みたいでした。AHMAD TEA ( アーマッドティー ) レモン & ライムの方が味があって美味しいです。
26,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Akemi,2021年6月13日,1.0,香りなんてしない,レビューで良い香りと書いてありましたが、そんな香りは全然しない。すっぱいのは苦手なので、ティーパックをすぐ引き上げましたので、酸っぱさは我慢できる程度ですが、そばに鼻を近づけて香りをかいでも良い香りなどしません。味も香りも合いませんでした。高評価を疑います。
27,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ひなな,2018年1月9日,5.0,夕食後に,夕方以降はカフェイン入りの飲み物は飲まないようにしてるので、何種類かのお気に入りのハーブティーを常備してます。これはそのお気に入りのうちの一つです。
28,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,AKI,2017年7月25日,5.0,一番お気に入り,購入するハーブティは最近ここしか飲まなくなりました。　最初はカフェインがダメな為代わりに飲んでいましたが夏はすっきりして却って美味しいかも、って程です。　近くのスーパーだと置いてないところも多いので色々購入できるアマゾンさんに頼ってます。
29,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,おみやさん,2013年5月18日,4.0,一息つくのに最適,ハーブティーはホッとする一時に最適である。大きめのポットに作って飲んでいる。
30,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2017年6月25日,5.0,昔から大好きなハーブティーです,昔、近所のお店で購入していたのですが、お店が無くなって手に入らなくなっていました。最近、Amazonで購入出来ると気がついて、急がない商品なので他のものと一緒に購入する際に注文しました。レモンとライムの絶妙なハーモニーが大好きですが、癖のある味かもしれませんので、さっぱり味がお好きな方にはお勧めします。
31,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,DUNE,2017年1月15日,5.0,大当たり,最近いつも飲んでいるハーブティーが飽きてきて新しい定番を探していたのですがやっとお気に入りが見つかりました癖がなく爽やかなので万人受けしやすいと思います
32,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2017年9月5日,5.0,夏らしいテイスト。,夏にはぴったりのハーブティ❣️ここのハーブティはどれを取っても美味しいです。
33,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2016年11月20日,5.0,美味しい,このシリーズは全部美味しい。ハズレなしです。ハーブティーの中で一番オススメ。
34,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2019年5月16日,1.0,ん〰️って感じかなぁ。,思っていたのと少し違ってました。ハーブの香りより紙パックの匂いが気になる。
35,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2015年8月26日,5.0,美味しいです,爽やかな口当たりです。ケーキやドーナツなどの甘いお菓子にも合います。
36,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,まちまち,2015年5月27日,5.0,これこれ！探してました！,以前に友達から教えてもらい、２年もの間ずっと探していたのですが、ようやく見つけました。銘柄が分からなかったのでAmazonに出てきた時は本当にありがとうって気持ちでした！他のを試しても、絶対これ以上の美味しさのものは見つかりません‼　酸っぱさと香りが大好きです。
37,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2017年9月26日,1.0,箱が潰れまくって外袋にも穴,以前購入した時は異臭と変な味がして体調崩したけど、今回は他に購入した物に雑に箱に詰められてたのでベッコリ潰れた状態で届いたので、商品に不具合が、ないか心配です。本来の味はとても美味しいんですよ。
38,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ふぁんた,2014年10月13日,5.0,お気に入りのノンカフェインティー♪,レモンとライムですが、ハーブティー特有の酸味があまりなく、レモンティーのように飲みやすいです。爽やかな風味でお気に入りです♪
39,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,debussy,2013年10月3日,5.0,美味しいです。,レモンとライムの香りがしっかりしています。お湯は少なめが良いようです。
40,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,kawakeb,2013年12月29日,5.0,シンプルに柑橘類フレーバーを楽しむ,柑橘類フレーバーのハーブ・ティーは様々な商品がありますが、ブレンドの成分が多すぎて結果的にどれもこれも似たような風味になってしまっている。しかし、これはシンプルなブレンドなのにほのかな甘みもあり、とても気に入ってます。
41,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,レッツ,2016年3月13日,1.0,ハーブの香り,ハーブとしての香りがぼけきっていてフレッシュさがまるでない。
42,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ニコニコマーク,2013年1月2日,5.0,20年愛飲しています,ハーブティーをいろいろ試しましたが、最後はやはりこちらの商品にたどりつきます。もうかれこれ20年は愛飲しています。このロンドンフルーツ＆ハーブはたくさんの種類が出ていますが、私はこのレモンがお気に入りです。雑貨やさんでみつけたのが始めでしたが、香りといい独特のハーブの調合で、何もいれないで充分おいしいです。夜疲れたときなどに飲むと、すごくリラックスできます。輸入食料品店の一部でしか取扱いがなかったので、アマゾンで気軽に購入できて嬉しいです。
43,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,成岡恵里,2013年1月6日,5.0,いい香り！！,レモンを毎回買わなくてもいいので簡単にレモンティーが入れられるのが気に入りました。香りがすごく良くて、酸っぱさがまた良い！
44,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,たいよう,2015年7月24日,1.0,ぜんぜん口にあわなかった,レモンの香りや美味しいというコメントで購入してみました。自分の口には全くあいません。レモンも少しは感じるのですが、中途半端な感じ。リピートはないですが、最後まで飲みきれるか。残念な買い物でした。
45,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,APRILLILY,2018年5月17日,5.0,これに戻る。the scent and taste are lemony and refreshing . it keeps me coming back.,すっきりしていて、おいしいですよ。なんだかんだハーブ系やら甘い香り系やら試してみるのですがやっぱり”飲み物”となると続かないフレーバーのものも多くなり、結局数あるストックの中で、今日どれにしよーと覗くといつもこれを取ってしまいます。あんまりどこにも売ってないので（カ〇ディや成〇石井にもない）amazonにあって良かったです＾＾
46,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,オリーブ,2017年3月25日,1.0,酸味料と香料,購入時のページの表記にはありませんでしたが、実際には酸味料と香料が入っていました。原材料を確認してからナウで買ったので、届いて気にせず開封したので、ちょっと詐欺にあった気分でした。現物の原材料:アップルパルプ、ブラックベリーの葉、レモンピール、レモングラス、チコリの根、ローズヒップ、ライム、香料、酸味料です。リニューアルなのでしょうか？開封するとラムネ菓子のにおいに似ていて、結構人工的に感じました。リピートはありません…。
47,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,ムーサン,2020年12月29日,5.0,欲しかった商品です。とても美味しいです。,欲しかった。商品でした。とても美味しいです。期待どうりでした。速い対応ありがとうございました🙇またリピートしたいです。
48,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,うっちー,2021年6月6日,5.0,美味しい！,何年も前から飲んでいますが、なかなかスーパーでは見つけられないハーブティーなのでいつもAmazonで購入しています。最近、パッケージが変わったようでしたが味は同じでした♪香り豊かで飲みやすいのでおすすめです♪
49,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,クリスティー,2020年8月9日,5.0,フルーツハーブティー　レモン　ライム,レモンとライムのパンチがある、凄くいい香りのハーブティー。飲みやすい。
50,B000V2FI90,ロンドンフルーツ&ハーブ ティーバッグ レモン&ライムゼスト 20袋,ロンドンフルーツ&ハーブ,,淳子クラゲ,2020年2月8日,5.0,1番のお気に入り,何しろ飽きない！
