,ASIN,product,variant,brand,name,date,score,title,comment
0,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,るり子,2023年4月4日,5.0,フルーツの味がしっかりするハーブティ,ドライフルーツが入っている？と思うくらいきちんとフルーツの味がするので結構好き。結構いいお値段するけど、たまにはいいかなと思う。ちょっとした🎁にもおすすめ。
1,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,HaL,2023年2月27日,5.0,FRIDAYSのお茶,Fridaysのオレンジティーと同様です。カフェインが入っていないため、夜でも安心して飲めます。ティーパックを入れたままにしていても濃くなりすぎないので入れたままいただいています。
2,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,KENT,2022年12月21日,4.0,オレンジ感とシナモン,初めて飲みましたが、オレンジ感とシナモン感が良いですね。アイスにした方が美味しいのかな？という印象も。もちろんホットでも美味しかったです。
3,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,レイナ,2023年1月16日,3.0,味はそこそこいいですが。。,オレンジとシナモンスパイス、そこまでスパイシーでなく、個人的には満足。ですが、アマゾンの配送スタッフさん、また、商品を片手で渡してきて顔をみずに荷物を落とされました。カスタマーに言ってもすいません。で改善しますとかはないです。せっかく商品が良くても、置き配いではなく、対面受け取りなのに、何でこんな事になるのか。他にも飲み物が入ってたのですが、傷がいきました。アマゾンから配送される商品、配送何とかして欲しい。もうアマゾンから発送されるとなると止めようかなと最近は憂鬱になる。きちんと教育、改善を求めます。
4,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,ゆっきー,2022年11月30日,5.0,甘味があってすごく美味しい,酸味があまりなく、ミカンのような甘さがある。美味しくて気に入った。
5,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,neco,2022年11月30日,5.0,オレンジスパイスはこれがNo.1,オレンジもスパイスも香りが豊かですごく美味しいです。類似品も色々ありますがやっぱりこれが一番好きです。フライデーズで出てくるのと同じです。
6,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2022年3月14日,4.0,香りを愉しむのに丁度いい,シナモンの香りは強く無いので、爽やかなオレンジの香りを愉しむのにちょうどよいです。酸味もあまり感じません。
7,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,MICHEE,2022年7月22日,5.0,アイスハーブティーにして飲んでいます💖,ハーブティー歴はもう10年以上、家ではポットに2つ味の違うハーブティーを冷やしてあります。麦茶がわりに毎日ゴクゴク飲んでいます。オススメです！
8,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,みたん(๑˃̵ᴗ˂̵),2022年6月16日,5.0,おいしい,アリサン？で飲んだオレンジシナモンティーが忘れられなくて購入。オレンジ感がかなり強く、シナモンは薄めかなと感じた。砂糖なしで飲んでますがほんのり甘さを感じてホッと癒されますリピートしたい
9,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,もこ,2021年8月31日,4.0,お気に入りのティーです。,何度もリピしています。スパイシーな香りと柔らかい酸味が好みです。少し残念なのが、個包装になっていて、以前はアルミ？のような防水素材だったので、出張の際などもポンとカバンにいれて持ち歩いていたのですが、少し前から紙の包装紙になってしまったので、湿気等、保管の方法に気を遣います。なので、🌟一つマイナスさせていただきました。
10,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2021年12月26日,5.0,オレンジの香りに癒されます♡,●オレンジスパイサー原材料名：アップルパルプ、ブラックベリーの葉、シナモン、チコリの根、ハイビスカス、オレンジ、生姜、ローズヒップ、クローブ、酸味料、香料。行きつけのカフェで飲んで気に入り、その場でAmazonに注文。名前の通りオレンジの香りがメイン。酸味が爽やか♡濃いめに入れるのが好み。
11,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,あんこ,2021年12月15日,5.0,小さいカップで楽しむのがオススメ,フライデーズというお店で出会い、甘みと酸味と香りが楽しめるので購入しました。小さいカップでいただくと旨みが楽しめます。大きいカップでは、お湯半分ぐらいが適量です。特別の午後にちょっと贅沢な感じで楽しめます。
12,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,a,2021年1月6日,4.0,マイルドでのみやすくておいしい,ティーバッグで手軽に、ふだん気軽にのむのにちょうどよい味、香りと価格。近所のグリーンやハーブを扱うお店の香りがしました。また買います。
13,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,十六夜,2021年1月8日,4.0,スッキリサッパリ,スッキリサッパリで私の求めていたモノでした。取ってつけたような香りもなく、好印象
14,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,小武,2022年12月31日,1.0,不味い,数々のフレーバーティーを飲んできましたが、これ最低です、私には。なぜ評価が高いか、１mmも理解出来ません。
15,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,shoppy,2021年12月5日,5.0,おいしかった！,ちゃんとオレンジの味がしておいしい。
16,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,ユカ,2021年11月13日,5.0,美味しい♪,以前、飲んだ事があり色々なお店で探しましたが見当たらず。。やっとこちらで見つけました。ほんのり甘くオレンジの香りに癒やされるので、おすすめです。
17,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,nataliee,2020年8月24日,4.0,大好きな味！,この味はオレンジスパイサーでしか味わえない！程よい酸味でさっぱりと美味しいです。あまりスーパーなどでは売っていないので、Amazonさんで買えることがありがたいです。
18,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,比嘉しおり,2021年10月22日,5.0,美味しい！！,ファミレスで初めて飲み美味しかったので、調べて注文しました！甘味もあり美味しいです！
19,B000XBBUK0,ロンドンフルーツ&ハーブ ティーバッグ オレンジスパイサー 20袋,ロンドンフルーツ&ハーブ,,かなめ,2021年6月5日,5.0,待ち焦がれたリピート購入です。,TGIFridaysで初めて飲んだ時からはまり、昨年2箱購入しました。無くなったので2箱追加購入しようと思ったら、ずーっつと入荷予定無しで、やっとの追加購入です。好き嫌いがある味なので他人には薦めませんが、本当に待ち焦がれた味です。
