,ASIN,product,brand,name,date,score,title,comment
0,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,ペットの世話が大変,2021年3月5日,4.0,缶が潰れて届きました,日常飲む紅茶としては「必要かつ十分」なコスパです。ぶっちゃけ、もっと安い茶葉はいっぱいありますが、結局量を使わないと「薄いなぁ」という不満が残ってしまう。極端に言うと2倍くらい使わないと味わいが出ない。100gで750円以下の紅茶を飲んでいる方なら、こちらの方がお得ですよ。味も安定してますので、私の様な「普通の紅茶の好きな庶民」にはオールタイム・ベスト。
1,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,はい,2020年3月21日,4.0,安定の美味しさ,毎日、紅茶を飲むのですが、とても飲みやすくて美味しいです。紅茶の香りや濃さを楽しむのなら、アールグレイなどが良いのかもしれませんが、私は飲みやすい、この紅茶が好きです。お値段もお得で、沢山入っているので、満足です。
2,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,うさぎカンパニー@,2011年11月13日,5.0,安定の味,普段用の茶葉として飲んでいます。今まで同じトワイニングのアッサムとダージリンを購入していて初めてオレンジペコを購入しましたが上記よりくせがなく飲みやすいです。他の方のレビューにもありましたが缶にそのまま茶葉が入っています。缶を開けてアルミのシートをめくると茶葉が見えその上大容量なので使っても使ってもなかなかなくならずリッチな気分です。また輸入製品のようで缶は横に日本語表記のシールが貼ってあるだけで剥がしてしまえば海外のお土産の様で飲み終わったら何をいれるかも楽しめる１品かと思います。ただ紅茶として楽しみたいという方には物足りないと感じると思います。お値段もリーズナブルでこちらを購入しても損というわけではないのでこちらを普段用に、別の紅茶をおやつや特別なときにと使い分けたらいかがでしょうか。私は普段用に購入して満足なので星５つです。
3,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,りんご１８,2019年5月3日,4.0,美味しい,200ｇ入の缶だからしょうがないのか・・缶の下(底)の方の茶葉は細かいカスカスが多く茶こしからカスが沢山おちます。ティーパックよりも値段、味、良いのでまた缶入りを買うつもりだけど、他メーカーの缶入りを買おうかな～とおもいました。
4,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,mar,2021年5月11日,3.0,飲みやすい紅茶です。,おいしい
5,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,レビュー,2018年12月18日,5.0,気に入ってる味、だけどカス？,昔ティーバッグタイプを飲んでいました。アマゾンで見て懐かしく葉っぱを購入しました。昔よりもオレンジの香りは弱くなりましたが飲みやすくまろやかです。
6,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,ねこはかわいい,2014年3月15日,4.0,良い香り,茶葉で紅茶を飲んでいるので手頃な値段と200グラムの量が気に入っています。トワイニングは色々のんでいるのでどれも気に入っています。ストレートでも良いしミルクをいれても美味しいです。ただいま取り扱いが無いのが残念です。早く扱ってください。
7,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,korokoro,2013年11月22日,5.0,飲みやすい,以前購入して気に入ったのでまた注文しました。近所の店だと結構高いので重宝しています。味としては飲みやすく茶葉を多めにすれば香りも楽しめますし、チャイなどにも合います。初めて紅茶を飲みたい方や毎食後に飲む方にはぴったりです。
8,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,Kindleのお客様,2019年2月15日,5.0,普段用のストレート用,美味しい！毎日 ティータイムしてます(^^)
9,B001FB63MM,トワイニング オレンジペコ― 200g,トワイニング,こじさん,2020年9月21日,3.0,日常使いに便利,香りが無い
