,ASIN,product,brand,name,date,score,title,comment
0,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,ﾏﾅﾋﾞｰ,2018年12月22日,3.0,美味しい❗️おすすめです(^o^),同じ味のティーバッグが各2個ずつ、10種類の味が楽しめます。こういったバラエティパックは、同じ味が各5個ずつの4種類とかが多い中で、こちらはより沢山の種類のお茶が楽しめてお得感があります。味はというと、全部が美味しいとはいえず好みのものとそうでないものが五分五分位でした。酸味が強めなものもあったり、何も加えてないのにすでに甘めなものがあったり、といった印象かな。こんな甘めのペパーミントや、香り強めのアップルシナモンは今まで飲んだことなく、それは好みでしたので、いい発見もあったと思います。酸っぱいものは、蜂蜜を加えると飲みやすくなりましたが、何も加えずに飲みやすい味だともっと嬉しいかな。
1,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,qazzki,2019年7月17日,1.0,どれを飲んでもハズレ無し,美味しく飲めたものもありましたが、不自然に甘かったり、香水かと思うほど人工的な香りの強いものもあり、全体的に苦手なものが多かったです。ナチュラルなハーブティーをイメージして購入したので、とてもガッカリでした。
2,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,ななな,2016年9月27日,5.0,苦手な味も、好みの味も、とにかく種類豊富に入ってる,こちらのフレーバーティーは在宅ワークのお供でかなり活躍してます。他の種類も試してみたかったのでバラエティパックを購入。箱のパッケージもかわいいですしお手頃価格でいろんな味が楽しめます^ - ^私はピーチパラダイスの味がとても気に入ったので今度そちらを購入しようと思います。うちの主人はこちらの種類のミントティーがとてもお気に入りです。フレーバーティーをお探しならこちらの商品をお勧めします。このお値段で10種類も楽しめるならかなりお買い得です。三時のおやつの時間やティータイムがおかげさまで楽しくなりました^ - ^初めてのフレーバーティーとしてはとてもおすすめの商品です^ - ^甘みがあるものもありますが意外とさっぱりしてますよー！試しにこちらのバラエティパックを購入してからお気に入りのフレーバーティーを見つけてみてください^ - ^
3,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,ikea,2021年2月23日,3.0,香料が強すぎます,個人的には薄かったです。お湯を少なくして飲みました。味もあまりおいしいとは思えませんでした。全体的に酸っぱいお茶が多く、はっきり甘いってほどではなく気持ち甘みがあるようなないような感じです。ストロベリーはあまりイチゴ感がなくてシソっぽいし、カモミールは他のメーカーのものより癖のある匂いを感じました。後味にも甘味料のような甘さを感じて少し苦手でした。ブラックカラントは独特の青臭さの中に爽やかなベリー系の香りがして単品買いしてもいいかなと思いましたが、Amazonからは出品されてなかったので残念でした。
4,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,★★REI★★,2020年6月19日,5.0,★こちらのフレーバーティーはお値段以上でお気に入りです★まずはこちらのバラエティパックでお気に入りを見つけてみては？,個人の好みもありますが、ブレンディングにセンスを感じました。ちょっと捻りがあるのに、やりすぎていない感じ。帰宅後、一日の疲れを癒してもらってます。カップ一杯の幸せを感じる。ティーバッグ一つで大きい（５００ml）マグカップ二杯は楽しめます。夜は淹れたてを一杯、朝冷めたものを一杯。また買います！もっと大容量でも購入すると思います。
5,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,Selene,2017年12月11日,5.0,味は薄め。若干甘い,好みを見つけるために、まずは10種類入りのスペシャルパックを。この中からは、レモン&ライムゼスト、オレンジスパイサー、ブラックカラントブレイサーを、後にそれぞれ注文しました。アルミパックで個包装されているので、箱を開けたからこっちから先に早く飲まなきゃ風味が飛んじゃうという心配もなく、今は５種類のハーブティーをその時の気分で選んでいます。
6,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,おお,2020年5月31日,4.0,ブレンディングにセンス,美味しい〜個包装助かる〜パッケージも可愛い〜何分出しがおすすめか個包装にも記載あっていちいち箱見なくていい〜あと地味にフルーツ系とハーブ系のお茶が同梱って珍しい！ベリーは酸味抑えめで飲みやすいし、アップルとかは香辛料が程よく効いて飽きが来にくい、どれを飲んでも一工夫が美味しい！ただ後味の甘さが好み分かれるかも。ノンシュガー＝甘味ゼロを期待してる方はやめた方がいいです。あとフレーバーの種類が豊富な分、当然1フレーバーあたりの個数が少なくて、もっと欲しい…大容販売してくれないかな…まぁ一度に複数箱買えばいいんで買いますけど。
7,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,ひなな,2021年4月19日,5.0,夜間の飲み物として,色々な種類があって飽きる事なく楽しめます。香料が入っている種類がありその分飲みやすくなってますが、不自然な程強烈な香りにはなっていませんのでフルーツの香りは楽しめます。また甘草で微かに甘味がある物もあります。種類によっては飲みやすくするために蜂蜜を入れてもいいですが、そのままでも十分楽しめます。
8,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,Amazonカスタマーの人,2020年8月5日,1.0,酸っぱいものが多い,香料がひどい…ｵｪｯほとんどのパックが無理でした。化粧品臭かったり、消毒薬みたい臭いがしたり…ｵｪｯ好きなパックは…ｵｪｯ…ないっス！
9,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,kms,2020年5月23日,5.0,日本にはない感じのハーブティーセット,カフェインが飲めないのでノンカフェインのものを探していました。とても美味しいです♪味の種類が10種類も入っていてお得感があります。パッケージもオシャレでかわいくて飲むのが楽しくなります(*^^*)職場にも持っていって飲もうと思います♪
