,ASIN,product,variant,brand,name,date,score,title,comment
0,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,bamboof,2023年3月5日,5.0,リピしてます,その日の気分でいろいろ選べ、どれも香り豊かでおいしいです。お客様がいらした時も好きなものを選んでもらえて、重宝してます。
1,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,鈴木　千鶴子,2023年1月21日,3.0,ハーブ感が足りないかな,色んな種類があって楽しみだったんですけど　飲んでみるとハーブの爽やかさが伝わって来なくて残念
2,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,くーちゃん,2023年2月23日,5.0,飽きない,ハーブティーは元々好きでしたがこれは色んな味が楽しめて毎日飲んでいます。
3,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,ジャックン,2023年2月17日,2.0,アソート すっぱい,いろいろな味が試せていいのだが、紅茶に詳しくなってくると この商品の魅力はなくなりました。アールグレイや カモミールなどの英国、王室の味や リラクゼーションにピッタリな味を覚えると、この製品は果物や種子など色とりどりではあるが、全てが結局酸っぱく風味は多少違えども味は全く同じです。何しろ、酸っぱいものが多いです。先日胃がいたくなりました。もう多分購入しないと思います。
4,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,な,2022年7月22日,4.0,美味しい,気軽にいろんな種類を飲めるしどれも美味しいです。味は濃いというか強いと思うのと成分に香料があるので、気になる方は確認した方が良いかと思います。ハーブティーというよりもヘルシーなハーブのジュース感覚で仕事時に飲んでいます。
5,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,ＮＡ,2023年1月10日,2.0,どれもとにかく甘い,日本のものを飲みなれているせいか、人工的な甘さで気持ち悪くなりました。香りも味もとにかく甘ったるい。ふわっと香る程度の体にもいいハーブティーを求めていたので、こんなキツい香りと味で体に悪そう…と思ってしまいました。逆にハーブ感が苦手、甘いハーブティーをお求めの方にはとてもいいと思います。
6,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,obaratch,2022年4月16日,4.0,アソート系の中では当たり率が高い,多くのアソート系に玉石混交が多い中で玉率が高いのが買い得感に直結。気に入った味だけ買えばいいという話もあるだろうが、個人的に日々の一服にはバリエーションがほしいので気に入ってリピ中。完全にハズレがゼロになれば五つ星だが、実質満点に近い。
7,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,Amazonユーザー,2022年11月2日,5.0,リラックスできる紅茶です,私はリラックスしたい時にこの紅茶を濃いめに入れて飲むと、ホッとして幸せを感じます。お湯を注いだ後の、色、香り、味がいいですね。私は特にストロベリーなどの赤くて甘酸っぱい味がリラックスできて好きです。
8,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,Amazon カスタマー,2022年4月3日,4.0,好みの味を探せる,バラエティーパックなので好みの味を探せるのが良かったです！
9,B001GS8OV2,ロンドンフルーツ&ハーブ ティーバッグ スペシャルパック 20袋,ロンドンフルーツ&ハーブ,,まふこ,2022年3月2日,4.0,どれも美味しいよね,これはリピすると思います🙂
