,ASIN,product,brand,name,date,score,title,comment
0,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),Tamumasa,2020年3月8日,1.0,噂通りの最高、甘い香りのフレーバーティーです。,店頭の正規品と比べて、香りも味も全く違います…(T-T)マルコポーロはもっともっと香り高く複雑で、差し湯をしても味が落ちないのに、本品はマルコポーロっぽい？香りがするだけでとても同じものとは思えません。私に届いたものは賞味期限などの品質管理ができていないものではないでしょうか？お安いので購入しましたが、今後は店頭の正規品を購入するつもりです。
1,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),noric,2016年9月19日,5.0,香りが良い,この香りを超える紅茶には、まだ出逢っていません。少しお高いですが、来客時やホッとしたい時に大切に飲んでいます。
2,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),yuruyoshie,2021年1月6日,1.0,店頭の正規品と全く違います,色　香り　茶葉　全て全然違います。並行輸入品ってこんなに違うのですね。紅茶として不味くはありませんがマルコポーロとは思えません。リピートはしません。
3,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),Amazon カスタマー,2020年2月13日,1.0,最高の紅茶,一度目はマルコポーロでしたが、再購入した所リーフが小さく香りも酸っぱく弱い物が届きました。最初が良かっただけに残念です。
4,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),山下,2020年9月5日,1.0,残念,以前この紅茶をカフェでいただいて香りの良さに感激して一度購入。暑さも和らいできたので再購入しましたが量が減るのは原料高騰と理解できても香りが記憶より弱くなっていたのが残念です。
5,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),noel_plus_4,2019年7月30日,2.0,二度目の購入で。,テレビで紹介していたので買ってみましたが、かなり人工的な香りだと感じました。好みは分かれるのではないでしょうか。気になるなら一度買ってみてもよいと思います。
6,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),美波,2019年2月25日,5.0,再購入,日常の中の贅沢なティータイムにぴったりです。お店ではほかのフレーバードティーしか飲んだことがなかったので、定番のマルコポーロをAmazonでお安く買えて良かったです。
7,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),abasar,2021年3月3日,4.0,かなり人工的な香り,マルコポーロは以前から時々飲んでますが、私にはストロベリーティーの様に感じます。後に、味の余韻が残って高級感が有り、ミルクティーにしても合うと思います。
8,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),木枯らし,2020年6月1日,5.0,味も香りもがっかり,職場に紅茶の好きな方がいらっしゃったので、誕生日プレゼントに購入しました。一緒に味わいましたが、とても芳醇な甘い香りがします。特別な贈り物（バレンタインのお返しや、何かのお祝いなど）に最適です！とても美味しかったので、今度は個人的に購入します。
9,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),Amazon カスタマー,2019年10月11日,1.0,残念な味,缶の凹みがひどく、蓋を閉められない…。べつの缶に移しました。香りも少し飛んでしまっているようでした。うーん、残念。
10,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),浅草,2019年8月26日,3.0,贈答用に購入しました,前に飲んだ時よりも、香りが薄くなったように感じる。値段は高くなってるのにな残念。
11,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),ななこママ,2019年3月6日,5.0,残念,茶葉の甘い香りに癒されます。甘ったるくは無いです。無くなったら又購入したいです。
12,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),マカロン,2019年4月8日,5.0,こんな香りだったかな？,ルーブル美術館の館内売店にこの商品があり、土産に買ってきたのですが、非常に薫り高いおいしいお茶なので、注文しました。もう少し安く手に入れば良いのですが、もともと高いものですのでしょうがないと思っております。
13,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),玉椿,2020年8月22日,5.0,香りが良い,初めて買いましたが、病みつきになるおいしさです。バニラの香り、味が他にはなく、手放せません
14,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),tk,2020年9月17日,5.0,非常に高品質な紅茶,味もいいが、たまらないのがこの香り。さすがとしか言えない。
15,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),経営コンサルタントA,2020年10月15日,5.0,バニラのなんとも言えない香り,味最高。金額は高めですが安くなってたので即買いです
16,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),frenes,2020年6月1日,5.0,フレーバー好きに。,以前フランスに行った際、お土産として購入しましたが、とても評判が良かったのを思い出し今回購入しました。フルーツや花の香りがとても良く、至福のティータイムを感じる事が出来ました。
17,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),ハイド,2021年5月22日,5.0,早く到着して良かった！,他の紅茶には無い、とてもいい香りで大好きです。ティーバックだと少ないので、大きいものにしました。
18,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),ココ,2020年5月9日,5.0,至福のティータイムとなりました。,いろいろなサイトを見ましたが送料含めてここが最安値でした。品のよい香りとお味のフレーバーティーです。
19,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),おせんべい,2020年8月21日,5.0,とてもいい香りです。,ほっと一息するのに優雅な気分になれるし、またリピしたいです味は間違いなく美味しいです
20,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),ちろちゃん,2016年4月13日,3.0,お値段以上！,昔飲んだときは美味しさに驚いたのですが、２０年ぶりに飲んでみるとそれほどではありませんでした。自分の味覚が変わったのか、それとも思い出が美化されていたのでしょうか。
21,B001N26WCE,ワールドフーズ マルコポーロ100g[並行輸入] リーフ,MARIAGE FRERES(マリアージュフレール),つばき,2020年12月31日,5.0,美味しい紅茶,とても良い香りでお家でのお茶時間が楽しみになりました。
