,ASIN,product,brand,name,date,score,title,comment
0,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),チッピ,2016年5月22日,5.0,花粉症やアレルギーに効果あり？！,購入は2回目です。一度目は2年ほど前なので当然中身は違うはずです(当時は表示をよく見ずに飲んだ)。今回まだ3TB目ですが、CALM SOULがとても良かったです。しかし日本未発売なんですよね。輸入すると送料めちゃ高いし。断食のお茶は既にヒルデガルドアソートで飲んでとても良かったので自分定番常備品です日によっても気分で飲めますし、時期によっても中身が変わるのが楽しいですね！！！また絶対買いますすっごく試したかった白茶とグッドモーニングティーが無事入っていて良かったです。2016年5月中頃購入
1,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),MASH,2017年11月27日,1.0,難解,評価が良く、期待して買ったものの香りが混ざりどれも同じような味で半分くらい捨てました。柴漬けのような味で私にはあわなかった。個別包装も紙なのが特にまずく、他にも一緒に保存してた紅茶に香りが移り、まずくなりました。もう買いません。人を選びます。
2,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),南極marcy,2017年11月17日,4.0,私に欠かせない,ゾネントアのハーブティーはどれも本格的で本当に癒されます。中にかなり気に入ったお茶があったのですが日本では未発売のようで残念でした。皆さん仰るように、紙の個包装のお茶はアソートには向いていないと思います。普通のダージリンティーが入っていましたが、明らかに他のハーブの香りがしっかり染み付いていました。
3,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),あいく,2016年12月23日,4.0,どれも同じ,サーモス ステンレスポット1Lに毎日一個ずつ入れて楽しんでいます。パッケージを確認したところ、横線上部はドイツ語？、横線下部は英語表記になっていて下部の英語のお茶名が和訳表記のところに載っている形になっていました。和訳が見づらいので、お茶名のところをマーカー等で見やすくして、パッケージと照らし合わせる形にすれば何のお茶なのか確認しやすいかもしれません。少量ですが緑茶や紅茶も入っていました。全部カフェインレスのハーブティだとより有難いなと思い☆４つです。
4,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),Ｒａｙｄ,2021年2月15日,1.0,選ぶ楽しみ,アマゾンの原材料欄には無数のハーブ名が記されているが、よく見ると同じ名前が何度も出てくる、逆に実物にはダージリン100%のティーがあるのにここには記されていない！意図的なものを感じるこれでは2度目はないし他の商品に対しても信頼がおけない
5,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),amazonカスタマー,2020年4月26日,5.0,20種類のお茶,ハーブティーが好きで他のブランドなど含めて毎日飲んでおります。SONNENTOR は、以前知人から月のお茶を頂いてその際も雑味を感じないと感じ、今回は自身でこちらを購入致しました。感想は、やはり変な雑味がなく美味しくスッキリとしていると思います！こちらのブランドで他の種類も試したいと思います!
6,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),おぎ,2020年7月29日,5.0,不誠実,カフェインに弱いので夕方以降のお茶として購入しました。1番の特徴はフレーバーの種類だと思います。1箱の中で全て味が違うので毎回どんな味か楽しみです。香りはジンジャー系の香辛料が強いフレーバーが多いので好みは分かれると思います。
7,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),チコちゃん,2020年10月30日,1.0,エレガントで美味しいハーブティー!,高評価だったので送料ありなのに買いましたが味が薄い、どれも同じ味？がっかりです。残りを飲むのが苦痛です。
8,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),Amazon カスタマー,2017年10月15日,5.0,味が薄いです。,プレゼント用に購入。色々な味が一気に楽しめることができるため、喜ばれました。味は私も飲みましたが、特にクセもなく美味しかったです。
9,B001QDF794,ゾネントア SONNENTOR ハーブティー オーガニック ティーバッグ アソート 20種類のお茶,ゾネントア(SONNENTOR),Amazon カスタマー,2015年6月20日,5.0,原材料を書いて欲しい,SONNENTORのハーブティーは気に入っていて時々、用途別に飲んでいます。ジンジャーティーは、ジンジャーとシナモンが強めでスパイシー。カップの半分くらい飲むとポカポカ身体が温かくなって、うっすらと汗が出てきます。梅雨時期に注文しました。長雨と曇天でだるく、ピリッとしたかったからです。このお茶は風邪の流行る季節にも、冷房で冷えすぎてしまう夏にもオススメです。身体の中から温まります。
