,ASIN,product,brand,name,date,score,title,comment
0,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,mel,2017年5月17日,3.0,コストコの転売品。ルイボスティーは美味しい。,花粉症に効くと聞いて、購入してみました。今年はちょっと花粉症の症状が弱く感じてる気はします。750mlの水筒に1袋入れてますが、個人的にはこのくらいがちょうどよかったです。Tカップ1に対して1袋と説明があったけど、それは流石に濃すぎました。濃く作ると臭いが苦手でした。水でも行けるなんてレビューもありましたが、ダメですね、お湯じゃないと。割りと満足なんですが、着色が酷くて、飲みきるかどうか迷ってます。カップも染まりましたし、鍋で作ったときは鍋も染まりましたし、歯も茶色くなってきたので、またホワイトニングしないととがっくり来てます。紅茶やコーヒーのほうが着色酷いとは聞きますが、飲んでる量ですかねぇ。
1,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,まる天,2017年8月4日,5.0,価格と質が合わなくなってきた,アフリカ産の由緒正しきルイボスティー。美味しく　効能豊か。ルイボスティーと　シナモンを合わせてとると毛細血管を強化するという内容をテレビで語って居て、それを信じて　ホットシナモンルイボスティーとして飲んで居ます。
2,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,なす,2017年6月17日,5.0,コスパはいい,コストコで購入して愛用していましたが、遠くてなかなか買いにいけなくて。それがAmazonでも販売されるようになり、助かります。一リットルお水の入ったポットに二パック入れています。最近は一年中これです、雑味がなく美味しいです。
3,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,Azu,2021年3月12日,1.0,美味しく　効能豊か,コストコで同じ商品を買い、香りや味が美味しくて飲んでいましたが、こちらで購入した物は同じ商品とは思えない香りでした。クセのある乾物の様な…試しにいくつか袋を開けて淹れてみましたが全部同じでした。そしてコストコのは500mlくらいのお湯で淹れても十分美味しかったのに対してこちらのは薄過ぎて美味しくなかったです。リニューアルでもしたのでしょうか？
4,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,usapunch,2018年5月6日,1.0,水で淹れられます,いつも100袋1000円程度のルイボスを飲んでいますが、タイムセールでそれより安かったので買ってみました。結果はダメダメでした。前出と比較して薄いし、お湯を注いだ時の匂いが臭いです。　強くはありませんが、4箱全部同じような発酵臭（不快な匂いなので腐敗臭ですね）がします。最初に飲んだルイボスティーがこれなら「ルイボスティーはそういう匂いなんだろう」って納得しそうですが、私は100均のダイソーとアマゾンで他の2製品を飲みましたが、それらはお湯を注ぐと香ばしい良い香りでした。この商品の良い悪いは分かりませんが、もう買う事はないと思います。
5,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,irms,2018年2月8日,3.0,香りが臭いです,一包に500cc熱湯を注ぎ良く色が出ます。カフェインがないので夜も飲んでいます。出したお茶を２袋ごとそのままお風呂に入れて入るのもなかなか良いものでした。次の日は少し湿布系の香りもして、気持ちが良かった。味は他のメーカーのものより少し薄いような。
6,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,Amazon カスタマー,2019年1月16日,5.0,安いけど,おいしいし色鮮やかなルイボスティーができます！説明書だと煮出しの方法が書いてありました。私はやかん等に茶渋が付くのが嫌なので、2ℓのポットにティーパック2袋と熱湯2ℓを注いで抽出してます。熱いまま飲んでもおいしいし冷やしてからでもおいしいです。
7,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,うずらのたまご,2019年12月28日,5.0,花粉症と肌荒れに良いらしい,My favorite tea. I usually buy it from Costco but since I couldn’t go there this time I had to buy it on Amazon. It’s a little bit more expensive but I got it quick.
8,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,rosemary,2019年9月21日,5.0,飲みやすい,カフェインゼロの体に良いお茶なので、安く購入して沢山飲みたいと思って探していたら、こちらを見つけました。ほぼ毎日飲んでます。これから寒くなるので、そしたらステンレスマグに入れて会社に持っていこうと思ってます。
9,B002DY59YI,ロイヤル T ルイボスティー　有機ルイボス茶　ティーバッグ 160個入　(ティーバッグ2.5g x ４０包入X４箱）,Royal T,Amazon カスタマー,2019年6月11日,5.0,価格が高く思えたが、買って良かったと思う,毎日、夏も冬も飲んでます。私はお湯を沸かすのも億劫なので、1Ｌボトルに2パック入れて水出しで飲んでいます。すぐには濃くならないけど、徐々にじんわり出てきます。この量なので、2018.11に購入して2019.3まで持ちました。コストコ会員の方に「味も美味しい」とオススメされて探したところ、Amazonでもあってよかったです。値段もずっとこのままでいてくれたら、買い続けたいと思います。
