,ASIN,product,brand,name,date,score,title,comment
0,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),ばみ,2018年11月17日,5.0,飲み始めて1ヶ月,グァバ茶は血糖値の急上昇を防ぐと聞いたので、ダイエットのために一年近く飲んでいます。目に見える効果はないので、効いているかどうかは不明です。癖のある味ですが、慣れれば全く気になりません。コップに茶渋がものすごく付きますので、寝る前に飲んだ場合は、歯磨きをしないと歯の隙間や裏に茶渋が付きます。
1,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),匿名,2018年9月3日,5.0,続けたかったけど,妊娠後期。値段と内容がお手頃だったのでためしに購入。とても飲みやすく、また快便効果も期待できますし、デトックス効果も凄いです。おかげで妊婦健診で体重増えすぎ等を指摘されませんでした。母より、ドクダミ茶を飲んでいると肌の綺麗な子が生まれると聞いていたので飲み始めましたが、飲んでからとても体調がいいので、今後もリピしたいと思います。
2,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),Amazon カスタマー,2018年10月12日,3.0,効果は不明だか味はOK,血糖値を下げることを期待して2年ほど飲みましたが、血糖値は一向に下がりませんでした。皮肉にもこのお茶を止めて普通のほうじ茶にして食べ物を見直して糖質の摂取を制限した途端に血糖値はガクンとさがり正常値に・・。これ飲んでるから安心と思う考えのほうがキケンだったようです。お茶としては飲みやすい良い商品だと思いますが、値段を考えると普通のほうじ茶でもいいか・・と思います。
3,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),amane0922,2018年6月15日,3.0,飲みやすい,友達がグワバ茶で、すごい痩せたので購入。まだ効果はわからないけど、思ってたより飲みやすかったです。そして、クッキーをたくさん食べて、普通は気分が悪くなるけど、（気分悪くなるほど食べたーvー；）気分悪さはなくて効いてるのかな？って思った。　食べ物と一緒に飲まないと効果が薄くなるとのことで、気楽に普通のお茶がわりに飲みます。　飲みやすさが良かったから、つずけられそうです。
4,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),おやじグマ,2018年1月20日,3.0,飲み続けてきたが・・。,はとむぎ茶等のお茶にハマっているため、新たなお茶を求めて購入しました。効果はすぐに分かるものではないため、味のみについて言及します。少し甘みがある、クセのある味という印象です。例えばはとむぎ茶は香ばしさがあり、その点を気に入って飲んでいたのですが、どくだみ茶は香ばしさは無く、微かな甘みとクセがあります。決してまずいわけではないのですが、私の好みには合いませんでした。
5,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),まきねこ,2020年8月26日,5.0,飲みやすい,在宅勤務中のそこのあなた！お菓子をついついつまんでませんか？私もです。お菓子美味しすぎますよね。そしてもう食欲の秋。※在宅勤務が始まり早くも5ヶ月ほど経過しておりますが、終わりは見えません。なかなか外に出なくなり、出前○やUber○atsの利用回数も増えてしまい身体が重たい気がしたので「痩せるお茶」調べたところ減肥茶がヒットしたので即ポチしました。お湯で濃いめに煮出してあげてホットでも冷やしてアイスでも！癖が強くないのでスッキリ美味しいです。お手洗いに行く回数は増えましたが、その分身体も見た目スッキリしてきました。バランス良いの食事と適度な運動も大切にこれからも継続していきます🌟(自宅にてハンドクラップダンス？も1日15分ほど と 腹筋ローラーをしております)
6,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),猫好きkage,2018年6月3日,4.0,少しクセのある味,２ヶ月続けてますが効果は分かりません。ただ、水筒に入れて毎日飲んでます。飽きのこない美味しさです。
7,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),ウニにキャベツを食べさせたい,2017年12月14日,5.0,コスパも効果も💮,寝る前に摂取するカフェインの量を減らすためにノンカフェインのお茶を探していたところ、この商品を見つけて購入しました。甜茶に近い独特の甘みを持った味がしますが、甜茶ほど甘みがきつくなくクセは少ないため、毎日美味しく飲むことができます。麦茶のように体を冷やすことがないノンカフェインのお茶なので、特に冬場は非常に重宝しています。1包あたり3gしか茶葉が入っておりませんが、5分間煮出せば1Lにつき1包でおいしくお茶をいただくことができます。また、20包ごとに別々に包装されており、茶葉の吸湿や酸化に配慮されているところも好印象です。手頃な値段で手に入りますし、ほうじ茶や烏龍茶等のカフェインの入ったお茶の代わりとして最適なお茶だと思います。茶葉が減ってきたらまた買いたいと思います。
8,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),たか,2017年10月1日,5.0,こんなにお値打ちなのに！！,独特の香りと、飲んだ後にほろ苦く残る後味が口内をさっぱリさせてくれます。とても美味しく飲みやすいどくだみ茶です。普段はルイボスティーとミックスして水出しで飲んでいるのですが、あまりの美味しさに一度飲みだすと止まりません(笑)また、どくだみ茶はその健康効果がずば抜けて凄く(漢方では十薬と呼ばれるほど)その上子供にも安心なノンカフェイン(ルイボスティーもノンカフェインです)そういう意味で時間を気にせずいつでも飲むことが出来ますし、その上大変お安く購入できて有難い商品です。文句無しの★5。お勧めです。
9,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),ｔｉｎａ☆,2019年3月28日,5.0,濃く出ます,やむおえず塩分糖分を口にするまたは、お酒等もふくめお腹のめだった場合飲むとよいです
10,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),波の音潮の風,2021年2月17日,1.0,さっぱりした味と爽やかな風味。一度飲みだすと止めらない美味しさ！,グァバ茶は、花粉の飛び交う時期に飲み続けると症状が軽くなるので、毎年、春頃に飲んでいますが、茶葉が『中国産』であることが残念です、安価で有り難いのですが、、、栽培工程、農薬など、中国産は何を使っているのか不安で飲めなくなりました。値上げをしても構いませんので、どうか国産の茶葉で商品化して欲しいです。
11,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),Maerzoo,2020年7月21日,2.0,糖尿防止 体内糖を分解し尿にします,前回薬ストアで買いまして、美味しく、体にいいかなと思っているので、今回アマゾンで5個買いました(汗)。ですが、あの袋はいいですが、あの袋は味が全くないです。何故かわかりませんが、一般的に会社に持っていって、忙しいところに2ティーバックを入れて、2回飲みますが味がないので、いつも1回しか使えるようになりません、面倒さい。さらに、沈渣が多いことを気になっています。飲みにくいです。早めにつかり終わるように、3ティバックになりました。次回、まだ薬ストアで買う方が安心するかなと思います。
12,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),、,2013年9月9日,5.0,国産の茶葉を使って欲しいです。,2013/9/29追記ここのレビューで手湿疹の患部にお茶を直接つけた方の話を見て、濃く煮出したお茶でかゆみや肌トラブルのある場所中心にお風呂で化粧水をなじませるようにやってみました。すると驚くほど肌がすべすべになりかゆみやトラブルも軽減されたように思います。手離せなくなりそうで消費量があがったので大量買いする予定です。-------------------------------------------------------------幼いころ、おできが出来やすかった私に祖母が飲ませてくれたどくだみ茶。癖もあり、初めは苦手でしたがその味に慣れ大好きなお茶になって早ン十年。近年、肌の悩みが再び様々現れるようになり、「こんな時は・・・そうだ、どくだみ茶だ！」と思いだし飲み続けています。幼いころ飲んだ味とは全く違って飲みやすいので、とにかく一日中飲んでいます。薄いので効果は大丈夫だろうかと不安になりましたが、肌トラブルは以前ほど気にならなくなりました。飲み慣れない人でも問題なく飲める味だと思います。
13,B002P7MR34,オリヒロ ブレンドルイボス茶 180g(3g×20包×3袋),ORIHIRO(オリヒロ),尼玛,2021年6月28日,5.0,味が薄く、香りがない,沈渣が多い
