,ASIN,product,brand,name,date,score,title,comment
0,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,シュタインバッハ,2019年5月2日,4.0,ティーバッグ１個で２９円、アッサム１００％,とっても気に入ったのですが、少し深めのマグに入れると糸の部分が通常のティーパックに比べ明らかに短いため、マグカップの内側に入ってしまわないように毎回注意しています。ですが、ミルクとの相性が良く、ミルクティー好きな方にはオススメです！また購入します。
1,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,Kimani,2021年1月12日,5.0,茶葉が多過ぎるかも,この紅茶は、シンプルに、美味しいです。ポットいっぱいにお湯を注いで、本を読みながら2杯飲んでます。2杯目は、ミルクティーにも良いです。
2,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,ハナミズキ,2017年10月6日,5.0,とっても美味しい！,渋みが少なくて好きです。 毎朝ミルクティーにして飲んでます。飽きないですね。追記2年以上たった今も毎朝飲んでます。色々試したけどこの紅茶が1番美味しい。ずっと飲み続けると思います。
3,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,いぬぼうかるた,2019年7月21日,5.0,リピートしてます。,もう何度もリピしている商品です。お値段がお安く沢山入っていて毎日ミルクティーにして飲んでいます。ストレートでも美味しいです。私は長めにティーバッグを入れて濃い目にして飲んでいます。
4,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,ミント,2017年3月8日,3.0,リピートしてます,30袋(105g) 864円。１バッグあたり3.5gの茶葉を使っている計算になるのでカップ２杯分に相当。非常に安価なので、期待せずに飲めば妥当な味だが、アッサム特有の甘み・うまみや香りはあまり感じられず。生乳に負けるので、薄めのミルクティが好みの方には合うかも。雑味が少なく飲みやすいとは言えるが、アッサムの味と香りを求めるには無理がある価格かと。
5,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,leaf,2016年12月25日,4.0,お値段と商品が満足出来る商品,一つ残念なのは、ティーバッグのひもが少し短いことです。熱湯を注ぐ反対の手で、ひもの先端のつまみ？の部分を持っていなくてはなりません。慣れの問題かもしれませんが。ほかのアッサムもレビューを参考にして、試してみたいと思います。
6,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,かめ,2021年4月28日,5.0,安価。価格相応だがミルクに負ける風味。,三井農林より、香りが強く（茶葉の量が多いから当然でしょうか）、１杯あたりの価格もさほど変わらないので、こちらをリピートすると思います。保管安定性は、まだわかりません。
7,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,wayfarer,2021年5月11日,4.0,😋美味しいです　けれど,普段はストレートティー派なのですが、時々ミルクティーが飲みたくなることがあり、こちらの商品を購入しました。ミルクに合う良い味です。次回も購入する予定です！
8,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,ta,2020年9月26日,5.0,期待通りの素晴らしい商品でした,最近の紅茶はもっぱらコレで、Amazonでも買えると知り、注文しました。色も香りも良く、たっぷり飲みたい時や、水筒用に入れて持ち歩きのお茶にしてもおすすめです。朝イチで飲むミルクティーにしても美味しいです。
9,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,むー,2019年10月19日,4.0,ミルクティーが飲みたくて,１つのティーパックでカップ2、3杯は美味しい紅茶が楽しめます。毎朝食の忙しい時に、大変助かっています。味も癖も無く、毎日飲んで飽きない味で、毎回購入しています。
10,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,いくのすけ,2021年4月18日,3.0,リピーターです。,マグカップで作って、しっかり濃さ.香りが２杯目でも残ってると思います。ティーポットで入れた方が入れやすいとおもいます。
11,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,naka さん,2020年3月12日,4.0,リピートしています,とても美味しかったです。リピートするかも。。
12,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,くぅーさん,2020年8月3日,5.0,良い香り,茶葉もじゅうぶん入っていて濃く出るのでミルクティーにぴったりです。香りもいいです。
13,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,A.I.K,2021年2月13日,5.0,ダージリンに飽きてしまったので、たまにはね。,美味しいミルクティーが出来て満足しています。
14,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,ぐうまこ,2017年5月15日,5.0,美味しい紅茶,渋くて濃い紅茶がすきなんですけど、これはピッタンコでした。アイスでもホットでも美味しいです。
15,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,milk,2018年11月6日,4.0,ミルクティーが美味しい！,毎朝、ミルクテーを楽しんでます。ミルクティ―に合う紅茶は好みもあるでしょうが、やはり、アッサムでしょう。このアッサムはスーパーとかであまりおいていません。この商品がティ―バッグなので使いやすく気に入ってます。
16,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,つくしんぼう,2018年11月25日,3.0,使いやすい。アッサムらしい味も出ている。,価格に惹かれて購入しましたが、ストレートで美味しく飲めています。今度ミルクティーにしてみようかと思います。
17,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,TS,2019年4月5日,4.0,とにかく茶葉が多い,茶葉の味がしっかりあり良い風味感がある
18,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,mcr,2019年10月4日,4.0,金額も味もOK,便利、美味しい、手ごろな価格
19,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,横山プディング,2014年2月25日,5.0,美味しい,おいしいティーバッグを探していました。こちらのダージリンも購入したことあるのですが、私はアッサムが美味しいと思いました。また購入する予定です。
20,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,Taka,2014年12月24日,4.0,たまに飲む紅茶はこれだね！,おいしいです。茶葉もたっぷりで気に入っています。以前は成城石井に売っていたのですが、最近どこを探しても売っていなくて・・・。もう少し安くなるといいなあ。まとめ買い特典とか。
21,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,ｙ,2017年6月15日,4.0,おすすめ,紅茶は茶葉で入れるのが美味しいですが、ティーバッグでこのお値段でこのクオリティは絶対お得です。アッサム好きにはオススメです
22,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,中山　淑枝,2014年1月3日,5.0,アッサムティ‐バッグがなかなか売っていないので重宝しています,安すぎず、高すぎず、簡単に美味しいアッサムティーが飲みたくて、試しに購入しました。期待以上でした！リピします！
23,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,アマゾン子,2014年11月9日,3.0,コスパが良いです,大好きなアッサムティーがなかなか売っていないので、アマゾンで購入しました。香りが弱く感じます。
24,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,トヤノマダム,2015年3月5日,4.0,意外とあっさりしてます,一人でミルクティーを入れる時用に買いました。1個で2杯分なのでかなり濃く出ますが、これにスキムミルクを入れてミルクティーにしています。味も濃くてミルクティーにしてちょうどいいです。これにスパイスや生姜などを足してチャイにしたりジンジャーティーにしたりいろいろアレンジできます。
25,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,もちもちもち,2017年2月17日,2.0,うーん……,アッサムティーは丸っこい茶葉だと思ったのですが届いたものはリーフタイプでした。ミルクティーにしてみたのですが、香りも期待していたものと違い後味が苦くがっかりしました。
26,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,プレミ,2020年9月28日,5.0,ミルクティー用,初めてこれを飲んだ時にはちみつみたいな風味があったんですけど、何回か飲んでると慣れたのか分からなくなりました。味は普通です、大きいマグカップに1個入れてお湯注いで10分くらいほっといてから牛乳入れるとちょうどいい濃さになります。袋の裏に何分ってかいてあるんですけど、大きいコップで作るには短くて薄かったです。あと茶葉がたくさん入ってるので、引き上げたときに結構水嵩が減るので多めにお湯入れたほうがいいです。紐が短くてお湯注ぐときに飛び跳ねて中に入るのでちゃんと持って入れましょう。
27,B002R0FQSM,ロイヤルウォルトン 三角ティーバッグ アッサム 30袋(105g),ロイヤルウォルトン,amazon.co.jp,2020年6月20日,5.0,リーフタイプでした,濃い紅茶がよく出ます。香りも強めで2杯目くらい飲めます。ミルクティーにするとリッチな気分になります。
