,ASIN,product,brand,name,date,score,title,comment
0,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),あじん,2015年1月12日,4.0,買ってよかったな〜,1人分にちょうどいい容量を探していました。最初にiwakiの640mlを持っていましたが、ポットが大きいとたくさん飲むハメになるので…ハリオのJTS-35と迷いましたが、ハリオのは実物を触ってみて蓋の脱着に手間取りそうだったので、こちらにしました。自宅用と職場用で2つ買ってしまいました。主にリーフで300ml淹れて使っていますが、他の方もおっしゃっているとおり、時々小さい葉が流れ出ることがあるので、できれば別途ストレーナ（茶こし）を用意するとベストです。確かに蓋のメッシュからではなく蓋の隙間から出ているものと思います。自分は普段使いには気になりませんが、自宅で余裕のあるときはストレーナを使っています。また、一杯分のラインがついていて意外と便利です。たまに一杯だけ飲みたくなったときは、ティーバックを入れて一杯分のマークまでお湯を注いで使っています。
1,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),ソーイング,2021年2月20日,5.0,重宝してましたが、取っ手が割れました,とっても良かったです！紅茶専門店のオーナーさんのオススメで購入しました。自宅でうまく淹れられなかった紅茶が、少なくとも今までよりは美味しくなりました（笑）茶葉だけでなく、ティーバッグで淹れるのすら、ちょっと味そのものが濃くなったのにはびっくりしました。いろんなレビューを読んで気になる点はありましたが、実際に使ってみて、今のところ私自身は特に不満はありません。価格もお値打ちですし、細かい所はご愛嬌と思っています。専門的にこだわりたいほどではないけれど、時々茶葉を買うとか、お家で気軽に美味しいお茶を飲めたらいいなぁと考えてる方にはオススメします。
2,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),ごろう,2020年11月25日,3.0,ちょっと飲みたいときに,ティーポットを洗ったあとの処理で自然乾燥をさせると目につくのがウォータースポット。非常に不快なのでしっかりクロスで磨き拭き上げたいのですが、取っ手の着脱がかなり面倒で困る。まさか下の台座とまで一体だとは思わなかった。注ぎ口と胴体の間のくびれから取り外すにしても固くて取り外しが困難、つらい、辛すぎる。けど見た目はいい。どうにかしろ、頼むから…改善できたなら全種類買ったるから…そんくらいに見た目は良い…
3,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),ミヤコ,2020年3月12日,4.0,お値段以上です（笑）,見た目も良く、洗う時に外すのも簡単です。しかし、蓋の網の部分などが私のような不器用な者にとっては洗いにくいのかなと思いました。レンチンしたり、沸かしたばかりの熱湯をいれたりしましたが、今のところは問題ないです。この値段ですから、壊れてもまた買いたいですね。
4,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),Amazon カスタマー,2021年5月25日,5.0,見た目だけは本当に良い、見た目だけは,届いて見た途端、気に入りました。サイズもころんとしたフォルムもかわいい。蓋の小さなフィルターも良いし、取手が簡単に外して洗えるところも良い。取手と本体のホールドのため底の形状がちょっと洗いにくそうではありますが、総合的に◎
5,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),独り身,2021年1月13日,5.0,良いです。,一人か二人用にドンピシャリのサイズでした。取っ手も持ちやすくお湯も切れが良く、デザインも可愛く、価格も安くて、雑な私が万一割っても悲しくなく買い換えられます。そば茶も紅茶も茶こし要らずで口のところの小さな茶こしが完璧に濾してくれます。
6,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),Amazon カスタマー,2019年1月23日,5.0,よかった！,ティーバッグ１つ淹れるのにちょうどの容積です。形状or素材のせいなのかそれなりに保温してくれます。３０分くらいなら温かいままかな？蓋が少し硬く、取っ手とコースターも強度が心配な形ですが、ラフに扱わない限り大丈夫だと思います。
7,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),ゆりゆれも,2019年3月17日,3.0,大満足です。,最後までいれようと思うと、殆ど逆さにしないといけません。食洗機で洗うにはハンドルが邪魔ですが、これは大した力も使わずに手で簡単に外せました。付けるのは、外すよりはちょっとだけ面倒、くらいです。また、茶漉し部分はそこそこ使えますが、細かいのが少し出てしまうので、結局ちゃんとした茶漉しがないと綺麗にはならないと思います。
8,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),komanekko,2019年6月17日,4.0,小さくて便利,1カップのメモリのメモリがついているのがいい口に茶漉がついてるのもいい結局お茶パック使うことの方が多いけどでもダサい、ガラスだけでできてる方がオシャレ。ティータイムにこだわりのある人は注意。それから、口は狭いので洗いにくい
9,B0037NQI58,カリタ Kalita コーヒー ティーバッグサーバー 電子レンジ対応 1~2人用 ホワイト 300ml #31175,カリタ(Kalita),富田　保弘,2019年5月30日,5.0,もう少し大きいのが欲しい,300mlがすごく調度いいです好きなリーフティーを300ml入るカップ分いっぺんに作れるのが最高２年ガンガン使ってますが未だ壊れる気配も感じません。伊勢丹でもずっとこれと同じものを使ってらっしゃるのでおそらく正解なんだろうなと思ってます。
