,ASIN,product,brand,name,date,score,title,comment
0,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,Amazon900,2018年12月24日,4.0,ほうじ茶好きには残念,お手軽ティーバッグですが、とても美味しいです。茶葉を急須で淹れたものに近い味で、なおかつ手軽に淹れられるので重宝しています。急な来客にお出ししても、ティーバッグとはバレないレベルかも(笑)お茶の品質はピンからキリまであるので伝えるのは難しいのですが、「普段使いのお茶としては上位の茶葉」だと言えるでしょう。(個人的な主観ですが)ティーバッグに加工されている故に、缶入りなどに対して香りは少し劣りますが、個包装なので茶葉の風味も保てますし、リピート買いしています。価格や箱の大きさも手頃で、ちょっとしたお返しの品にも使わせて頂いています。
1,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,ヤドリーヌ,2019年1月4日,3.0,外出用のお茶はこれに限る！,伊〇園のほうじ茶が切れてこちらを購入しましたが、思いのほか味が薄い気がします。好みの問題だと思いますが、長めに抽出しても変わらないので、次回からは又伊〇園にします。
2,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,#.#.#.,2020年4月13日,4.0,さすがの味わい,お湯を注いで60秒。濃すぎず、薄すぎず、いい感じのほうじ茶が入ります。ピラミッド型のティーバッグは個別包装で清潔感があり、お湯を注ぐと茶葉が綺麗に広がります。1分抽出ですと、色味的には少し薄いかな、と見えるのですが、ティーバッグを取り出す前に2、3回振ってあげると、香り/味ともにしっかりでます(お好みもあるかと思いますが、、)びっくりする程美味しい、というわけではありませんが、お手軽で飽きのこない美味しいほうじ茶です。
3,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,ゆかりん,2021年4月15日,1.0,薄味のような気がする。,ティーバッグが小さいので、茶葉が少なく、味が非常に薄いです。　また、ティーバッグに貼り付けられている紙の持ち手のようなところの粘着力が高すぎて、ティーバッグからなかなか剥がれないため、強く引っ張ると、ティーバッグが破れて、中の茶葉が出てきてしまいます。　ティーバッグの中でもお高めのものだったので、期待していましたが、普通のものより品質や味はよくありませんでした。
4,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,ramses_room,2021年4月18日,5.0,在宅勤務のお供にも安定のほうじ茶,以前京都に住んでいた頃から一保堂さんのお茶が好きで、茶葉だけでなくこちらのティーバッグも急須要らずで便利なためよく飲んでいました。京都を離れてからもオンラインショップを利用していましたが、送料がもう少し安ければと思っていた時にAmazonさんでこの商品を見つけて即購入。賞味期限もお店で購入するのと変わりなく、Amazonプライムで送料無料。嬉しいです。お味についてはいろんなレビューがありますが人それぞれ好みが分かれるのは仕方ないと思います。私はいろいろなお店のほうじ茶を頂きましたが一保堂さんのほうじ茶が一番好きで、ティーバッグでも茶葉と遜色なく美味しいと思います。時間が来たらティーバッグを持ち上げて絞らずに最後の一滴まで落としてから飲んでいます。
5,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,たつ,2020年7月13日,5.0,薄い,他社のほうじ茶のティーバッグを何種類か買ったこともありますが、美味しさが全然違います。しかも1包で2人分は出せます。今までデパ地下で買っていましたが、コロナでデパ地下に行く機会もなく、買い置きがなくなって困ったなあと思っていましたがAmazonで買えて本当にありがたいです。
6,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,トレモロ,2021年2月26日,5.0,やっぱりほうじ茶は一保堂さん,前から茶葉の方を気に入って何回も飲んでいましたが、手軽に飲みたい日もあるのでこちらを購入。普段濃いめに入れているので、マグカップの容量にお湯を入れるとどうしても薄めになりがちですが(規定の量はもっと少なめ)、味はほとんど茶葉と変わらないと思います。色々なメーカーの茶葉を飲みましたが、やはり一保堂は安定の美味しさです。便利なのでまたリピートします。
7,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,八重桜蘭,2020年1月25日,5.0,とても美味しいです！,一回分ずつ、アルミ個包装なので香りも味もいい！普段はマイボトルにたくさん入れるので急須で入れるタイプのほうじ茶を使ってますが、一杯だけ飲みたいときはティーバッグのこれが便利でいい！ちょっとお値段お高めですが、それなりにしっかり美味しいので無くなったらリピします。
8,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,ジュリーク,2018年6月5日,4.0,さすがの一保堂です,最近は外国のホテルでもGreenTea-Bag が置いてあることが多いのですが、どういうわけか恐ろしく不味いので、一保堂を愛用しています。昨年暮れまでは、玉露の三角パックを持参していたのですが、こっちの方が手軽です。
9,B003KYSOEC,一保堂茶舗 ほうじ茶 ティーバッグ25袋入,一保堂茶舗,ところねこ,2021年1月26日,3.0,急須でいれる一保堂のお茶と、そん色ない味と香りのティーバッグです。,まあまあ普通です。美味しいのかよく分からない。スーパーで買うものとの違いが分からない。うわぁ美味しいとはならなかった。
