,ASIN,product,brand,name,date,score,title,comment
0,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,はる,2017年3月9日,4.0,リニューアルしてまずくなった,原材料：大豆（カナダまたはアメリカ、遺伝子組換でない）、バナナ果汁、食塩、香料、安定剤（ジェラン）、甘味料（アセスルファムカリウム、スクラロース）、pH調整剤。栄養成分（100mlあたり）：エネルギー26kcal、たんぱく質2.1g、脂質1.6g、炭水化物0.8g、ナトリウム74mg（食塩相当量0.19g）、カリウム92mg、イソフラボン15mg、コレステロール（表示上は）0。（他カルシウム・マグネシウム・鉄・亜鉛が含まれるが人間の目安摂取量から見ると極微量）※栄養成分の値は2017年2月に購入したもののパッケージからの転載です。商品ページに書かれている値とは微小ながら変化があります私は朝食用フルーツグラノーラ（ケロッグの）にかけて食べるためにいっしょに購入しました。ジュース・牛乳代わりに飲んでもよいですし、シリアル類との相性もよいです。甘さもほどよいです。原材料を見る限り砂糖は使われていません。人工甘味料を使用しているようですが、そのぶん低カロリー（100mlあたり26kcal）に抑えられており、ついついハマってしまう飲み物です。コレステロールもゼロと表示されておりますので、ダイエット中・栄養制限中の方も安心できるかもしれません。※余談ですが、イソフラボンも60mg/日程度に抑えたほうがいいという説もあります。（当品では400ml＝コップ2杯分くらいですね）ただ、ここ最近（2017年3月9日現在）数週間前より販売価格が上がっております。私の注文履歴を参照する限りでは2016年12月16日～2017年2月20日までのあいだに何度か購入しましたが、いずれも消費税と送料込で1237円でした。今は1668円で売られています。そろそろ私の持っている在庫も切れる頃ですので、さてどのタイミングで再購入しようか、と売価をたびたびチェックしているところです……。
1,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,ユーザー,2020年2月9日,4.0,キッコーマンから乗り換え。,普段は 無調整タイプの豆乳 を愛飲していますがこちらも試してみました。100gあたりの成分比較としては■本製品カロリー：25kcalタンパク質：1.9g糖質：1.2gイソフラボン：23mg■ 無調整タイプの豆乳カロリー：53kcalタンパク質：4.5g糖質：1.5gイソフラボン：46mgと、特にカロリー面と糖質の少なさが秀でています。味も美味しいのですが、甘さは「アセスルファムカリウム」「スクラロース」によるものですので、気になる人もいるかもしれません(効能は諸説ありますので各自お調べください)。
2,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,ねこらぼ,2019年7月21日,5.0,シリアルにかけてもよし、ジュース代わりにのんでもよし,ガチ糖質制限中で、脂質がやはり少し気になりますが甘い物として本当に助かっております。怪我により走れなくなり、思うように筋トレも少し制限せざるを得なくなり、カロリー自体も少し下げなきゃいけなかったので、私には救世主です。糖質も少なくタンパク質もおまけ程度にとれるのでそれも嬉しい^_^これからも飲み続けます。普通の豆乳も飲んでおりますがやはり甘い物がほしくなったら迷わずこの紅茶で紛らわす^_^本当に助かっております。凍らしてもシャキシャキ美味しい^_^
3,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,pvsakaduff,2017年3月18日,5.0,カロリーと糖質の低さは優秀,糖質制限ダイエット中なんだけど、コーヒーやココアは飲みたい、でもブラックはキツイし、と言って入れる牛乳の乳糖は割りと高めで困る…。じゃあ、と無調整豆乳をコーヒーに入れていたのだけれど、ぶっちゃけマズいし癖がある。そんなときに発見したのがこのマルサンの豆乳バナナ。バナナのほんのりとした甘さで豆乳独特の癖が殆ど無い！しかも糖質は炭水化物0.8g/100ｍｌとほぼ無視していレベル！今はコーヒーやココア、そのままストレートで飲んだりと美味しく頂いています。
4,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,Amazon カスタマー,2021年2月27日,5.0,救世主様様,最近豆乳を飲み始めました。いつもは有名なキ●コーマンの色んな味をなんとなく飲んでいて、The豆乳感のあるあの感じが苦手でした。他のメーカーのものも飲んでみたいと思い、カロリー50％オフだったこちらを購入…。無難なバナナ味を選びました。飲んで見てびっくり！とっても飲みやすい！！今まで飲んでいた一体豆乳は何だったのか…ゴリゴリ主張していたあの風味が影を潜めています…。しっかり甘かったのも驚きました。温めて飲んでも美味しいです♫︎次は別の味を買ってみようと思います。
5,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,いんぴお,2021年4月22日,5.0,コーヒーやココアにも混ぜて是非,ミューズリーにいれるミルクとしては牛乳豆乳ライスミルクアーモンドミルクココナッツミルクなどがありますが、カロリーが高かったりそもそも美味しくなかったりしていて、適度に甘くてカロリーが低いのを探していたらこちらに行き着きました。人工甘味料などでそれほど体に良いとは限らないかもしれませんが、私はこれ以外を使うつもりはないです。
6,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,∧,,,∧ ฅ ˊ˗,2019年3月8日
7,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,ケーニヒ,2021年1月26日,4.0,ミューズリーにかけて食べています,多分、豆乳と言えば2大メーカーと言って良いのかな？スーパーで買える味付きの豆乳。その豆乳同士で味を比べた場合、もう一社の方が単純に上手いです。ただ、豆乳に味だけを求めている訳ではないと思うので、味は少し落ちるとしても低カロリーの方が嬉しい。そして慣れると美味しく感じるのでこれで十分。夜にも飲みやすい低カロリータイプという点でこのシリーズが一番飲みやすい。
8,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,あおしま,2021年4月11日,5.0,ゴクゴク飲めるミルクティー!,豆乳だいすきでいろんなメーカー、いろんな味を飲んでいますが、このバナナ豆乳がいちばんすきです。普通のだと甘すぎるので飲みずらいのですがハーフのこれは飲みやすい！ごくごく飲めていいです。しっかりバナナ味だし何より味がほんと美味しい！この先もずっとこれ飲みます。
9,B003U5UW32,マルサン 豆乳飲料紅茶 カロリー50%オフ 1L×6本,マルサン,にすも,2020年12月12日,4.0,風味が変わってしまった,我が家の長女がお茶系はじめ、カルピスやジュース系も苦手で、唯一、水少しと野菜生活少しと、たまに牛乳を飲むだけでした。水分不足や、それに伴う便秘なども気になったので、お試しで普通のバナナ豆乳やココア豆乳を買って飲ませてみたらハマり、毎日飲む為にカロリーが気になるのでこちらの商品に変えても、好んで毎日飲むようになりました！次女も好きなのでスーパーでまとめて買うより家まで届くのがラクだなーと思い、こちらで購入。やはりスーパーで買うより少しお高いですが、ラクさと、送料だと思ってまた購入します！
