,ASIN,product,brand,name,date,score,title,comment
0,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),バター大好き,2020年8月6日,1.0,普通に美味しいけど?,別メーカーのダージリンティーの品質が落ちたので、ちゃんとしたものを探して試しに購入。ダージリンの香りのかけらも無く、紅茶なのかよくわからない味。どちらかというと烏龍茶のような感じもする。お金を無駄にした。
1,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),新高山の夢,2019年5月26日,4.0,なんだ　この味は・・・,以前こちらのピーチパッションフルーツを飲んだときとても渋くて、本品の購入をとても迷っていました。最初は独特な青臭さが気になりましたが、数日で慣れてしまいます。貼り付けられていた味わいの度数表記通り、すっきりとした味わいですが、水色は鮮やかな良い色味でした。大容量で低価格だというのに、香りのあるダージリンが飲めるので、とても良い買い物です。
2,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年4月9日,5.0,香り無し、味は変,「ダージリンらしい香りと水色がない」その通りだと思います。でも基本に忠実に丁寧にいれると味はダージリンらしく香りもそこそこ立ちます。色はちょっと濁ってるかな。茶葉の姿、色ツヤをみた瞬間にこれはあかんという人もいるでしょう。でもなんといっても200g入ってこの値段。「ダージリンらしいダージリン」と思われているブランドの半分か4分の1の値段。とっておきでなくても、家族で食後のひとときに気軽に(でも丁寧に)いれて楽しむにはこのぐらいでないと。マグカップに半分、あと半分はレンチンした熱い牛乳を注いで、そんな飲み方でちゃんと美味しいですよ。
3,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),もふにゃむ,2021年2月21日,4.0,良心的な価格,ティーポットで入れるときも片付けが面倒だからと、パックをつかっていました。なんとなく味も香りも出ないなぁと思っていたのですが、パックを使わずに茶葉を多めにしたら味も香りも良くなりました。味や香りが出ないと思われてる方は、ポットの予熱と茶葉の量を調節されてみては如何でしょうか。
4,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),so,2018年1月24日,2.0,普段づかいの紅茶として,味がとても薄い。香りもあまりフレッシュではないです。カビっぽいと言うか、なんだか独特な風味が鼻に残りました。リピはしません。
5,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),マヨちゃんパパ,2021年3月18日,5.0,茶葉多めが良いのかな,普通に美味しいけどね。薄いとか濃いとか書いてる人、お湯の温度は勿論、時間とかちゃんとはかってる?まぁこの量と値段で文句言うのはちょっとと思うよ。
6,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2019年3月23日,5.0,味、香りともに安っぽい。,一番安い部類だと思いますが、十分に美味しかったです。AHMADのアールグレイも愛飲していますが、味についてはこちらの方が勝ります。無論香りはアールグレイの方がどうしたって強いのですが、こちらは標準的な紅茶の香りで落ち着きます。
7,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),バニラ,2019年2月7日,5.0,安い,勝手にもっと小さいと思ってました。KALDIにあるサイズかと。美味しいです。オススメです。個人的にはもっと小さいと良いかな。珈琲党だけどコレなら紅茶も増えそう。
8,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),haruki,2021年2月7日,3.0,王道。,日頃トワイニングやトップバリューのダージリンを飲んでいたのですが、これはそれと比べてスパイシー(？)な香りがしてスッキリし過ぎていました。好きな人は好きだと思いますが私には合いませんでした。
9,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),tea+3,2020年3月22日,5.0,デザイン,美味しいよ
10,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),RipCraft,2016年11月8日,5.0,癖のある味,この「アーマッドティー」シリーズはいずれも良いと思います。リーズナブルな価格。香りを大事にした葉っぱ。実際に入れて美味しい紅茶。･･･と言った印象です。普段がぶがぶ飲むには最高の紅茶ブランドの一つに間違いない。･･･と思いました。
11,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),レッドドラゴンフライ,2021年1月15日,4.0,あ,紅茶はいつもこちらのダージリンにしてますパックより葉が本格的で好きですお値段もお手頃が良い！今回購入した物は香りが薄いので−１にしました。
12,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),ガジュマル,2020年9月25日,4.0,香り良し、味良し･･･紅茶のシャンパンです。,色と味は良い。値段も値打ち。残念ながら、ダージリンとしても、香りが弱い。
13,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),梨,2021年4月20日,5.0,お手頃価格,茶葉を　ポットに　入れると　数倍旨い　最高です
14,B003ZNL4IQ,AHMAD TEA ( アーマッドティー ) ダージリン 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),suppa,2016年12月15日,5.0,悪くは無い,お茶は家内 紅茶は自分 何時の頃からか こんな役割分担になっていました。アーマッドティダージリン 良いです。お奨めです。茶葉6g 新鮮なお湯400cc 二分半。二人分です。
