,ASIN,product,brand,name,date,score,title,comment
0,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazonカスタマー,2018年11月15日,2.0,ミルクティーに最適,立派な缶の中に、ビニール袋で密封されたパッケージは、この価格帯ではご立派！しかし、味はお粗末。TWININGSのイングリッシュブレックファストが手に入らないので、代替品を探している中で今回初めてAHMADを試してみました。コク無し、香り無し、渋みだけはなんとなく感じるものの、ミルクティーにしても物足りない味……。がっかりです。
1,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),光井彌菱,2019年12月13日,5.0,詰まるところ紅茶はコレ。,レビューでは好みは分かれてたので少々心配しましたが、細かい味の違いが分からない私には、なんのことはない普通の紅茶だと思いました。昔、友人のイギリス土産で、小さな缶に入った紅茶が美味しくて、また飲みたいなーと思っており、今回探しました。全く一緒ではないとは思いますが、似てるような気がして満足です。タ◯ーズのロイヤルミルクティーが好きでよく飲みますが、それにも似てるような、、？！缶の練乳を大さじ1加えて、簡単ロイヤルミルクティー！牛乳買わなくてよくて保存がきく。ハマりました。スーパーで購入する黄色の小分けパックのものなどは20gで250円もするので、それよりはずっとずっとお買い得。温度や浸す時間、量によっても風味はずいぶん変わると思うので好みを探してみてもいいかもしれません。
2,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),nobody-000,2019年6月23日,4.0,期待はずれ……。,安かったので、試しに購入しました。「しっかりとしたコクと甘みがミルクティーにピッタリ」というキャッチフレーズ通りの茶葉です。味、コク、とてもよく出ます。是非ストレートで飲んでいただきたいです。これなら水出しでも美味しいだろうと思い、茶葉8グラム、水750cc、抽出時間12時間で作ってみました。色が濃く、味がまろやかな水出し紅茶になりました。職場で試飲会をしたところ、水出しの方が支持率高かったです。（特に女性から）夏のティータイムに、冷たい水出し紅茶が出番多そうです。
3,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazoon,2020年6月10日,5.0,ハマった,紅茶は濃く渋みがあって変な香りがしないっていうのが好みな貧乏舌な私にはベストマッチ。飲んだことも聞いたことも無い茶葉だったが、人生でトップに入る本当に最高で好みな味。コスパも良い。ミルクティーが合うってありましたが、個人的にはそのままの茶葉の味が好きすぎてストレートティーで飲む方が好み。ただ、香り高く～繊細な～・・・といった高級感のある本格派の人には合わなそうな感じはしますね。。
4,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),キヨノブ,2019年5月2日,5.0,水出しでも美味しいです。,普段はコーヒー党ですが、たまーに濃いミルクティーにしてこれを飲んでいます。5分くらい漬けておいて多めに牛乳を入れると、苦味のない濃厚なミルクティーになります。ストレートだと（説明書通りにやっても）ちょっと苦味が勝ってしまう味でした。
5,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),とぺ,2018年9月28日,5.0,コスパも味も最高,ストレートで飲むならダージリンが好きですが、チャイにするならこちらが向いています。ミルクや豆乳で煮出して、スパイスを加えてもしっかり風味が出ます。濃く作りたい時は少量のお湯で煮出してミルクを加えます。ロイアルミルクティーにしても美味しいです。リーズナブルだと思います。
6,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon歴17年,2018年12月13日,5.0,ミルクティー用に。,安物を飲みたくない人は買わない方がいいでしょう。いつも２杯分作り、一杯目はストレート。二杯目はロイヤルミルクティーで飲んでます。きちんと淹れると舌にまとわりつくようなとろみがあり、美味しい。ミルクティーにする時は、チャイにしていましたが、ロイヤルミルクティーの方が断然美味しいです。（個人の感想です）
7,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),TO,2021年3月9日,3.0,チャイに向いている,好みじゃなかった。思っていたイングリッシュブレックファーストと違う。袋を開けると香りは少なめ。いれてみると色に赤みがあまりない。飲んでみるとなんだかトワイニングのプリンスオブウェールズのような中国茶ぽいスモーキーさに加えて清涼感のあるミントのような香りを感じる。英語でこのブランドを検索したら、日本語の説明とは異なった説明があった。どちらが正確なのだろう。謎だ。
8,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Hyakken,2019年6月30日,5.0,美味い,アーマッドティーは初めて使いましたが味もしっかりしています。手ごろな価格なので手軽に茶漉しで淹れて普段に飲んでいます。砂糖少しのミルクティーです。グラニュー糖は薄っぺらい味なので三温糖の方が好きです。あと自家栽培のフレッシュベルガモットを混ぜてもいけます。
9,B003ZPFCN2,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),HIROMICHI,2019年3月26日,4.0,まさに、リーゾナブルの商品である,毎朝欠かさずミルクティーを飲んでいます。イングリッシュブレックファースト・・・となると、もう少しコクや渋みがある方が個人的には好みですが、この量でこの価格でしたら満足できる品かと思います。毎日たっぷり飲むことを考えると、飽きのこない無難な味が逆に良く思えます。
