,ASIN,product,brand,name,date,score,title,comment
0,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),キンタとシロ,2020年9月14日,5.0,セイロンは淡泊そのもの。若い女性向き,ベルガモット香料を使用していますが、変に強調された香りではなく、味を邪魔しない程度の香りに感じました。私はこれくらいの香りの強さがちょうどよかったです。もっと香りが強いのが良ければ同メーカーのアールグレイがお勧めです。私はこれ以上香りが強いと味を邪魔しちゃう感じがしましたのでこのイングリッシュティー No.1で良かったです。肝心の味ですが、紅茶にさほど詳しくない私でも、スーパーで良く売っているリプトンイエローラベルよりは明らかに美味しく感じましたし、味も濃く感じました。単価的にはイエローラベルとさほど違いはありませんので、イエローラベルで何か物足りないなーと思っている人には特におすすめです。
1,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),ペットの世話が大変,2012年1月9日,5.0,葉も大きくコスパは良いがエキスは少し薄め,アーマッドのクラシックセレクション(ティーバッグ)に入っている銘柄は、いずれも美味しいと思いましたが、中でもこのイングリッシュティーNo.1は、これまでに戴いたことのない風味で、すぐに好きになりました。アールグレイほどベルガモットが強くないので、飲みやすいです。ここ数年、自宅に切らしたことはありません。これまではティーバッグ100P入りを近くの輸入食料品店で購入していましたが、アルミパックではないため香りが飛んでしまうのが残念で、今回初めて缶入りのリーフを試してみることにしました。アーマッドの紅茶は、トワイニングより味がしっかりしていて、ジャンナッツより香りが自然だと私は思っていますが、こと味覚や嗅覚に関しては好みがありますので、あくまでご参考に…
2,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Habicht,2019年7月9日,4.0,程よいベルガモットの香り,アールグレイは苦手。でも夏の無糖アイスティーに風味が欲しいので、水だし紅茶 ティースプーンに普通の茶葉３杯&アールグレイ２杯で作ってました。イングリッシュNo.1を知って便利になりました。初めから控えめにベルガモットの香りが付けられてます。
3,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),碧さん,2019年7月25日,4.0,私も大好きです。,私はこちらのアールグレイがあまりにも化学薬品のようで飲みにくいと感じてしまう嗜好ですが、イングリッシュティーはおいしくいただいております。茶葉を20gくらい入れて1800mlの水で出し、ミルクとメープルを入れて飲む事が多いですが、合っていておいしいですよ。10回作ったら終わる量で1000円ほどなので、コスパ的にも気に入っています。個人的にはカンが勿体ないしゴミになってしまうから、袋売りでも良いな。
4,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),万理河,2021年4月23日,2.0,控えめなベルガモットの香り,以前購入して美味しかったので、商品自体は良いものだと思います。しかし、缶やパックから合成洗剤のような強い臭いがしたため返品しました。洗剤のそばで保管されていたせいで臭いがうつったのでは？食品ロスが問題となっているこのご時世で、自分でも無駄なロスを出さないよう気をつけているつもりなのに、アマゾンの保管状態でこのような結果となり、非常に残念です。保管方法を改善して欲しいです。
5,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),紫,2020年6月26日,5.0,安い割にはおいしくいただけてありがたいです,日本には昔から美味い紅茶が無かったし、それゆえ、インド産の春摘とか夏摘みとか言って50g3800円のダージーリンだとか売っているお店もある。アーマッドの紅茶は最高品質ではないかもしれないが毎日たっぷりと楽しめる紅茶であることは間違いない。知り合いにも紹介しているが知り合いも愛飲している。何故か、朝一でたっぷりとゴクゴク飲んで体もホッとしている。日本茶やコーヒーとは違うところだ。朝の紅茶に後からミルクを注いでゴクゴクと飲む。体が欲している。私は香りを付けたアールグレイなどは嫌いだが、色々とこれらアーマッドティーは楽しめる。毎日楽しむには50g3800円などのバカげた価格の紅茶は必要ない。十分です。
6,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Lepus,2020年2月21日,5.0,合成洗剤のような強い臭いがしたため返品,ダージリンとアールグレイばかり良く飲むのですが、初めてセイロンに手を出して感じたのは、自分の想像するこれぞ紅茶と言う味でした。まあダージリンは紅茶界のシャンパンと言われますし、アールグレイは香りを強烈につけているので、どちらも正統派でないと言えばそうなのでしょうが、私の定番紅茶にもう1つ加わったのは間違いありません。
7,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),中本　芳樹,2021年5月17日,4.0,廉価でありながら十分楽しめる紅茶です。,毎月定期購入している。量も多くお安くて、一日中紅茶を飲んでいる私のような者には普段遣いにありがたい紅茶。安い割には香りも味もちゃんとセイロン。と、今までだったら★５つけてたけど、今回(2021年５月)届いた分は、香りがせず、酸味が強い。時々梅干し風くらい。保存状態がよくなかったのだろうか？
8,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),のむ,2017年3月11日,5.0,ミルクを入れて飲みます,たまにしか紅茶飲まなかったが大好物のバームクーヘン、シュークリーム、サンドイッチなどは紅茶でなければと、とりあえずのティバッグで飲んでいましたが、やはり茶葉からと思いこれを値段で選びました。かつてはJackson of Piccadilly Tea Tin（海外の免税店で多めに購入）に行き着きましたが、これはその味に近く満足、次回も購入します。
9,B003ZPKIWC,AHMAD TEA ( アーマッドティー ) イングリッシュティー No.1 200g 缶 [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2020年12月21日,3.0,お得,アッサムが手に入らなくなって数か月。その代用品としてだんだんと慣れ親しんできた。蜂蜜につけたレモンがこのセイロンにはミルクよりも似合うのだが、朝はやはりミルクテーに限るのでまあいいか？セイロンはアフタヌーンティーにお勧め、
