,ASIN,product,brand,name,date,score,title,comment
0,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),ltptktpt,2018年12月3日,1.0,配送方法に問題あり,適量は100mlに1本と書いてありますがそれだと味も香りも薄くてお茶の風味がついたお湯を飲んでる感じです。お茶を飲みたいなら面倒くさがらずに急須で入れるか、最低でも粉茶にすべきだとよくわかりました。
1,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),どるる,2020年5月23日,1.0,想像してたよりもおいしい,もうどうして買ってしまったんだろうという後悔ばかりで、まったく味がしません。1杯13円ですが、あまりにも量が少なく、ほうじ茶の粉末もあっという間に溶けるのは宣伝のとおりですが、とてもお茶の粉末とは思えない速さで溶けます。そして味がない・・・。1本あたり100mlの水なのでコップ1杯ではなくて1/3杯程度で飲まなければなりません。説明を良くみると4本入れて400mlで使えって書かれていますよね。何度も書きますが、分量を守っても味も香りも何もないです。これで「おもてなし」と言われると悲しくなります。1杯あたり15円のハッピーベリーのお茶が薄すぎて買い替えたのに、このざまです。学習能力のない自分を責めたいです。
2,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),774,2018年4月7日,5.0,味薄っ,新茶人の瓶入りががなくなってがっかりしていましたがこのスティック状のお茶を見つけてすごく喜んでいます。なぜなら外の粉状のお茶を何種類か使いましたが新茶人のように溶けません。どんなにかき回しても残ってしまいます。新茶人は書き回さなくてもお湯を入れただけできれいに溶けます。本当に優れものです。
3,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),aoki,2019年8月26日,5.0,味も香りもなにもしない・・・低評価レビューを参考にすべきだった,この緑茶はホットで飲むより、冷たいミネラルウォーターで溶かして飲む方がおいしい気がします。カップで飲んだり、水筒に入れて持ち歩いたり、とても便利です。水筒に入れるときは、先に緑茶パウダーを入れておいて水を注ぎ、水筒の蓋をしてゆすってやれば、全く問題なく溶けます。暑い時に飲むと、爽やかでおいしいです。すっきりします。
4,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),Amazon カスタマー,2018年5月1日,4.0,新茶人 溶け感が違います🍵,なのでたっぷり飲みたいときはマグカップに2袋入れます。ということは減りが早いですね。ティーバッグとどちらがいいか。。。お湯さえあればさっと出来るので早さではこっち。風味とかコクとかはティーバッグに負けてるような気がします。お手軽なので、お試しの購入でした。
5,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),エリウ,2020年3月5日,5.0,夏場は欠かせません。,カップ一杯に１スティック、500ml程度の水筒に2スティック入れて飲んでいます。会社の机の中にもいくつかストックしていて、コーヒーに飽きたらこちらを。味は過去にいくつか試した同様な粉茶の内で一番良いと思います。溶けるわけではないですが、一瞬でうまく水に交じり、だまにもなりません。普段は冷水で溶いていますが、もちろんお湯に入れても良し。まだまだ使い続けると思います。
6,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),さふらん α,2020年10月12日,2.0,100CC用です。,普通イメージする麦茶って、まず香ばしい（雑に言えば焦げた）香りだと思います。こちらのは焦がした香りがしないのでひと口目で「なんじゃこりゃ」と思いました。そば湯を飲んでるようなぼやけた味です。伊藤園の方がおいしいと思います。
7,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),アイダホ,2020年10月14日,5.0,味よし、使い勝手よしで継続使用中,ティーバックより粉末の方が手軽で便利なのでよく購入してたのですが、これは断トツでキレイに溶ける！お湯や常温の水も余裕。冷たい水はささーっとかき混ぜた方がキレイに溶けます。きちんと淹れる方が当然美味しいと思いますが、味にそんなこだわりはないので、手軽な粉末は助かります。もう茶葉やティーバックには戻れないかも。
8,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),misan,2019年10月18日,2.0,この味にハマればお得だと思います♪,以前、ビン入りの煎茶がありましたよね。「上煎茶」ではなく「煎茶」でしたが、あの味を求め期待してこの商品を購入しましたが、なんか違います。飲んだ後の鼻に抜けるお茶の香りがなくなっている気がするんです。残念です。
9,B0047RUMJQ,AGF 新茶人こうばしほうじ茶スティック 100本 【 お茶 スティック 】【 ほうじ茶 粉末 】【 ティーバッグ不要 】,AGF(エージーエフ),白牛の騎士,2021年2月7日,5.0,美味しい、でも少量で,在宅ワークで冷えるので温かい飲み物を手軽にということでこちらを購入。いつも2本使いでマグカップ一杯分を作っています。大容量なので毎日飲んでもしばらくあるのでストックにもいいです。コーヒーばっかり飲んでたら胃がやられたので日本人は緑茶だろ！ということで最近はこっちを多用しています。今やらないし、なんとなくカテキン効果で免疫高まりそうだし満足しています。
