,ASIN,product,brand,name,date,score,title,comment
0,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,nao,2018年5月12日,5.0,ティーパックならこれ,なんだかんだ言って、この手の商品は、Amazonが一番安いんですよね。安定供給な上、わざわざ他で安売りしてる所まで行かずに済むのも、通販ならではですね。
1,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,こっここ,2019年8月16日,4.0,期待しすぎた,おいしいと思いますが、一点、お茶の入れ方にコツがあります。100度の熱湯は使わないで下さい。最初熱湯でお茶を入れたら、凄くまずかったです。ところが、沸かしたお湯をコップに入れ、少し温度が下がった処へティーパックを入れたら、劇的に味が改善されました。紅茶は熱湯でもOKなようですが、緑茶はやはり80度くらいのお湯が良さそうです。一点、不満なのは、ティーパックの紐が外しにくいことです。ホッチキスで留める必要ありますかね？？
2,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,抹茶,2018年6月9日,4.0,いつも買ってます,お茶屋が表に出さない様な本物の高価なお茶では勿論値段からして有りえませんが、抹茶が入っているので、水出しでも色は出ます。通販では無理だろうが、本品は簡単に手に入り、ペットボトルに突っ込むだけで、水出しで使うには色がよく出ることと、若干香りがしますので、現在では一番多く使用しています。　此の程度の使い方なら二リットルに二袋だとそれなりの色、三袋だとかなり濃くなります。茶カテキン粉末を添加すると更に美味しいです。黒ウーロン茶と紅茶とルイボス茶も。
3,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,ポー,2019年3月17日,4.0,おいしいと思います,渋みが出にくく、香ばしくて美味しいです。寝る前などカフェイン少なめのお茶を飲みたい時に重宝しています。ただ、タイトル通りとにかく粉飛びがすごい。個包装の袋を開けティーバッグを取り出すと、ティーバッグの細かな網目からこぼれ出た更に細かな茶葉の粒子が、それはもうそこら中に飛び散ります。手にも付きます。笑これさえなければなぁとも思いますが、自分一人で色々な種類のお茶・コーヒーを飲むため、飲み切りまでの期間を考えるとやっぱりこの商品になってしまいます。総合的には満足しているので、当分乗り換えはしないでしょう。
4,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,福の神,2019年1月8日,5.0,水だしで普通のお茶が作れます。,祖母と自宅用に買いました。20箱が合わせ買い対象なのがちょっと残念。売ってない店もありますがネットなら確実です。三角ティーバッグで茶葉の旨味がダイレクトに出てる気がします。お湯でも水でも数回楽しめる。毎日飲むのにちょうどよい美味しさ。
5,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,kohaha,2020年2月21日,3.0,粉飛びがすごいけど美味しい,辻利の緑茶と玄米茶のパックを利用していましたが、たまには違うのにしてみようと伊藤園の緑茶と玄米茶を購入。辻利の方が値段は高いし、お茶の色もあまり濃くないです。一方こちらは値段も安いし、お茶の色も濃いです。ただ、緑茶、玄米茶ともに香りは辻利の方が良いですし味の濃さも辻利の方が上です。値段なりの差がついてるように思いますが、色の見た目や値段なども含め好みで選ぶ範囲ではあるかなとも思います。
6,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,margue,2021年1月1日,4.0,オーソドックスに美味しい,水出し簡単で重宝してます香りもいいしお値段もお手頃1リットルくらいの容量ボトルに3袋を投入して冷蔵庫に入れて待ちます茶こしがついてるボトルなので、ある一定量飲むと浸からなくなるため、そのまま最後まで。濃さも十分。少し底に粉が溜まるので軽くボトルを揺らしながらグラスに注ぎます何より前のようにペットボトルのケース買いの必要もなくなりましたこちらの方が、エコだし、お茶の香りがいいし、コスパいいので私は好きです毎日頂いてますこれからもお世話になりますね
7,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,kereo,2020年7月8日,5.0,色は濃いが味は薄い,緑茶。高品質。熱湯をそそいだのに、苦みや渋みが出ない。ふつう、１００℃の湯を入れると苦みや渋みが強く出るので、６０℃でおいしく淹れる方法などの情報をよく聞くんですが、それがありませんでした。まろやか、香り良い、うまみあり。２００ミリリットルくらい量を淹れても、飲みきれます。小袋は三角錐で、旧来の平面包装より茶葉の成分がよく出ます。手軽で簡単なのも良いです。＿＿＿＿＿同シリーズ「ほうじ茶」は、茶の粉末が小袋の外にたくさん付いていて、飲むときに飲みにくいです。ほうじ茶の味は良いです。苦味がなく飲みやすい。
8,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,（＾_＾）,2020年7月21日,4.0,茶葉の質の改善を求めます！！,このシリーズを購入する際に緑茶、玄米茶、ほうじ茶の３種類あったので迷った結果、全て購入しました。もちろん20包入です。その結果ほうじ茶が一番美味しく感じた為、80包入りをリピートしました。会社の給湯室でコーヒーのドリップタイプ（AGFキリマン）を1日３回は飲んでいましたが、時折別のものが飲みたくなり、ほうじ茶がコーヒーの後に飲んでも負けないくらいの香りの強さに惹かれました。２回分となっておりますが、大きめのカップに１回で入れています。お茶を入れる時の香りがいいですね。上を見たらキリがないお茶の世界です。価格重視の会社での飲料としてはかなりのお勧めです。
9,B004M89V6K,食品・飲料・お酒,プレミアムティーバッグ,りーり,2021年5月12日,4.0,水出しでマイボトル使用で重宝しています,味はいわゆる緑茶。特別に渋いとか、苦いとかありません。日本人ならだれでもイメージできる緑茶の味です。ていーバッグはプラの袋に入っていますので、湿気てしまう心配もありません。中のティーバッグはヒモの先に紙の取っ手がついてますが、これがティーバッグ自体に縫い付けてあるのか、なにしろくっついていて取りにくいです。３回に１回くらいは失敗してティーバッグに穴があきます。もちろん紙の取っ手も使えません。面倒な時はそのままマグカップに入れちゃいますけど、濃さを調節したいときは、ヒモと取っ手でユラユラしたいですよね。大きめのマグカップ（４００ｍｌ）でも二杯分くらいはお茶が出るのでたくさん飲めて満足です。
