,ASIN,product,brand,name,date,score,title,comment
0,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,祇園丸,2018年8月6日,5.0,家族のお気に入り,ミルクティーが好きで、１日1杯は必ず飲みます。色々飲み比べて来ましたが、神戸紅茶は、トワイニングやアーマッドのブレックファストよりも味が濃く、茶葉2倍などで売られているミルクティーのような濃厚な仕上がりになります。何度もリピしてますし、これからもします。
1,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,Nn,2021年1月23日,3.0,濃くて香りも味もいい,美味しいです。ただひとつだけ。個人的に残念なのがティーバッグがホチキス留めしてあること。糸を切って飲んでる間ティーバッグをずっとカップに入れておく飲み方なのでホチキスの針が気になります。ミルクも入れるし。ミルクティにいい濃さでいいんですけど。。。メーカーさん、ホチキス留め、改良してください。お願いします。
2,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,ねむみり,2019年2月11日,5.0,濃厚な茶葉の香りが良い,家ではリーフをティーポットで作り、ティーバッグは職場に置いています。イングリッシュブレックファーストはなかなか売っていないので、私にとって神戸紅茶さんはなくてはならない存在です。市販品のティーバッグはマグカップでは薄く、２パック入れなければ美味しくないですが、神戸紅茶さんのは１パックでおいしいミルクティーができるほど濃くて、香りもいいです。
3,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,ぱる,2017年4月23日,4.0,ホチキス留めが。。。,朝の時間に待たずにすぐ出るのはありがたい。1分2分の待ち時間がいらない。味は、市販のペットボトルjavateaに似ていると思います。味わうというより、ぐいぐい飲むタイプ。アールグレイが苦手な家族もいるので。星４つは、香りが広がらない。（安いから当たり前か‥‥）でも、惜しみなく使えるお値段が星５つ。＾＾こだわらない人には、これおすすめ！
4,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,はんちゃん,2019年9月11日,2.0,美味しい,紅茶の香りも味も薄くてイマイチ…。ミルクティーにオススメのようですが、ミルクティーにするとさらに風味がなくなり、美味しくないです。色は良く出るのですが、肝心の紅茶の味や香りがこれではリピートはないです。他の方の評価は良いので、私に届いたものだけがハズレだったのでしょうか。
5,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,ニャームズ,2021年4月22日,5.0,紅茶が苦手な人もこれなら‥‥,茶葉がめんどくさいときにこれでミルクティーを作って飲んでいます。濃く出るしコスパ的にじゅうぶんです。５個ずつ小袋にパックされているので香りや風味を損なわず保存できるのでいいと思いました。細かい部分ではありますが小袋に切れ目が入っているので手で開けられる点も便利だと感じました。
6,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,あゆ,2021年5月10日,2.0,香りが無い,三井農林シリーズ（特にアッサム）を長年飲んできたので、たまには違うものをと思い購入しました。手軽なティーパックですし価格も安価なので、香り高く等のハードルはかなり下げていますが、正直、これは香りも薄く茶葉の味も薄く、紅色のお湯を飲んでいますと言う感じでした。残念です。
7,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,hannah,2021年3月28日,5.0,ささっとミルクティー作って飲むのにはじゅうぶん,毎日じゃんじゃん飲む用にPGtipsのストロングをしばらく使っていたんですが、コロナのせいか入荷がなかったのでこちらに変えてみました。日本の水に合ったブレンドなのか、こちらの方がおいしい！これからは愛用させていただきます。
8,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,Amazon カスタマー,2019年11月30日,5.0,おいしい〜っ。,ブレンドを一袋飲んでこちらを初めて購入しました。ミルクティーで飲むようですが、ストレートで飲んでおります。美味しいです。ただ一言！ブレンドとこちらなら、イングリッシュブレックファストが好みです。リーフも飲んでみたいです。
9,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,yuto s,2018年12月15日,4.0,1日3回20年飲み続けてます。,若干、というかそれまでリーフティーで入れていたのがこれに変わったので、それは仕方がないことなのか。ただ朝サーモマグ内に熱湯注いでこのティーバッグ入れて、最後に少しミルク注いで職場に持参していたのですが、当たり前だけどティーポットで入れるよりも熱々で昼まで持つのでいいなあと。ミルクティー用ティーバッグ、更にジプシーしてみます。
10,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,蘭子,2017年8月9日,5.0,この紅茶美味しいです。,私は紅茶よりもコーヒー党ですが、朝は必ずミルクティーを飲みます。これはお値段のわりに、紅茶の色合い、香り、味ともになかなかで、気に入っています。これよりも少し高価で有名な紅茶もありますが、味よりも包装にお金をかけているのでは・・・と思われるものもあり。最近はもっぱらこれを 注文しています。
11,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,masaco,2021年6月7日,4.0,若干香りが弱い。,以前購入したことがあるピンクの箱？のものよりは、香りがあまりない感じがします。ミルクティーにはぴったりです。
12,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,ロージィ,2016年12月7日,5.0,紅茶は素人ですが,ネットの評判がすごく良かったので買ってみましたが、本当にその通り美味しかったです。ミルク紅茶用とあったのでミルクティーにして飲んでみましたら、ミルクを入れても紅茶の美味しさが薄まらずに、それでいて美味しい紅茶が味わえたので、これは本当に買ってみて大正解でした！色も味もよく出ていたのも、嬉しかったです。
13,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,ポムポムプディング,2020年7月30日,2.0,朝のミルクティー用,頑張っている地方ブランドかと思い期待しましたが、残念ながら、たいした印象がありません。スーパーでよく見るリプトンのほうがましかも。
14,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,広島太郎,2018年1月12日,5.0,ミルク紅茶用,ロイヤルミルクティを作るのにはイングリッシュブレックファーストが一番合うので、比較的安価なティーバッグ紅茶を探していて見つけました。安くてたくさんつかえるし、味も良かったので、あっという間になくなりました。またリピします。
15,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,めがね,2021年5月5日,4.0,期待はずれ,評判が良いので買ってみました。ストレートで飲みたかったのですがミルクティーに適しているようです。
16,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,なおやん,2020年7月24日,5.0,さいこー！,ロイヤルミルクティーにして飲んでます。コクがあり、今までの紅茶でハロッズのNo.14と同じか上回るくらいにとても美味しいです。ミルクティーにおすすめです。
17,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,リラ,2017年3月15日,4.0,濃く出てたっぷり飲めます,元々神戸がすきでかいました品質が高く立派です。ただ、かおりがゆたかではないんでアールグレーのほうがお勧めです。
18,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,yoko,2020年5月10日,5.0,ハロッズNo.14をこえる？,手軽に美味しい紅茶が楽しめていつも常備しています。朝食のトーストにもケーキにも合います。
19,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,Amazon カスタマー,2021年6月24日,5.0,さすが神戸,しっかりとした濃いめのティーです。ミルクティーにして飲んでます。
20,B004YNVHDS,神戸紅茶 イングリッシュブレックファスト 2.5g×50P,神戸紅茶,さくら,2016年3月28日,4.0,美味しい,神戸紅茶初めて飲みました。本当だー美味しいです。しっかりとした深みのある味だけど渋みが少なくて美味しく飲めました。ストレートでももちろん美味しいですし、自分は豆乳を入れて飲むのが好きなのですがミルク類を入れると味が薄まっていまいちな紅茶が多いけれどこれは大丈夫でした。
