,ASIN,product,brand,name,date,score,title,comment
0,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,halhal,2018年8月13日,4.0,説明無しに内容量が少なくなっている,3gから2.5gになったと思ったら今度は2gに。3g→2.5gに変わった時は変わりませんでしたがティーバッグも2回りほど小さく。以前のものと比べると、ティーバッグ1つで400~600mlのお茶が出来たのに2gになってからは同じ量のお茶を作るのにティーバッグが2つ必要なんですね。大好きで何年もリピートしていますしリピーターさんの非常に多い商品だと思っていますがこっそり改悪…残念です('-ω-`)味は変わらないので引き続き愛飲するつもりですが、元の量に戻して欲しいですね。3gとは言わないけど1ティーバッグで600mlのお茶が作れる2.5gくらいには…。不満を持ちつつも愛飲するので(このような人が多いと思います！)メーカーさんは変えないんだろうなぁと思いますが('･_･`)
1,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,akiusa,2018年7月28日,1.0,良い商品なのに販売方法が詐欺商法！！,ルイボスティーは茶葉の量が味に直結するので、当初は1パック3gでまとめ買いできるこの製品を使ってきましたが、いつからか2.5gに減量、ついに今回届いたパッケージでは1パック2gに減量され、値段変わらず容量2/3の実質値上げになりました。告知もなく減量するのはいかがなものかと思います。2gであれば、市販のティーバッグとさほど変わらないため、今後リピートすることはないと思います。
2,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,m⑅,2018年10月15日,1.0,美味しいけど量が…！！,他社のルイボスティーと比べて味わいがなく、非常にマズい（具体的には塩辛い）。それだけならまだマシな方で、飲み続けていると無性に喉が渇く症状に陥った。しばらくこの症状が続き、この商品を飲むのを止めて数日かかってようやく症状が収まった。残留農薬でも残っているんじゃないか、と思う。結局残りは全部燃えるゴミに出してしまった。やたら高評価のレビューがあるが、安物買いの銭失いになるので、購入検討者は止めておいた方がいいと思います。
3,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,kaorun,2018年10月24日,1.0,ついに1パック2gまで減量,２０１８年１０月発注分が届いて手に取ったらすごく軽くておかしいと思って調べたら去年注文した分よりも1/3も容量が減らされていました。当然、容量が減ったとの告知もありません、前回の注文履歴から買ったのに同じ値段で容量1/3も少ない。これはもう違う商品と言ってもいいでしょう、詐欺です。悪質な販売業者ですね。現在の商品の名前は「ノンカフェイン ルイボスティー ティーバッグ 100個入」となっていますが実際には内容量：ティーバッグ2g×101個入となっています。前回頼んだ分の商品名が「ノンカフェイン ルイボスティー ティーバッグ 3g×100個入」なので容量減らしたのがバレないように3ｇだけ消して個数の修正をしなかったのでしょう。１年で１/３も減らされて来年にはさらに1/3減らされているかもしれません。今までは安いという理由で買ってましたがこの量でこの値段なら買う理由にはなりませんね。しっかりしたメーカー品より少し安いかなという程度です。これならもう少しお金出してちゃんとした国産メーカーの伊藤園のルイボスティーが候補になると思います。次回からはそちらを買う予定です。
4,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,いーしゃん,2018年8月31日,1.0,安物買いの銭失い,1年前に2.5ｇになって今回２gに減らしているとレビューで読んだので別のメーカーにしました。実際2．５ｇ✖２個でギリギリ1.5リットルが限度だったので、２ｇでは3個必要になるでしょう。そういうのは嫌いなのでこのメーカーのものはもう買えません。
5,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,みこと,2017年12月13日,2.0,お値段そのまま、容量2/3に大減量。もはや最安値では無い,セールで安いと思って買ったら、今までのと同じ100個入りでも、内容量が全然違う…一個一個が小さい（笑）こんな売り方があるのかと感心しました。
6,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,あぶらみ,2018年11月17日,1.0,３ｇ⇒２．5ｇ⇒２ｇ,3年ぐらい？前にルイボスティーが流行り出した頃に購入しました。その時は、香りも味もルイボスティーでしたが、今はもう全く違う商品になってます。味も香りもほとんどしない。本当のルイボスティーを飲みたい方にはオススメ出来ません。星１つもつけたくないし返品したい！！ルイボスティーじたいが癖のある香りなので売れるように消費者のニーズ合わせた感がハンパないです。すごくすごく残念。
7,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,カカオ,2018年11月21日,1.0,100個は100個でも（笑）,3グラムから2、5グラムから2グラムに変更したのはいつでしょう。。。どうりで少ないと感じつつ6年愛用してましたがやめます友人にもすすめていたのもやめますひどい会社ですね口コミ見て知りましたアマゾンから取り扱いやめてほしいです
8,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,Amazon カスタマー,2018年12月31日,1.0,内容量が減っている…,買い始めた頃は3g、気づいたら2.5gになりそして今は2gです。値段はそのままにいつのまにかどんどん減っていることに気づいたときはショックでした。2.5gまではまだよかったのですが、それでも薄くなったなぁとは思ったので2gでは使用するパックを増やさないといけないなぁと思い、それだとコスパが悪くなってしまうのでリピをやめました。別で2.5g100個入りで同じくらいの商品を見つけられたので乗り換えました。味などは普通によかったので残念です。
9,B005OUQXW0,ティーライフ ルイボスティー 2.0g×101個 (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,ゆー,2019年5月7日,1.0,サイバーマンデーの安売りで初購入,3gから2gになっていたので、500ｃｃのポットに以前のものを一個入れたものと、今回購入した商品を2個入れたものとを飲み比べてみました。香が、全く違うものとなってしまっており、同じ商品とは思えません。また、お味も、雑なものに変わってしまっていました。4年前の商品は本当によかったということがアリアリとわかりました。今回は非常に残念です。
