,ASIN,product,brand,name,date,score,title,comment
0,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,非表示,2020年8月31日,5.0,無難に良い,急須で入れたお茶にはやはり劣りますが、十分美味しいです！手軽に飲めてとても便利です。我が家に常備しています。お湯を入れすぎると香りと味が弱くなってしまうので、お湯の量には注意が必要です。
1,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,Amazon カスタマー,2018年12月29日,5.0,甘みがあってまろやか,スーパーで買うよりAmazonの方がお安いです。伊藤園のお茶はペットボトルもティーバッグも今ひとつという感じでしたが、プレミアムは美味しいです。香りも色味も十分で、来客用にも適しています。玄米の香ばしい香りがクセになります。自宅では、500ml以上入る大きなマグカップで飲んでいます。1パックで十分抽出出来ます。急須を洗わなくても良いので楽ですね。これからもリピートします。
2,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,ke_ko,2018年11月24日,5.0,簡単、美味しい,個包装になっているので香りも良く、すっきりとした味わいを気に入っています。ノンカフェインなので、寝る前などに良く飲みます。伊藤園のプレミアムティーバックは、ほうじ茶のほかに緑茶と玄米茶も飲んでいますが、どれも美味しいです。
3,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,dashi,2020年10月3日,5.0,急須でキチンと入れた位、美味しいお茶です。,これ以上のティーパック緑茶はないと、おもう。
4,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,はむ,2018年7月30日,3.0,ノンカフェインが嬉しい,ご贈答用で頂いたこの類のお茶が美味しかったので買ってみた。それなりでちょっと残念。
5,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,ほんまに,2021年6月4日,4.0,緑茶の理想的なおいしそうな緑色,ほうじ茶独特の香りと味も活かされている。しかし、少し時間がたち、冷めてくると、喉に突っかかる渋さというか、えぐみというか、爽やかな飲み心地とは言い難い。
6,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,宝物,2021年3月17日,5.0,うーん なんか味が。,今までティーパック型を使用していましたが、こちらの商品に変えてからお茶の色もしっかり出て、従来のものと比べても結果2倍濾せるようなので今後はこちらの商品にする事にしました。
7,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,天,2018年10月30日,3.0,美味しいがえぐみが残る,緑茶として美味しいかどうかと言われるとやや疑問です。ただ、（色・渋みなどが）よく出ますので、緑茶を飲んだという満足感はある程度得られますね。全然出ないティーバッグのお茶が多いですから。
8,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,あっつん,2020年4月15日,5.0,リピートはないと思います,価格の割にとても美味しいと思います。（日頃はコーヒー、紅茶なのであまり参考にならないかも）
9,B005QK37V8,伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り玄米茶 2.3g×20袋,プレミアムティーバッグ,Amazon カスタマー,2019年2月17日,5.0,急須のお茶と変わりなく美味しいです。,ほうじ茶の香ばしい香りが気に入っています。三角パックでない平たい方のティーバッグも買ってみましたが、香りが全然違います。唯一のマイナスポイントは粉がすごいこと。密封パックはそっと開封しないと粉が飛び散ります。紐の部分を取り外す際に指の爪に粉が入ってしまいます。それがちょっとね。
