,ASIN,product,brand,name,date,score,title,comment
0,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,サモエド,2019年2月19日,3.0,憤慨,日東紅茶のロイヤルミルクティーは甘さがちょうど良くて、普段からよく飲んでます。タイムセールで安くなっていたのを購入して今回2度目の購入です。タイムセールでなくてもお値段安いので購入したのですが、消費期限が今年の8月まででした。タイムセールの時は2年近い期限があったのに、在庫で余ったものだったのかな、と思えました。消費期限が切れていた訳ではありませんが、これを飲むたび思うので書かせていただきました。これ以外は何も言うことないので星3です。
1,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,あとさん,2020年4月1日,2.0,改善されました→賞味期限のことは事前に教えていただければ,定期便で利用したが前回配送された前のよりもさらに古い商品を配送されてきた。倉庫の管理が問題なのではないでしょうか。在庫管理の改善をお願いします。賞味期限が２ヶ月前で定期便10袋の配送は何ヵ月ごとかの設定をしているのに納得できません。２ヶ月のものを販売するならば賞味期限が最低何ヵ月か注意書きを添えるべきではないでしょうか。また商品自体も賞味期限が２年も持つものにも関わらず賞味期限２ヶ月で配送は明らかに管理不良だとおもいます。
2,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,Amazon カスタマー,2019年3月8日,5.0,消費期限,粉末のいろんなティーが好きで毎日飲んでます。中でも日東紅茶は味が濃い！抹茶オレの場合、10本入りの1本12gくらいだったと思います。それに対してお湯は120ml。他のメーカーだと大体が5-6本入りの1本5-8gでお湯は160-180ml。圧倒的に違います。本数などの関係で他のものよりは高いですが、中身の量も違うので、妥当若しくはそれ以上です。私の場合、裏面に表記されている（公式の）分量で作るとあまりにも濃いので、お湯の量を増やして作っています。味もなかなかのもので、値段の割に合っているというか、糖類等で味のカサ増しをしている感じがしないので、好きです。Googleで「日東紅茶」と入力すると検索候補に「まずい」と出てきます。もしかしたら、人を選ぶものなのかもしれません。何袋もまとめて買うより、まずはスーパーで1袋から買ってみることをおすすめします。日東紅茶は、紅茶系だとミルクティーとほうじ茶オレ、この抹茶オレがあります。正しくは「オーレ」です。とにかく好きな味なので、私は☆5です(*'ω`*)
3,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,ツインズのまま,2019年5月28日,1.0,在庫管理の問題かと思いますが賞味期限が間近でした。,、消費期限が今年の8月まででした，在庫で余ったものだったのかな、と思えました。消費期限が切れていた訳ではありませんが、こんな短い賞味期限商品売るのは、これ以外は何も言うことないので星1です。
4,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,とらべるな,2020年3月9日,1.0,濃く、本数と1杯あたりの粉末の量が多い,商品が届いたが、賞味期限が近づいているのが驚きました。
5,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,Amazon カスタマー,2020年7月11日,4.0,店の人悪い,香り味はは確かに桃で美味しいのですが、やはり合成香料と合成甘味料が気になる所です。合成甘味料ではなく、天然甘味料にしてほしいです。なぜなら合成の甘味料は、アルツハイマーやガンの原因と言われていたので…💧エリスリトールやキシリトールやステビアにしたらいいのに…。エリスリトールはあまり甘くないけれど、安全性を求める人は、やはりエリスリトール等の天然甘味料にこだわります。お腹がゆるくなるのは合成甘味料でも天然甘味料でも食べ過ぎればくだる人もいます。合成甘味料は安いし甘いが、臓器や体には良くないと、よく本や動画サイト、TVでもたまに見かけます。原材料を見る癖がつきました。本当に怖いです。
6,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,ama,2020年7月16日,2.0,賞味期限注意,会社で飲んでいます。味はこの商品が一番美味しいです。定期便で頼んでいますが、外箱に納品日2018年10月と記載されている長期在庫品が送られて来ました。賞味期限まで1ヶ月しかありませんでした。さすがに短すぎます。
7,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,愛上緖,2019年4月8日,5.0,天然の甘味料だったら尚更良い！,朝食や食後に飲む為に購入しました。マグカップに一本、本製品を入れお湯を注ぐだけで完成です。簡単に出来る上さっぱりした飲み心地なので飽きずに毎日飲めます。同様のコーヒーや紅茶タイプも時々飲んでいるのですがそちらはカロリーがやや高めなので本製品に落ち着きました。毎日2杯は飲むのでまとめ買い必須です。いきなり6セットまとめ買いは勇気がいると思うのでコンビニやスーパーなどで1袋試してから合うようなら常時ストックでもいいかもしれません。
8,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,Vy,2020年3月28日,1.0,The expiration date is now longer,昨日届いて賞味期限が６月。このミルクティは美味しくて好きだけど、この賞味期限は客を舐めているとしか言いようがない。もう二度とここでは買いません。
9,B007OOPOHO,日東紅茶 ロイヤルミルクティー スティック 10本入り×6個,日東紅茶,CICILIN,2021年3月9日,1.0,Expiration not good,最悪の一言です。初めてネットでこの商品を注文しましたが、1本穴が空いてました。端っこが擦れて切れた穴ではなく、針のようなもので突かれて空けられた穴のようでした。手に取った瞬間に粉が家に飛び散りましたし、その穴から異物が混入していないかなど、色々考えたり大変でした。また、その他も穴が空いていないか不安で仕方ないです。返品したいのに、どこに問い合わせて良いのかわからず、チャットでは「返品不可」と表示されます。非常に不快と不安な思いをしました。消費者センターへ相談しようと思っていますが、ひとまず返品したいです。怖かったです。
