,ASIN,product,brand,name,date,score,title,comment
0,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),s_yu_na,2019年7月25日,2.0,アールグレイ？？？,個人的な感想ですが、香りが合成的で強く、味まで化学薬品のような風味になってしまっているように感じます。私にとってはミルクで割っても無理でした。同様のレヴューもありましたが、まあ自分の舌はそんなに高級じゃないさｗと思って購入してみましたけれど、これは駄目でした。イングリッシュティーは気に入ったのですが、飲み物として味まで悪いのでは、お安くてもリピートはないです。残念。今は茶葉を水で濯いでから、半分別の茶葉とブレンドして水出しにしてなんとか我慢して飲んでいます。
1,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),アッキー,2018年1月23日,5.0,素晴らしいベルガモットの香り,基本的に少量の熱湯で抽出後に冷水を注ぎアイスで頂いています。アールグレイでしたが、心配していたミルクダウンも発生しませんでした。ティーパック式の安物アールグレイとは比較にならないほど、香りも良くコクも期待したとおりです。缶入りで２００ｇ入ってお得便で１０００を切るプライス。しばらく愛飲することにします。
2,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),紫,2019年9月27日,2.0,合成香料と化学薬品的な残念さ,普段Fortnum&masonのアールグレイクラシックを愛飲しております。夏に水出しで普段使いする分は手頃な価格の物でいいかと思い、ネットで高評価のこちらを試してみました。水出しは水1Lに対し茶葉16g程でいい感じにできました。茶葉が細かいのでホットはスタンダードな抽出方法(熱湯200ml程に茶葉2g程で3分抽出)だとストレートで飲むには味･香り共に濃い印象です。味のクオリティーが高いと感じませんが、200g入りで千円程なので水出し用には罪悪感なく使えていいですね。私には茶葉の風味とベルガモットのフレーバーが物足りなく感じたのでリピートは無いです。
3,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),くま,2021年2月4日,3.0,香りよし,毎朝食に紅茶を飲みます。以前は100グラムで2000円以上の他社ダージリンブレンド茶葉を気に入って使用していましたが、日本国内で入手不能になり、同価格帯でそこまで気に入ったものが見つからなかったので、安価なものへのシフトを検討し色々試してみました。ダージリンでリーズナブルかつ美味しいというのは難しいので、この時点でアールグレイ中心に探しています。そもそも朝の慌ただしい時間帯にそんなに落ち着いてお茶を味わう訳でもないので、結果、価格有線でこの銘柄に落ち着き「アールグレイ」か「イングリッシュ No.1」を長く飲んでいました。コロナ禍の在宅勤務になってからは、実店舗に出向くことを避けアマゾンの定期便も登録したのですが...在宅勤務になって朝、時間的なゆとりができてみると、価格優先で妥協した味がやはり気になったきたのです。胃弱なので、食事と同時でなく飲んだ時に胃への刺激が強いのもどうも...ということで、考えた挙句、一番上に書いたダージリンブレンドとほぼ同価格、似通った風味の茶をショップで紹介してもらい、そちらに切り替えたので、この製品の定期便は解約しました。毎日の消耗品なので、安価に越したことはないのですが、コロナ禍で外食や行楽は控えていますからね、その間は舌を満足させてやろうと思っています。ということで状況が変わったらまたこの製品に戻ってくるかもしれませんが。ちなみに「イングリッシュ No.1」はアールグレイの香りをあえて弱くしているので、ティーポットのクオリティが良くないとただの薄い紅茶になります。また、この価格よりはちょっと上めで味も上、というものでは、アフタヌーンティの茶葉が個人的には好きですね。
4,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),宮川コウ,2018年2月26日,4.0,水出し用に良さそうです,ミルクティーにしても茶葉自体が中々しっかりしてるので大丈夫ですが、何も入れない足さないストレートが香りと旨味を一番よく味わえます。着香具合はどんな用途にも対応出来るよう強すぎず弱すぎずといったところです。安物にはトイレの芳香剤みたいなのもありますが、私はこの商品は普通のベルガモットの香りに感じました。値段が値段ですし驚く程美味しいという訳ではありませんがとても使いでがあります。良く出来た商品ですがこれはどうかと思う点も一つあります。缶の底には製造年月日と賞味期限が印刷されていますが、その上に貼られた日本語の商品情報のシールは賞味期限のみ記載してます。これさえなければ5つ星の評価でした。
5,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),hp,2017年12月2日,5.0,要は、茶葉にいくら出すか、ということで...,クリームダウンが室温でも起きます。なんだろうと調べたらカフェインとタンニンをたっぷり含んでいる良質の茶葉を使用している証拠だそうです。この値段で少しで濃く出てコスパもいいです。なかなかなくなりません。普段はコーヒー党なので紅茶はせいぜい一日二杯程度（５００ｍｌ）一缶で数ヶ月は持ちます。　カフェイン摂り過ぎか笑アールグレイがきつい気がするのと、ちょっと濃く出過ぎる時があるので分量と抽出に気をつけてます。
6,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),あまき,2019年12月27日,5.0,コストパフォーマンスは良いです,似た価格帯で、ジャンナッツを使ってました。ジャンナッツはまろやかでコクは深いけど、丸く治りすぎて面白くない。香りも無難。一方でこちらは、味はさっぱりしているもののやや渋みが強く、香りは強くて鋭い。なんで、ジャンナッツとこちらの商品をブレンドして飲んでいました。ジャンナッツのまろやかさとアーマッドの鋭さがちょうど良い具合になって、私的には最高のブレンドでした。今は体質的にカフェインが受け付けないので飲んでいませんが、克服できたらまた飲みたいと思います。
7,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),mukurumi,2020年7月7日,4.0,この値段で良質の茶葉が長く楽しめる,一日に最低7
8,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),AC-RS931,2021年1月20日,4.0,ジャンピング期限は開封後ひと月程らしいです,芳香剤のような香りですが、リプトンとかよりは値段だけあってかなり高級だと思います。味は私の鈍感な口では感じなかったのですが、コーヒーのような刺激はありません。ハーブティーのように香りを楽しむものだと思えば香りの強さは別に気になりません。まるでランの花か、香水を飲んでいるかのよう。茶葉は５００ｃｃに大さじ１．５くらいでしたが、コーヒーのように濃いのが出ました。茶葉は少なめでいいのかも。以前スーパーで売っていた時にはよく買いましたが、売り場から撤去されてから飲んでいませんでした。今回久しぶりに入手できたので良かったです。
9,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2018年3月31日,2.0,味とコストパフォーマンスのバランスは良いと思います。,期待して買ったのですが私にはあまり合いませんでした…思ったよりベルガモットの香りが弱く、後味にちょっと化粧品臭さの様な匂いが残ります。ストレートで飲むよりミルクティーの方が美味しく感じました。お手頃価格なのでしょうがないかな…
10,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),キノコ,2020年8月8日,5.0,よいかおり,紅茶通ではないですが、アールグレイとダージリンが好きで色々試しているのですが、この茶葉はとても香りが強いです。パッケージには、何cc辺り何gと書かれていませんので、ぶっちゃけ入れすぎたんですけどねっ！これは某大手を参考に同量入れた結果です。つまり、もっと少量で楽しめるのでコスパがいい！この時は2回目のお湯で丁度良い味になりました。1回目はミルクティーにすべきで、2回目はストレートが良い感じですかね。※お湯500ccに対し小さじ4杯使用しました。
11,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),ことりこ,2019年12月1日,5.0,期待してたより…,煎れ方を選ばず、雑に扱ってもうまい、日常的にガバガバ飲むならこれしかない。アーマッドティーは他にも色々試したが期待しないほうがいい。マイ電柱を建てるオーディオマニアよろしくマイ茶畑を持つひとならいざしらず、違いの分からない小生のようなタイプにはこれだけあれば生きていけます。
12,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),みゅらーりやー,2020年1月10日,4.0,良い香り,他の方のレビューを見ると、トワイニングより香りが弱いとか強いとか、人によって評価がまちまちで安定しないのが気になりました。私はトワイニング（ティーバッグ）より弱めだけど、すっきりしてて飲みやすいと感じます。ただ、ティーバッグの方も買ったのですが、そっちはリーフティに比べて香りも風味も飛んでしまっており、味気ないです。
13,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年2月1日,5.0,アーマッドティーはこれで保っている,近所のお店で買っていたのですが、良く品切れになるので Amazon の定期お得便を利用しての定期購入しています。家族みんながアールグレイ好きも相まって、毎朝、そして一日何回も、気にせず飲めて満足です。一度、Amazon から品切れで配達できないかも、ということがありましたが、発送予定日にはちゃんと準備、発送してくれました。
14,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),Amazing カスタマー,2020年5月16日,1.0,トワイニングと比べて香りは弱めに思う,ロイヤルミルクティーにして飲んでいるが、強烈なハッカを舐めた時のように舌が痛い。牛乳３５０cc：水２５０cc葉は３ｇ恐くて飲めない。
15,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),francis_nouveau,2018年3月30日,5.0,安定のおいしさ,夫婦でお気に入りです。ホットも美味しいですが、おすすめはアイスです。とてもいい香りがしますが、味はクセがないので心も体もとてもリフレッシュします。おすすめです。
16,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),ぬっぺ,2021年2月13日,4.0,香りは最高。,他の方が書かれているように、ちゃんと入れると確かに香料の匂いがします。ハンドクリームであればいい香りだと思いますが、飲むのは少し抵抗感のある香りです。茶葉の量を半分に減らしてミルクティーで飲むと香りも気にならず飲めるようになりました。私の場合は毎日水のように飲んでるので、結果的にはちょうどよかったかなと思って飲んでます。体には良くないかもしれないですが^^;
17,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),あさの,2021年4月13日,1.0,これは良いです。,量を入れすぎたか、香り強すぎて飲めなかった、全部捨てました。このシリーズのイングリッシュブレックファーストは美味しいのに、こっちは残念だった。
18,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),あ,2018年1月10日,5.0,香料の香り。茶葉半分が適量？,缶は、予想以上に大きくて、たっぷり入ってます。香りもとても良く、アイスでも入れてみましたが美味でした。アールグレイはたまに香水のように香りが強いものもありますが、コチラは程よくベルガモットの香りがして、紅茶の香りもして、とても良いものだと思います。まだ開けてから三回しか飲んでないので、香りの飛びは分かりませんが、今のところ全く心配なさそう。お値段もこれなら、リピーターになりそうです。
19,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),えむち,2021年2月3日,5.0,香りきつい,アールグレイは久しぶりでしたが、本物の素晴らしい香りです。それほど好きでもなかったのですが、母が好きなので買ってみて正解でした。優雅なティータイムを楽しめます。気分は19世紀英国です。しかもこのお値段は嬉しいかぎり。
20,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),みるん,2021年1月22日,5.0,お買い得だと思います,口コミを見たときにクセがあると言う意見がありましたがずっとFAUCHONのアールグレイをアウトレットで大量購入して飲んでいたけど、そんなに違いが感じず、かなりお安いのでガブガブ飲んでます。お気に入りです。
21,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),かりっぺ,2021年1月25日,3.0,香り高く大満足,久しぶりにアールグレイを購入。もう10年ほど前は日本橋三越でハロッズティを購入していたのだが、プライスは、当該商品の約3倍。飲んでみればやはり違う。でもね、このプライスなら致し方がなく、まあ十分か。3倍と言ったのはハロッズティより量も多い。まあ満足の部類。
22,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),mabocyan,2018年10月2日,2.0,コストパフォーマンス最高,香りが、と言うより匂いが、きつくて人工的。そして味は、紅茶の味がしない。牛乳を入れて、冷やして、なんとか飲み切理ました。金額的に近いT社の方が、ずっと美味しいです。
23,B00886FK30,AHMAD TEA ( アーマッドティー ) アールグレイ リーフ 200g [ 英国ブランド ],AHMAD TEA (アーマッドティー),kotobukirojin,2020年12月31日,5.0,プライスはプライスか,この商品を購入する前に、間違えてティーパックを買ってしまいました。気安く飲めるティーパックですが、茶葉の香り&風味がリーフとぜんぜん違いました。定期購入すると少し安くなるので月一定期便にしました。
