,ASIN,product,brand,name,date,score,title,comment
0,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Break fast,2018年7月14日,5.0,美肌,冷え症なので、緑茶をやめてルイボスティーを飲用しています。婦人病にもいいと聞きますし、カフェイン無いのでガブガブ飲めます。お店でなかなかペットボトルのが置いていないので、ここでリピ買いしてます。
1,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,ルネ,2016年3月29日,5.0,妊活中、妊娠中、授乳中の方にオススメです(^-^),すぐ届いた。体がとても調子がよい！肌がきれいになる、私好みの味、ウーロン茶っぽい。また購入します★
2,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Amazon カスタマー,2020年10月5日,5.0,おいしい！！,酸味のあるお茶という感じで、癖がありましたが、栄養満点健康満点のルイボスティーなので毎日飲んでます。今は味も気になりません♪
3,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Amazon カスタマー,2017年12月2日,5.0,また購入希望,ルイボスティーの中では、癖の無いシッカリした味わいです。やや高いですが気にいっています。
4,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,pinkboo,2020年7月6日,5.0,癖のある味だけど、慣れると平気。,カロリーゼロ、有機栽培オーガニックで飲みやすい。苦味もなく子供にも良いと思う。再生ペットボトルを使用していてる。また注文したい。
5,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,ヒギンズ,2020年9月4日,3.0,シッカリした味,味は個人的に苦みがほかの商品に比べて目立つ感じだが、ルイボス自体の味はそんなに濃く無い、苦味で飲み切れるには結構日数かかりました。途中で以前の商品に変えました、お値段も高いので、期待しましたが外れでした。
6,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,鈴蘭,2020年8月20日,5.0,ノンカフェで無添加が良い,健康面での改善は現時点ではあまり見込めないが、飲みやすくていい。冷やすともっと美味しくなる。
7,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Sun,2019年6月4日,5.0,期待外れ,雑味もなく、まろやかで飲みやすい味です。ペットボトルなので便利にいつでも飲めます。
8,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Amazon カスタマー,2018年9月24日,5.0,ノンカフェインでも美味しいお茶,妊娠中から、産後も飲み続けています。今では、子供も飲んでいます。美味しい。
9,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,ぱん,2018年12月22日,5.0,やっぱり美味しい！,ルイボスティーの中でいちばん香りと風味が良く、気に入っています。少し高めですがオーガニックなので仕方ないかな。
10,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,SAR M,2014年3月24日,3.0,とても良い,煮出しやティーパックのものも飲んでいますが、少し薬っぽい感じがするかも知れません。伊藤園の奴の方が少し薄いですが飲みやすいです。
11,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Yasu,2013年8月21日,5.0,風味、味が豊か,余計なものが入っていないルイボスティーを探していたところ発見。自分で煮出したルイボスティー(コープ)と同じ自然な味がすごくおいしかったです。値段は安くはないけど良い原料を使っているので仕方ないかな。美容や健康にも良いのでまたリピしたいです。
12,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,Amazonカスタマー,2019年6月8日,5.0,薬っぽいかもしれません。,希望通りの商品でした！美味しく飲んでます。
13,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,顔ぱっく,2018年11月11日,5.0,おいしい☆,とても美味しかったです。またリピしたいと思います。
14,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,A,2016年3月11日,5.0,希望通りの商品！,オーガニックとゆう事で購入。ストレート紅茶の味、濃いが飲みやすい。次の日肌の調子が良い、ずっと購入希望～('ω｀)
15,B00ANFIXFQ,GASS オーガニック ルイボスティー ペットボトル 500ml×24本,ガスコ,新井加奈,2021年1月27日,5.0,美味しかった！,ほんのり甘くて、苦味はまったくなくどんな食事にも合います。カフェインを含んでいないので、夕方からでも安心して子どもや妊婦さんも飲めます。ただ、脱プラスチックをすすめたいので、なるべくこのブランドの茶葉を買って煮出したものを飲むようにしています。でも、時間がない時や災害時のストックには欠かせません。リピ買い決定です
