,ASIN,product,brand,name,date,score,title,comment
0,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,パレード,2020年10月4日,4.0,カフェインレスの中ではピカイチ。,友人の2人目の出産祝いに贈りました。いくつかデカフェ(カフェインレス)を試しましたが、人に送るものをひとつ選ぶのであれば、これになるかと。デカフェの中では美味しい。が、個人的にはもう少し酸味が抑えられている方が良かった。牛乳で割ってカフェラテにすると酸味が消えて、美味しくなります。ただ、毎日飲むならコスパ面でネスカフェに軍配があがります。薄いけど...他、同じ会社の商品でも、通常用6本よりギフト用5本(化粧箱付き)の方が値段が高いのが少し気になりました。手書きでメッセージを添えて貰えるサービスはありがたいのですが、通常用6本にちょっとしたお菓子を付けた方が良いかも？とかなり悩みました。
1,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,tenten,2019年8月9日,5.0,香りもいいです,コーヒーが大好きなのですが、カフェインを控えるように言われていて、色々検索した結果、こちらを購入しました。試しに一本だけ購入しましたが、すぐにまとめ買いしました。しっかりしたお味で、ほどよい苦味があり本当に美味しいです。
2,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,ryama,2017年8月31日,5.0,ギフトで送るなら,デカフェとは思えない美味しさに満足しています。個人的にはクセの無いBOSSデカフェの方が好きですが手に入らなくなったのでこちらの高級品にしてみました。濃いと書かれている方もいますがスタバほどではありません。
3,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,Amazon カスタマー,2019年9月24日,4.0,とにかく美味しいです。,他のデカフェのものは味が薄く感じたりしますが、このコーヒーは本当においしい！香り、風味最高です。牛乳で割って飲んでますが大満足。もう少し安いと助かるので星4つで！
4,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,ねこきっく,2020年8月25日,3.0,炭火焼きコーヒーのような？,ノンカフェインで安心して頂けるんですがお値段が…高いかな…毎日、頂くので今まで飲んでいたネス○フェのカフェインレスに戻します。ホットの方は100袋入りの商品を購入しています。味はとても美味しいです。
5,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,いつき,2017年2月24日,5.0,おいしい！大好き,最近カフェインを摂ると目眩がするようになり、しかしカフェラテは大好きで。他にもノンカフェを試しましたが苦かったりで飲めず。これは牛乳で割るとあっさりしていて飲みやすく美味しいです。高いので、がぶ飲みは出来ませんが。
6,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,Amazon カスタマー,2018年9月17日,4.0,お値段がもう少し安ければ。,お値段　たかめでした。カフェインレスで、仕方がありませんが、普通のアイス　こーひーで、私は　良いです。
7,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,さくら,2021年6月28日,3.0,美味しいです。,デカフェでしたが、コクと苦味がしっかりありました。ただ少しお高めなので、リピートしづらいかな。
8,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,Amazon カスタマー,2019年12月15日,3.0,美味,私は甘めが好きなのでこの商品はあまり好みの味ではなかった・・・牛乳と混ぜて全部飲みました。
9,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,ネギー,2015年10月3日,5.0,おいしい。,カフェオレで飲んでいますが、美味しいのでシロップなしで飲めるようになりました。
10,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,Amazon カスタマー,2015年9月2日,4.0,人それぞれ,授乳中のため、できればカフェインレスをと思って探していました。注ぐだけですぐ飲めるこのタイプのものでデカフェというのがあまり無く、いつもはUCCのものを飲んでいます。あちらは金額も安いですが味もそれなりで、他に無いものかと探してこちらを見つけました。レビューにすでにあるように、おいしい。程よく苦味もあって、牛乳を入れてもおいしいです。後味もちゃんとコーヒーです。でもちょっと高いのが残念。コーヒー好きで、一日何杯か飲むという方にはあまりコスパは良くないと思います。けれど、リピしたいなと思える味でした。
11,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,しまうま,2015年7月10日,5.0,美味しいです,授乳中なのでカフェインレスを探していました。値段が高い・・・（＞＜）でも美味しい！そこらで売ってるボトル無糖コーヒーよりも断然おいしい！喫茶店で飲んでる味、そのままです。高いけど、喫茶店に行ってアイスコーヒーを注文したと思えば問題なし。
12,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,Amazon カスタマー,2015年2月25日,5.0,おいしいデカフェ,そこらのチェーンのカフェより美味しい。やや高いけど、良いものだし。家で美味しいアイスコーヒーが飲めるのは嬉しいが、どんどん飲んでしまう。
13,B00BM536W6,デカフェアイスコーヒー ハウスブレンド 1000ml×1本,辻本珈琲,さわとし,2015年6月16日,5.0,高いだけあって美味しい。,他のカフェインレスのコヒーとは、とっても良い意味で味が違いました！コクがあって苦味があり、酸味は少ないです。好みの味です！他の方がおっしゃってるようにお値段高めですが、飲む価値ありです！
