,ASIN,product,variant,brand,name,date,score,title,comment
0,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,ひーちゃん,2023年3月18日,4.0,カモミールてリラックス,カモミールにペパーミントが入っているので飲みやすいです。少しはちみつを入れて就寝前のリラックスした時に毎晩飲んで楽しんでいます。
1,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,ともちん,2023年4月11日,5.0,飲みやすいです,以前カフェで飲んだ食後のミントハーブティーを再現したくて購入致しました。これを2パック少量のお湯で3分間浸してから、蜂蜜を少々入れて混ぜ、クラッシュアイスをたっぷりと入れてストローで混ぜればとっても美味しく召し上がれます。
2,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,ぷくぷく,2022年12月21日,5.0,ミントの香りですっきり,私にとってはカモミールだけよりも爽やかですっきり飲みやすい。
3,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,65歳女性,2022年10月21日,5.0,飲むと癒されます,毎日、気温に合わせて入れ方を変えてのんでいます。カモミールだけでなく、ミントも香るので鼻からリラックスします。
4,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,Vi,2022年6月15日,5.0,おすすめです！,寝る前や休憩時間にピッタリ！冬はホッとで、夏は氷と一緒に！レモンや蜂蜜を加えるとさらに美味しくなります。リピしてます^ ^
5,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,MQ♥,2022年6月27日,5.0,ミントの清涼感がいいです。,ミントブレンドなのですがあくまでカモミールが主でソフトにすっきりするくらいなので一年中愛飲しています。ティーバッグの個包装の袋が紙からアルミのような素材になってより香りが長持ちするようになったなった気がします。ホットでもアイスでも、どちらもおすすめです。
6,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,なの,2021年12月1日,4.0,リラックス,毎晩、飲んでいます。
7,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,Amazon カスタマーjyun,2022年4月8日,3.0,ひと工夫しています。,健康の為、リプトンの同様な物と同時に購入しましたが、風味は、昔の便所の芳香剤です。大人ですので飲めますが、子供は無理でしょう。リプトンは柑橘系の香りを添加しているのでそのままいけますが、勿体無いのでポッカレモンを１滴たらしています。
8,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,やまちゃん,2021年10月3日,4.0,さっぱり飲めます。,夜の寝付きを良くするために購入しました。味はさっぱりした感じです。カモミールを飲むと寝付き良くなる気がします。
9,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,Amazon Customer,2020年11月27日,4.0,Decent tea,Some may not like mint taste but it is fine with me. Flavor is strong
10,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,ゆうた,2022年2月26日,5.0,安眠できます,まるで睡眠薬を飲んだような心地いい睡眠になりました。朝までぐっすり眠れます
11,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,sora,2021年5月1日,4.0,香りがいい,香りが良くとても美味しいです。
12,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,みー,2022年2月18日,5.0,よく眠れています,眠りが浅く寝付けないのですが、睡眠薬を飲みたくない。そんな私がハーブティーならと思い購入しました。飲んでみると毎日よく眠れます。6箱も入っていたのでたっぷり楽しめます。
13,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,sara,2022年1月17日,5.0,ほっこりスッキリ,優しいカモミールにペパーミントが加わってスッキリした飲み心地です。飽きる事なくずっと続けて飲んでいます。寝る前などホットミルクで作ってハチミツを少し加えて飲むのも好きです。なんとも満たされた気持ちになって、穏やかな気持ちで眠れる気がします。
14,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,K.Keit,2021年1月19日,4.0,寝る前の必須アイテム,寝る前に飲むとリラックスできます。リピ買いしてます。
15,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,miu,2021年12月10日,3.0,好んでは飲まない,美味しくは無いので好んでは飲まないが寝る前にリラックスしたく購入。少しリラックスできているように感じる
16,B00BN5R1LM,日東紅茶 アロマハウス リラックス カモミール 10袋入り × 6個,日東紅茶,,ミヤン,2020年9月29日,4.0,こんなに入って安い,味は思っていたより薄いかも？でも値段が安くて良かったです
