,ASIN,product,brand,name,date,score,title,comment
0,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,はん,2017年12月17日,5.0,渋くなりにくい,もう何年も、紅茶はこれが一番好きです。とにかく香りが良くて癒されます。たまに、とても濃い色が出て気持ち悪くなる紅茶がありますが、これはそういう事が全然ありません。他の紅茶は大抵ミルクティーにしてしまいますが、これはストレートで飲むのが好きです。実店舗では、表参道にある小さな輸入雑貨のお店か百貨店の催事位でしか取扱を知りませんでしたが、このようにネットで購入出来るなんて本当に良い時代だと思う商品のひとつです。缶も可愛いです。
1,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,にぃ〜,2020年8月22日,4.0,おぉっ,初めてご馳走する客にも、セーデルの香りの良さに驚き、味わい、『何処の紅茶❓』と、聞かれる程、感激します。ホットティの香りとアイスティの香りはまた違い、アイスミルクティもお勧めです。大好きな紅茶ですので、定期購入していますが、もう少し価格が安くなるとリピーターはもっと増えると思います。
2,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Milky,2018年11月26日,5.0,とにかく香りが良い(^ ^),この紅茶は、ノーベル賞の受賞者の晩餐会で、出される紅茶です。なんとなく、味わってみたくなり購入しました。花の色も美しく、香りも良く、良い気分になりました。そして、不思議な体験ですが、ノーベル賞に関連する人とのご縁もできて、物にも魂があるように感じました。
3,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,さちこ,2021年3月25日,5.0,最高の香りと味,小学生の時初めて飲んで以来、最も大好きな紅茶です。常にストックしてます。甘い香りがふわっと広がり、とても豊かな気持ちになれます。その割に味は癖がないので、ストレートでもミルクティーでもよく合います。デカフェではないですが、夜のリラックスタイムにぴったりです。一生飲みます。
4,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,girl friend,2019年4月28日,3.0,ノーベル賞の受賞者のために,長年愛飲していて、今回初めてアマゾンで購入。他のものと同梱して届き、まず外袋がヨレヨレの状態でした。開封しても香りがあまり立ってない。縦一列に貼ってあった幅広セロテープをはがそうとしたら外袋までビリっとはがれてしまう始末。紅茶缶に移すだけだったので、目をつぶりましたが、他店ではいつもきれいな状態で届くのでがっかりでした。香りにしてもやや残念。
5,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,笛吹きマリィ,2020年5月25日,1.0,大好きです,パッケージの底のシールが甘かった為の補強なのか、底に透明なテープが貼ってありましたが、そのテープも紅茶の粉できちんとくっ付いてなくて 茶葉の粉がこぼれて来ました。異物混入？？まさかそれは無いだろうとは思いますが、あまり気持ちの良いものでは有りません。残念です。前回はこの様な事が無かったので、会社を信じて このまま飲もうとおもいます。
6,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,goo,2020年12月1日,5.0,梱包と外袋が・・,紅茶やコーヒーは普段から特に好んで飲まないのですが、フレンチのお店でなんとなく紅茶を選んでこちらが出てきました。香りに感動！味も苦みとかも無いしホントに大好きな香りです♪お店に食べに行かなくてもアマゾンでまたこの紅茶に出会えるなんて幸せ！ありがとうございます♪
7,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2019年3月26日,2.0,底が開いていた!,とっても印象に残ったお茶でした。アマゾンで見つけて注文。う〜ん。そのTearoomでいただいたときよりも渋みが強く出てしまいます。お湯の温度、抽出時間、いろいろ試してみたのですが美味しくいれられないんです。せっかく、いい匂いなのに…残念。定期便は中止してしまいました。
8,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,chesterpink,2019年6月13日,1.0,Tea Centre Stockholmの紅茶が手軽に手に入る！,数年前　海外在住だった知り合いから頂いた　この紅茶に感動したので急ぎ必要になった為　取り寄せましたが　正直　この紅茶ではなく　残念です値段が値段ですから　真面目に取り組んで頂きたいです
9,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,ねこ,2019年5月3日,5.0,池袋有名店の紅茶シフォンケーキを完コピするのに必要,好き紅茶ですが購入店が閉店したため、利用させて頂きました。そちらはティーパックタイプもあったので持ち運び出来たのがメリットだったのですが今は自分で小分けしてます。
10,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,ババちゃん,2020年3月14日,5.0,期待したのですが・・・,お値段高めですが飲んでみる価値は絶対あります。とても美味しいです。個人的にはミルクティーにするのが気に入っています。
11,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,skywalker,2020年4月14日,5.0,ほのかな甘味も感じます,ノーベル賞受賞式の晩餐会で飲まれているとのことで購入。本当に香りが良いし、味も良し。流石北欧紅茶。高いけど価値がある。
12,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,kyoko,2020年6月12日,1.0,香りが口の中で広がりとても美味しいです。,袋の底のテープが剥がれていて茶葉がこぼれ出していました。よく見ると同じようなレビューをされている方がいらっしゃることに気づきました。楽しみにしていたのにとても残念です。
13,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2016年7月28日,5.0,ノーベル賞受賞式の晩餐会で飲まれている紅茶,一番すきな紅茶です。香が強いので好き嫌いがあるかと思いますが、私は大好きな香、味でした。
14,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,KT,2017年5月1日,5.0,底が開いていました、、、,スェーデン大使館で頂いたのと同じ物です、とても美味しいものです。アイスでも美味しいですよ、おすすめです。
15,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,licorice,2019年7月21日,5.0,贅沢品,元々、北海道の三日月屋カフェで飲んだはなやかな味の紅茶に衝撃を覚えたのがきっかけで北欧紅茶を知りました。それ以来アールグレイといっしょに毎月定期便で注文しています。特にアイスティーにするとおいしくて大好きです。これからもずっと注文します！
16,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2019年5月29日,5.0,とても良い,ノーベル賞でも飲まれる、香り高い美味しい紅茶です。ストレートでたっぷりの茶葉を使うと、なおヽ(*'▽)ノ♪
17,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,ゆっちゃん,2020年6月5日,5.0,良い香り,何度か発注してますが一度もトラブルはありません。これからも定期的に購入するつもりです。
18,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,isaka,2020年4月19日,3.0,香り高い紅茶,商品自体はとても良いのですが、袋の外側に香水のような匂いのするベタベタしたものがついていて、ティッシュで拭き取らなければならず、残念でした。
19,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Tukuba T/T,2020年11月22日,5.0,この北欧紅茶がクセになりってます。,ティーカップからお花畑がひろがります。病みつきになります。美味しいよ
20,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2021年3月14日,5.0,袋の外側がベタベタ,色々と紅茶はありますが、後味が一番すっきりしているように　わたしは感じます。
21,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2014年7月31日,5.0,一度飲んだらやめられない,二回目の購入です。アールグレイ　スペシャルより　こちらの方が　個人的には好みに合います。
22,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,マブスート,2018年6月26日,5.0,さすが、ノーベル賞授賞式の晩餐会に出される紅茶だ。,美味しいデス。甘い香りがします。量が少ないかなぁ、と思って購入しましたが、以外と容量はあったので、充分たのしめます。
23,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,amazonカスタマー,2018年8月15日,5.0,美味しい,紅茶が好きな父の誕生日プレゼントにしました。香りが良いと好評でした♪
24,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,むかいのトトロ,2020年4月8日,5.0,香りがよくてリピ中！,ひっさしぶりに美味しい紅茶に会った！
25,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,ぱたりろ,2020年4月11日,4.0,味が違います,香りが最高です
26,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2020年6月1日,4.0,ゆったりした時間を過ごせる紅茶,香りが素晴らしい。美味しかったです。
27,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,立花昌樹,2016年1月23日,4.0,香りよし,価格が少々高いことを除けば、香りもよく美味しい紅茶です。たびたびとはいきませんが、また注文したいと思います。
28,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,ぽぽたん,2014年7月8日,5.0,香りが素晴らしい,期待どおりでした。バラのコンフィチュールもいつか試してみたいです。
29,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,Amazon カスタマー,2016年7月9日,5.0,香りも味も良いです。,ノーベル賞の晩餐会で出される有名なお墨付きの紅茶。高級レストランで食事をした時に出された紅茶がこれでした。あまりにおいしいので聞いれ教えてもらいました。間違いなしの絶品です。お届け物にも使っています。
30,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,須田香,2017年11月5日,5.0,リラックスしたくて,セーデルのブレンドティー最高です。ディナーの最後はコーヒーだったんですけどとあるレストランで隣の紅茶からこの香りが・・・思わずその日は紅茶にしたのがきっかけです。結婚式の時にもスタッフにこちらを用意いただき振る舞いティーにしました。来客時にもこちらを出すと会話が弾みます。
31,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,sakura,2016年6月30日,5.0,買って良かった,美味しいです！なかなか手に入らないので購入出来て嬉しいです。
32,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,スイム,2017年12月17日,5.0,北欧？,スウェーデンに住む友人からもらって初めて飲みました。スウェーデンの紅茶が美味しいと特には聞いたことがなく期待せずに飲みました。とても優雅な美味しい紅茶で驚いてしまいました。花びらや何やら入っています。そういう紅茶を今まで飲んだことがありましたが、香りが強すぎて芳香剤を飲んでいるようで好きではありませんでした。なので、そういう紅茶かと思ってしまいました。大きく期待は裏切られいただいた大きな紅茶のパックを飲み終えてしまいました。そこでアマゾンで見つけて常備することにしました。とても優雅で美味しい紅茶です。
33,B00D1ML58A,北欧紅茶・セーデル100gリフィル,北欧紅茶,逆引甘太,2020年2月8日,2.0,人生を変える紅茶です！,味も香りもとても良い紅茶です。ただ残念なのは値段が高すぎることです。本国で8ドル以下で売っているものを四倍以上の値とは。。。まとめて輸入してるんでしょうし、送料込めても業者さんぼったくりすぎです。
