,ASIN,product,brand,name,date,score,title,comment
0,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),机上のゴリラ,2020年6月16日,2.0,ロンドン在住時から愛飲。エグみが少なく、ストレートで楽しめるアールグレイ。,いつもはメイソンの直営店で購入していましたが、今回初めて並行輸入品を購入してみました。残念ながら、缶を開けたときは茶葉の香りはするものの、お湯を注ぐと即、香りが飛び、アールグレイ独特のベルガモットの香りは消え去ります。アールグレイ・クラシックらしい風味がありません。その点はたいへん残念でした。ただひとつだけ、良いところは、さすがフォートナム&メイソン！茶葉の色もよく、ベルガモットの香りは弱くても、ふつうの紅茶としてたいへんおいしいのは確かです。
1,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),魔法使いの猫♡De La Rue,2016年11月3日,5.0,開封済みだった！,元々は、アールグレイという種類の紅茶は、あまり興味がありませんでした。これまで、カフェ等で飲んでみたアールグレイも、そんなに美味しいとは感じませんでした。香りも、あまり好きにはなれませんでした。（↑　香りの強い紅茶は好きになれなかったもので・・・）要するに「香り」が（強いのが）嫌だったんですね。今回、フォートナム&メイソンの「アールグレイ」を思い切って購入してみました。最近になって突然、飲む紅茶の幅を広げたいと思う様になったのがきっかけで。飲み慣れていなかったので、最初の数口は、あまり・・・。ところが、カップ一杯を飲み終える頃には「美味しい！」と思える様に。香りも味も、とても上品！　これなら飲めます。フォートナム&メイソンを選んで良かった！缶も上品で洒落ていて・・・ポイント高いですよね（笑）！
2,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Nusｓ-Knacker,2020年10月10日,3.0,何かが違う,茶葉に鼻を近づければちゃんとアールグレイしてるんですけど淹れたら飛びます。中途半端にフレーバーだからむしろ逆に香りが邪魔。ノーマルストレートだったら美味しくいただけたのに、勿体ない。次からアールグレイは個包装ティーバッグでしか買いません。
3,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),限りなく黒に近いグレー,2017年2月2日,2.0,上品な香りと風味。,アールグレイのいい香りが立ってこない・・・。やっぱり、この手の商品の購入は、難しいですね。昨年夫がイギリスで購入したものが素晴らしい香りで、似たようなものを期待しましたが、なかなか思うような製品に巡りあえません・・。せっかく、はるかイギリスからの直送でしたけど。
4,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazonのお客様,2020年3月25日,5.0,香りが飛んでる,昔から好きなアールグレイクラシック。最近見なくなったなぁ。。。と思っていたら、アマゾンで発見！思わず購入しました！この味！この香り！葉っぱ少し多めでミルクティーが最高です！！しばらくしたら、取り扱いがユ-ハイムになっていてお店も見るようになってホッとしました！
5,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),かぼちゃ,2017年6月21日,5.0,残念ながら・・・,1週間で届きました。香りがとても良いです。スーパーで買うのとは全然違う香り高さです。開封済で2週間経ちますが、まだ香りが無くなりません。味の方もとても好みです。まさにこれぞ紅茶らしい。ちょっと高いけれど、また買おうかな
6,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),ＭａｎｄＳ,2018年8月13日,5.0,幸せです！,水出しで飲んでいます。水出しでここまで香りが立つ紅茶って他いないですね。うまい。だけど最近値上がりしてるし、品切れが多いですね。供給に心配ありです。
7,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),みこと,2021年1月2日,3.0,香りが物凄く良い,以前　娘からもらったものは　ティーパックだったのだが　その時ほど　ベルガモットが香らないように思う。私の感覚が　おかしいのか？　ちょっとがっかりした。
8,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazon常連,2016年7月17日,5.0,現地で買えば同じ金額で2倍の量がかえちゃいますが、味と香りは同じでGood,義理のお母さんの誕生日プレゼントで買ってみて、自分も飲ませてもらったらすっかりファンになりました。なんといってこの気品のある香りです。やや高めですが、たくさん入っているので、長く飲めます。結局自分用でも買っていて、友達のプレゼント用にもなんどか買っています。
9,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),温泉野郎,2021年5月4日,3.0,毎朝飲んでます,可もなく、不可もなく。金額的にはちょうどこなれた価格です。香りが抽出すると少し消えます。ダージリンのような味わいとなります。
10,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),LINNA,2021年5月6日,4.0,リピーター,やはり、開けた瞬間な香りは格別です。クラシックじゃない方を今まで飲んでいたので普通のとの違いがいまいちわかりませんが、次は普通のを買いたいと思います。
11,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),tsu,2018年9月9日,5.0,普通かな,当方、紅茶初心者でまずは名門茶葉を・・と購入いたしました。アイスティーにした時、自分が今まで香りがたたない紅茶を飲んでいたのではないかと衝撃的でした。愛用します。
12,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),akko,2021年6月17日,5.0,良い香りです,大好きな紅茶です。匂いが良く、飲みやすいです。
13,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),たただ,2020年8月24日,5.0,花開くとはこのことか！,I am enjoying this always with my wife.
14,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazon カスタマー,2019年11月5日,5.0,お得にかえました,迅速かつ丁寧な対応で気持ち良く受け取りました。内容も思っていた通り、とても香りが高い美味しい紅茶です。頼んで良かったです。
15,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),山田義裕,2020年1月18日,3.0,always very good,おかしい...香りがないぞ？！
16,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),ふゅーりん,2020年10月3日,5.0,紅茶好きな方はオススメ,ロンドンで飲んだアールグレイに近い味を家で入手できるのはありがたいです
17,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazon カスタマー,2021年5月17日,5.0,香りが好きです。朝、昼と飲みますが、非常に落ち着きますね。,渋さがなくて凄く飲みやすい今まで飲んだ紅茶で1番美味かった
18,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),m,2019年12月10日,4.0,ロンドンで飲んだアールグレイ,香り高く、お値段だけある紅茶です。色つきは薄いですが香りがとにかく良いです。
19,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),あ,2016年10月26日,4.0,美味かった,アールグレイでは一番飲みやすく香りも良いように思えます。他社のアールグレイも悪くありませんがアールグレイは此方が一番好きです。爽やかなグリーンの缶も可愛くて気に入っています
20,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),西原 真記,2015年11月17日,5.0,お値段だけあります,他の紅茶が飲めなくなります。香りだけで幸せ。配送に時間がかかりますが、少しお得に手に入るので待つ価値があります。
21,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),やちこ,2014年10月22日,5.0,アールグレイ,弟家族に2人目が生まれるということでお祝いに送りましたが、期待通り喜んでもらえたんで気持いいです！
22,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),susie,2021年1月13日,3.0,美味しい,今届いて、開封したところ、缶が凹んでいてちょっと残念です。
23,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),タロイチ,2020年5月24日,5.0,弟家族に(ﾟДﾟ)ﾉ,とても早く届き、満足です。いつも通りの味です。ありがとうございました。
24,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),aozorakumorizora,2016年10月16日,5.0,クセがなく飲みやすいです。,香りも 味も 間違いなしです。後味も 何とも言えず 幸せな気分になります。
25,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),ゆみこ,2021年2月8日,4.0,大好きな紅茶,香がもう少し欲しかった
26,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),アマゾネス,2016年7月23日,5.0,とても 気に入りました,今まで、スモーキーアールグレイしか飲んだ事がなかったのですが、「クラッシック」らしく本来の紅茶に独特のアールグレイの香りがミックスされていて、さっぱりとしていて美味しかったです。職場では冷茶にして飲んでもらって好評でした。
27,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),梶川裕,2013年11月8日,5.0,味がよい点,香りといい味といいすばらしいです。贈り物としても良いと思います。
28,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazon カスタマー,2016年9月20日,5.0,アールグレイ　クラッシック紅茶,やっぱり美味しい❗ついつい飲みすぎてしまいます。ほっとできるおいしさです
29,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),月野刹那,2016年10月22日,5.0,さすがですね,到着予定日より　早く頂きまして誠に有難うございました次の日の朝　早速　アールグレイ　３　、ダージリン　７　の割合で美味しく楽しませて頂きましたまた　お試しに、とのセイロンのティバッグを入れて頂き　有難うございました願わくは　外装のダンボールを御面倒な事でしょうが　二重に、もしくは何か紙のようなもので覆ってお送り頂きましたらせっかくの大切な缶のヘコミ（少々）が無くなるのではないか、と存じます有難うございました
30,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),くう,2016年12月7日,5.0,安定したおいしさです,アールグレイの強めの香りが好きで、有名ブランド多数試し、これに行きつきました。喉から鼻に抜ける感じが最高で、渋くなく、バランスも最高。今まで、ここより早く届く違うお店でフォートナムメイソンのアールグレイクラシックを注文していましたが、届いてすぐ、缶を開けたときに漂う香りが弱かったり、渋みがあることがあったりと鮮度の状態に不満がありました。よく考えると日本で在庫をストックしているお店からの発送の場合仕入れてからの保管期間や保管場所の状態で風味が変わってしまうのかもしれない。ということに気づきました。配送が早ければいいのは場合によりけりですね。こちらのお店ではイギリスから直送と書いてあるので到着まで余裕をもって注文し、心待ちにしておりましたが、当たりでした。ティータイムが心からの癒しの時間となっています。少なくなったら、また早めにこちらで注文しようと思っています。
31,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),ほんがすき,2016年7月17日,5.0,ほんがすき,みなさんの言うように缶の外へも強い香り(不快でない程度)がするのですが、淹れてみると程よい強さで、しっかりとした気品のある香りがします。(評価が高いのも頷けますね。)一言で片付けてしまえば、「買って後悔」しません。好みの問題もあるとは思うんですがわたしはこのブレンドがお気に入りです。値段がほかの物と比べても少々張りますが、そこは量と品質でカバー出来ていると思います。悩んでいる方、試してみてはいかがでしょうか。
32,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),一消費者,2017年7月27日,2.0,やっと届きました,アールグレイの独特の香りが全くない。FORTNUM & MASONってこんなものだっただろうか・・・と疑問に思う。本国で飲んだイメージが強すぎたのだろうか。常飲しているFAUCHONのアールグレイの方が香りが良い。
33,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),匿名さん,2014年7月8日,5.0,味には大満足！,アールグレイの香りがとても良く、休日の朝やお昼においしく頂いております。
34,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),tadayopi,2016年6月29日,5.0,ガッカリです,そもそも僕の好みの紅茶がブレックファーストブレンド系なので、香りをつけたフレーバーティの類が苦手でしたが、名門フォートナムメイソンなら大丈夫かもと思い今回購入に至りました、届いて缶の蓋を開ける前からとても強く香りが来たので、もしや苦手かも？と思いましたが、ゴールデンルールを守りサーブしてみた所、とても芳醇な品の良い香りになりました、ミルクと砂糖を入れて飲む派なのでそのようにして飲みましたが、深みがありどんどん飲み進めて行きたくなる味と香りかと思います、紅茶の幅を広げていただいた気がします、とても良い買い物ができました。
35,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),akm3,2016年6月26日,3.0,お気に入りです,妻が一番好きな紅茶です。妻が、ロンドン在住時に喫茶店で飲んでいた思い出の紅茶です。美味しくて大満足でした。ところが、今回の箱のお粗末さが写真の通りです。前より、安値だったので、困惑してしまいました。最初は、計量スプーンもあったし、商品を覆っているパッケージもしっかりしていました。飲むのをためらっています。
36,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),Amazonカスタマー,2016年9月9日,3.0,もともとはアールグレイが苦手でしたが。,到着予定9月3日で現在9月9日、到着してませんひょっとして今噂の韓国船騒動に巻き込まれてる？
37,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),マロン,2014年10月13日,5.0,大満足。リピしたら。。。,味も香りも色味も缶のデザインもすべてさすが！の一言です(*^^*)今まで、いろんな紅茶を飲んできましたがこんなに香り高い紅茶があったのか…と感動しました。茶葉がそのまま保管できる缶も高級感があり大好きです（≧∇≦）
38,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),みあった,2016年5月17日,5.0,ひょっとして？,弟に、誕生日のプレゼントとしてこれをいただきまして、味も香りもあ、やっぱりＦ＆Ｍはいいなーって再確認。フィルムの上からでも、上質なベルガモットの香りがするのです。きつすぎず、弱すぎず、絶妙です。もちろん味もとても良い。「量が多い…」はい、多いかもしれません。英国は紅茶の消費量半端ないので、このサイズだと思います…。もし、お菓子を作れる人なら、これをミルで砕いて、スコーンやケーキなどに混ぜてもおいしい。私にはとてもあっています(笑)。
39,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),きなこ,2014年9月4日,5.0,さすが！,アールグレイの香りがとても良く、のんびりしたい休みの日にゆっくり飲むのがお気に入りです。缶入りなので、沢山入っているのも有り難いです。フォートナム＆メイソンの紅茶は缶のデザインも上品で可愛いので贈り物にも喜ばれると思います。
40,B00DPHKJVU,FORTNUM & MASON(フォートナム＆メイソン) アールグレイ クラシック リーフ 缶入り(250ｇ) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),ヒロ,2020年3月31日,5.0,香り最高,フォートナム&メイソンの愛飲者です。毎日この香りに癒されています
