,ASIN,product,brand,name,date,score,title,comment
0,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,Amazon カスタマー,2018年8月4日,2.0,品質には問題ないのですが、値段が変動しすぎ,職場私用に購入、一つを湯300c cに浸しッ放しでいただきます。ペットボトルや急須で入れたお茶、ベンダーのお茶より薄味です。次は同社のプレミアムティーバッグ抹茶入りを試してみます。
1,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,Kuniq,2020年1月12日,3.0,消費期限が短かすぎる,いろんなお茶が楽しめると思い、購入しました。1パックで2杯分とのことですが、ホントかな??お湯を注いでからの待ち時間はたしかに短いです。が、その分ティーバッグから粉が出やすく、パッケージを開けただけで粉だらけになります。味も期待していたほどではなかったです。手軽なのは評価しますが。。。
2,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,ナナ,2021年1月12日,4.0,思ったより薄い,職場持参用にと購入しました。お値段があと少しおやすければ星5つです。が　ティーバックとしては申し分のない味の濃さ。緑茶　ほうじ茶　玄米茶　とそれぞれがおいしくてすぐに消費してしまいます。お徳用パックをさらに発売してもらいたいです。寒い季節　美味しいお茶に癒されます。
3,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,ハルルン,2020年3月22日,4.0,粉だらけ。,玄米茶が好きなので他の味も試してみたく、「伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋」を注文しました。ほうじ茶は、他で良く感じる気になる苦みが無くて飲みやすいです。緑茶も同じく飲みやすいものでした。うちではすぐにお茶が無くなるので、いっぱいあって楽しめていいです。
4,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,Amazon カスタマー,2017年11月21日,4.0,美味しいです,玄米茶、緑茶、ほうじ茶と3種類入っていて量も多いので、長く楽しめます。ただ、こういう1個1個パックになっているパッケージの場合、ティーバッグの紐の先に付いている持ち手の紙片はバッグに糊付けしなくてもいいんじゃないかと思います。いちいち紙片を剥がすのが面倒くさい。
5,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,papiko,2016年12月8日,5.0,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,正直、私はコーヒー党です。そんな私でも「すごくおいしい！また飲みたい！」って思えました。香りがすごくいいです。
6,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,バーガーボーイ,2021年2月8日,4.0,3種類入っていて長く楽しめます,同社の30袋パックより香りが良いです。簡単美味しいジャスミンティーが楽しめて満足です。パッケージに1袋で2杯分と書いてありますが、2杯目は香りがかなり少ないので、美味しく頂くと言うなら、少々無理がある表記ではないかと思います。
7,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,あきりゅう,2021年5月26日,2.0,おいしい！,長いこと愛用していますが今回のは緑茶の風味が薄いのでマグカップでたっぷり飲みたい時は2パック必要です。よく見たらけっこう茎が入っていました。
8,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,よっしゃん,2021年5月16日,5.0,一番美味しいのに…。,ジャスミンティーがマイブームで毎日入れて飲んでます。近くのドラッグストアにも置いてないのて助かります。花の香りを飲むって素敵です。リラックス出来ます。
9,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,shumama,2021年5月25日,4.0,湿気を嫌うお茶なのに。,自分の住居付近ですと限られた店でしか買えませんその店に行って継続して商品が無かったのでネット小入しました店より少し安いです飲みごたえの有る良い商品だと思います
10,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,フラワーママ,2020年7月18日,5.0,リラックスしたいために飲みます。,職場の「お茶の会」の幹事をしていますが、この商品は一度に３種類のお茶が楽しめる上に箱を開けてそのままポンと置けるパッケージがとても便利です。日本茶はずっとこの商品ばかりリピ買いしています。
11,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,おか,2021年5月22日,5.0,入手困難,以前、茶葉を急須で入れて飲んで美味しかったので買ってみました。急須で入れるのがめんどうな時便利です。
12,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,takabows,2021年2月17日,4.0,職場の「お茶の会」にピッタリの商品（種類・パッケージ）,It's delicious taste and smells very nice. I want to buy again
13,B00E194GA6,伊藤園 おーいお茶 プレミアムティーバッグ アソート 60袋,プレミアムティーバッグ,sasayuri,2020年9月6日,3.0,急須で入れるほうがいいけど,ふつう・・・としかいいようのない
