,ASIN,product,brand,name,date,score,title,comment
0,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,Takemura,2020年8月28日,4.0,美味しい,もともとドリップ派だったが、インスタントを飲み比べてゴールドブレンドに落ち着いていた。デカフェを飲む必要がある時用に数少ない選択肢からチョイス。ホットだとやはり別物感が拭えないながらも、カフェインなしでコーヒー気分が味わえるのはありがたい。熱いお湯で半分淹れてから氷をたっぷりと突っ込むと、ほとんど普通のゴールドブレンドのアイスコーヒーと変わらない感じになる。どちらかというとアイス向きの商品。某ディスカウントや薬局、スーパーに行っても900円前後と高いので、アマゾンの定期便にするのが一番お得な様子。
1,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,Parisにゃん,2017年6月18日,5.0,重宝してます,私は特定の体調不良の時コーヒーを飲むとカフェインで悪化してしまったりするのですが、それでもコーヒーが好きなのでどうしても飲みたくなり、何かないかと探していたらコチラにたどり着きました。ちょっとコーヒーを飲むには夜遅いかな、という時にも今までと違って我慢せず飲めるので、随分色んな場面でストレスフリーになりました。普段、ドリップメーカーで落としたり喫茶店にコーヒーを飲みに行ったりとそれなりにコーヒー好きなのですが、こちらも美味しく頂けました。もちろん好みはあるかと思いますが。結構濃いめに入れてもそんなに減らなくてコスパもいい感じです(*^^*)
2,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,Amazonカスタマー,2018年10月31日,4.0,アイスにオススメ,カフェインレスといっても97%カットで3%カフェインありですが、カフェインレスの中で一番コーヒーを飲んでる感じがします。他のカフェインレスは苦味もなくコーヒーって感じがどれもしないんですよねー。ちょっとカフェイン入ってますが、14時以降はこれを飲んでて、定期購入してます。
3,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,蓮華,2019年1月30日,4.0,美味しいです♪,星4つですがカフェインレスとしての評価です。一般的なコーヒーと比較してしまうと平たい味で正直あまり美味しくありません。ただ、いくつかの市販のものの中では、香りが一つ上に感じました。普段は豆をキロ単位で購入し、自分で焙煎して飲んでいますが週に2回は、体をいたわりコレを飲んでます。同じカフェインレスで　AGFのブレンディ スティックカフェオレ にちょい足しで飲むと案外いけます。余談ですが相方に「なんでこんな高いのー」って注意されました。後日、ロピア小田栄で540円（税込）で購入してきました（笑
4,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,Amazon カスタマー,2017年2月9日,5.0,カフェインレスの中で一番コーヒーらしい。,胃腸が弱く、逆流性食道炎で困っています。コーヒーを飲むとすぐに胸焼けがしてとても飲めないのですが、これなら全く問題ありません。味には特にこだわりのない人間なのでノーコメントですが、雰囲気は楽しめています。
5,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,NoR,2020年5月4日,4.0,いろんなものにちょい足しで,私はマラソンランナーですが、マラソン大会でカフェイン効果を上げるため、普段はカフェイン抜きをしています。このカフェインレスコーヒーは、ネスカフェの「レギュラーソリュブル」というシリーズで、砕いたコーヒー豆が入っているようです。そのためか「インスタントにしては」コーヒー感あり、また比較的安く買えるので、気に入っています。肝心なカフェインも、97％オフです。他に高価なカフェインレスコーヒーもある中で、あくまでインスタントの範囲では、価格と味のバランスが個人的には気に入っており、スティックタイプと瓶のタイプをリピートしています。
6,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,BlueVol,2021年1月28日,2.0,雰囲気は楽しめます,別にインスタントコーヒーに味を求めてないですが。。なんか自分が割とカフェイン耐性のある方だと思うのに、このカフェインレスで心拍がやたらに上がるでどゆこと。。？平均一日２杯以上コーヒーを飲んでいます。カフェインを減らさないって思って、試して購入してみましたが、こっちの方にたいして反応が強かったです。。個人の問題ですかな
7,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,sorakuma,2021年4月27日,4.0,安くて手軽なインスタント・カフェインレスコーヒー,冷水に溶ける用のカフェインレスのインスタントコーヒーを作ってほしい！！絶対買います。カフェインレスのインスタントコーヒーの中では一番好きです。でも熱湯じゃないと美味しくないです。正直、冷水だとまずいです。夏は冷水に溶かしてすぐ飲みたいです。
8,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,951PLM,2020年3月17日,3.0,やはりここに戻ってきました。,よくも悪くもネスカフェです。ネスカフェが美味しいと思う方なら、このカフェインレスコーヒーも許容できるはずです。ネスカフェを好まない方々。これしか選べないなら仕方ありませんが、より安価で美味しいカフェインレスのインスタントコーヒーはあります。根気よく探してください。そうですね、マウントハーゲンとかぐぐってみるとよろしいかと。
9,B00EI6130S,ネスカフェ ゴールドブレンド カフェインレス 80g,ネスカフェ RSC,morry,2020年12月4日,5.0,意外と美味しい,カフェインの取り過ぎで体調悪くしてからカフェインレスのコーヒーを飲むようにしています。スーパーで中々カフェインレスのがなく、あってもスティックタイプの砂糖とミルクが入った甘いものしかなく、こちらで色々探しレビューも良いこのコーヒーを購入してみました。飲んでみて、今まで飲んできた粉コーヒーとなんら変わらず飲みやすかったです。あまり酸味のあるコーヒーは好きではないので酸味が苦味な方にはオススメかな？とにかく飲みやすいのでなくなったらまたリピートします。
