,ASIN,product,variant,brand,name,date,score,title,comment
0,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),はなべぇ,2023年5月13日,4.0,リラックスできます,4種類入っているのでその時の気分でリラックスできます。
1,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),Amazon カスタマー,2023年4月11日,4.0,バラエティーパック,バラエティーパックの名前通り、色々な味と香りが楽しめて心地よいです。
2,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),高橋　良孝,2023年3月9日,4.0,香りも、甘さ、ハチミツ等を加えると飲みやすい。,ハーブの種類で香り、色が違って楽しめます。少しハチミツ等を加えると甘さがでて飲み安くなって楽しめます。
3,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),ぴーなっつ,2023年4月15日,5.0,良いお買い物,どの味も楽しめます。特にカモミールは好みの味でした。
4,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),タルト,2023年4月12日,5.0,4種どれも美味しくて気に入っています,4種のハーブティーが入っていて、気分や時間帯によって楽しめるセットです。無着色で、香り高く飲みやすいのでどれも気に入っていますが、最近は代謝が落ちてきたのでレモン＆ジンジャー、紫外線対策にローズヒップ＆ハイビスカスをよく飲んでいます。美味しくて気に入っています。
5,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),マカロン,2022年12月22日,4.0,商品自体はとても良い,小さいパックを買っていたけど、飲み慣れてだんだん量が増えてきたのでこちらを購入しました。味は良いけれど、ビニール包装はなく、箱がそのまま入っていて、その箱がすごく潰れていて、食品なので少し不安を感じました。
6,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),チョコ,2023年3月16日,5.0,法事の引き出物,コーヒーが個数あったのでこちらを購入
7,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),ヨッコ,2023年2月22日,5.0,選べる楽しさ,4種類入っているので選べる楽しさがあります。それぞれちゃんとハーブの香りがしました。
8,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),池本恵子,2023年2月23日,5.0,色々する味を楽しめます。,何時も違った味を楽しめるのが良いです。
9,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),mitsurin,2022年5月9日,4.0,寝る前にも飲めるので重宝しています。,ノンカフェインでいつでも飲んでもOKなハーブティーのセット。癖がなく飲みやすいカモミール、ちょっと酸っぱいローズヒップ＆ハイビスカス、体が温まりそうなレモン＆ジンジャー、そして、ペパーミントがそれぞれ10パック入っています。ペパーミントは癖が強めであまり好きではないので、別なものに変えるか、量が少ないと良いなあと個人的には思います。酸っぱいローズヒップも少なめだと良いかな。
10,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),ヘンリー,2022年7月8日,4.0,安定のトワイニング,この種の紅茶の評価ポイントは「味よりも香り」です。そういう意味でアルミ個包装は紙パックよりも長持ちするので良いです。柑橘系の香りは同じものを続けて飲んでいると鼻が慣れてしまうのですが、これだけ種類が有れば何度も味が変えられて良いです。ただ、「ペパーミント」は用途が判りませんでした。「ダージリンは脂ぎった肉とか甘い菓子を食べた後の口直しの渋茶に相当する」みたいな用途が、私の食生活では見つかりません。
11,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),Ryon,2022年12月15日,5.0,さすがトワイニング,流石トワイニング本当に美味しい!レモンジンジャーとローズヒップが美味しい!カモミールは好き嫌いがあるが芳香剤の香りで好きじゃないです。別でレモンジンジャーとローズヒップティーを購入するつもりです。
12,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),さぼてん,2022年11月22日,5.0,いい,いろんなハーブティーが入っていてよいです。安定のトワイニングですね
13,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),Amazon カスタマー,2022年3月20日,4.0,色々はいってる。,色々入ってて楽しめますが、苦手なのもあったので次回は単品でたのみたいです。
14,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),田中家,2023年5月16日,1.0,箱が潰れていました。,包装を開けると箱が激しく潰れた状態で商品が入っていました。中身には問題ないのでしょうが残念の気分になりました。自宅用の購入でよかったです。プレゼント用の時だったら…
15,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),イクラ丼,2022年6月11日,3.0,お試しにはいいかも,普段からコーヒーやお茶などをよく飲みますがハーブティーはあまり飲まなかったのでこの機会に試しました。ミントとレモンジンジャー以外はあまり飲めなかったです。
16,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 1.75グラム (x 40),すがぴーさん,2022年1月30日,4.0,おいしい！飲みやすい！,おいしくて、飲みやすいです！ハーブティーが、あまり、好きではなかったのですが、こちらの商品は、飲みやすいです！
17,B00EJ9EGGM,トワイニング ハーブティー バラエティパック 40P,トワイニング,フレーバー名: アップルサイズ: 8個 (x 3),あまたろう改かんたろう,2022年1月18日,4.0,抽出時間を守ったら美味しかった,ペパーミントを初めに飲んで、えぐみがきつくて失敗したかと思ったが、個包装の裏に書いてある時間を守って抽出したら爽やかで美味しかった。他の物も時間通りに出せば美味しかった。カモミールを目当てにして少量試したくて買ってみたが、飽きっぽいので色々な味を楽しめるタイプで良かったかもしれない。
