,ASIN,product,brand,name,date,score,title,comment
0,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,amazonユーザー,2019年10月16日,4.0,やっと出会えた‼︎,姉がコーヒーを飲みたいと言っていてカフェインを気にしている頃でした。誕生日が近かったため、誕生日プレゼントとして贈りました。届いてから少しして連絡したところ、毎日飲んでいる美味しいとの事でした。関係ないですが、6月頃贈りました。来月頭出産予定になります。妻が妊娠した際はまたお世話になろうかと考えています。値段が市販のより高いのでそこだけですね。その分美味しいのかもしれませんが、自分が飲んでいたわけではないのでわかりません
1,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,since1954,2021年6月28日,5.0,他との比較,授乳中でもコーヒーが飲みたい…カフェインはやっぱりなんとなく気になる…。けど、デカフェって美味しくないものが多くて、結局は飲む量を制限して、カフェイン入りのものを飲んでいました。レビューを見て期待しながら購入。美味しい！！デカフェとは思えない！！最高でしたー！！勇気を出して(笑)6本入り買ったけど、よかったです。
2,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,유타,2016年9月15日,5.0,妊娠した姉の誕生日プレゼントに,珈琲が大好きで、妊婦ですが朝や子育ての休憩時にどうしても飲みたくて購入しました。通常のボトルコーヒーでも、商品によっては不味いですが、こちらはカフェインレスでもとても美味しいです。価格は高いですが、他のカフェインレスと比べると安めだし(UCCボトルコーヒーを除く)。いま品切れになってしまって残念です。もう9月だから増産しないって事なのかな…
3,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,Amazon カスタマー,2018年8月27日,5.0,美味しい！,加藤水出しコーヒーを飲んで美味しいなあと思っていたところでカフェインレスコーヒーを見つけて飲んで見たらこれまた美味い！加藤コーヒーさんは期待を裏切らない深いコクと味が最高！アラビカ種使用してるのも満点です💯！しかもカフェインレス素晴らしい！
4,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,くわまん,2021年5月12日,5.0,美味しいコーヒー。,アイスコーヒーが大好きで、毎日好きなだけ飲んでいたらカフェインの摂りすぎで体調不良になってしまい、こちらでカフェインレスのものを見つけてから何度がリピしています。カフェインレスとは思えないくらい美味しく、苦味、酸味、濃さが丁度いいです。
5,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,Amazon カスタマー,2021年4月25日,5.0,加藤コーヒー本当美味い最高！,他のカフェインありの、そこそこ美味しいアイスコーヒーと比べても遜色なく飲めます。アイスコーヒーとして飲めるので、体のためにカフェインを抜いていきたいので、こちらを中心に飲んでいます。表示は何かの関係（カフェインレス？）でコーヒー飲料となっていますが、原材料がコーヒー豆だけなので、問題を感じていません。お願いは、今後もプレミアム価格などにならずに、このまま販売してほしいです。
6,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,nao,2018年6月16日,3.0,とても美味しい！,カフェインを飛ばすためか、深煎り、強煎りです。苦くて、煙たいほどの煎った香りがクセですが、そういった風味が好みの方なら好きになれるんじゃないでしょうか。自分にはちょっと苦かったですが、それを除けばリッチな飲後感で、安っぽさや薄さは感じませんでした。
7,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,k,2019年6月17日,4.0,アイスコーヒーとして飲める,妊娠6ヶ月の妊婦です。産婦人科の先生にはカフェインだめとは言われてませんが気持ち的に気になって大好きなコーヒーを我慢していました。ノンカフェインのホットコーヒーはよく見かけるけど、アイスコーヒーになかなか出会えず、ネットでこちらを見つけて購入。とてもおいしくてカフェインレスとは思えませんでした。やっぱり少し値段はしますが、それ相応の満足度です。これからの夏に重宝しそうです★なくなったらまたリピします！
8,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,お父さん,2020年9月11日,4.0,美味しいコーヒーです。,デカフェとは思えない味(美味しさ)ドリップは面倒なので寒くなって来たらチーンしてホットで飲みます。
9,B00ENUBLII,加藤珈琲店　カフェインレス アイス リキッド コーヒー　１Ｌ×6本　無糖,honu加藤珈琲店,mono,2020年8月10日,3.0,カフェインレスとは思えない美味しさ！,カフェインは入ってなんでしょうけど、とにかく苦く味が濃すぎる。水を足してミルク入れてガムシロップ入れてちょうどいいです。自分には苦すぎました。
