,ASIN,product,brand,name,date,score,title,comment
0,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,penpen-C3,2021年7月3日,5.0,味に厚みは有りませんが、濃くても薄くても美味しいです,今まで、0カフェを飲んでましたが、たまには他のをと思い購入しましたが、意外と美味ですね。抽出後のガラも小さくて処分にガサ張らないですよ。
1,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,Amazon カスタマー,2020年8月2日,5.0,賞味期限が短い,このシリーズ三種類(だったと思う)ありますがバランスが一番とれていて大好きです。
2,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,アマゾン貴公子,2020年5月1日,5.0,喫茶店に負けない味わい,香り、酸味、苦味のバランスの取れたコーヒーです。価格も安く買って良かったです。
3,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,カスタマー,2021年3月11日,4.0,バランス良しですね🤗,手軽で美味しいです。
4,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,長倉 和平,2020年4月4日,4.0,満足,値段も味も手頃感があり満足しています。
5,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,ななしのごんべい,2020年1月22日,3.0,安い,スーパーでも買えるごく普通のコーヒーです。可もなく不可もなく特別な印象はありません。
6,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,オクマはん,2021年1月24日,4.0,起き抜けに気軽に楽しんでいます,おいしかったです。
7,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,si-ga,2020年9月18日,1.0,普通のコーヒーです,賞味期限が3ヶ月後に切れる物が送られて来ました、
8,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,ChnKR,2019年11月16日,2.0,期待したとおり、希望の商品でした。 配送、価格、両方とも満足します。,袋を開封した時の香り無し。淹れてもコーヒーの香り無し。飲んでも雑味が残る。失礼ながら出し殻を加工して作られた商品ですか？正直、安さに釣られて買いましたが、もう少し高い商品を買わなくては駄目なようです。
9,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,通行人,2020年8月15日,5.0,古い,本来は丸山珈琲や澤井珈琲、デパート等で購入した酸味が少なく苦味がしっかりした豆(トラジャやブラジル等)を買い、都度豆を挽いてハンドドリップして飲むのが好きですが、在宅勤務中は時間が無いのでこのドリップコーヒーを飲んでいます。この商品は、香りと酸味、苦味のバランスが良く、個体差が少なく安定した品質なのでかなりレベルが高いと思います。挿れ方のコツは最初の給湯でしっかり豆を蒸らす事と、こまめに分割してお湯を加える事、そしてお湯を入れ過ぎないことです。Amazonでの価格は大きく変動するので、タイムセール等、安いタイミングを狙えばとてもコスパの高い珈琲ライフが楽しめると思います。
10,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,マキタＵＳＡ,2019年12月27日,1.0,もう少し高い商品を買った方が良さそうです・・・,味も香りも薄い。最初、お湯を飲んでるのかと思うほど。商品として販売していることが、どうなのかなというれべる。誠実に仕事してください。UCCさん。同じくらいの値段ならセブンイレブンで売っているUCCのほうが満足はできる。
11,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,Prime User,2020年9月6日,5.0,お手頃かつ美味しい在宅勤務の必需品,美味しい。好みに合っただけかもしれないが、どこぞのカフェで一杯あたり200円くらいで買ってきたものよりよほど香りが良い。味わいもしっかり。テレワークで給茶機使えないからと思って、家で飲むように買った。もちろん給茶機のインスタントコーヒーとは比べ物にならないが、非常に満足。ただ、箱で買うとやはりかさばる。それと、マグカップ一杯分でいれると流石に薄い。
12,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,Rishikesh,2020年9月17日,2.0,買わない方がよう。返品したいくらい。,普段は『AGF ちょっと贅沢な珈琲店 』のものを買っているのですが、こちらが安くなっていたので買ってみました。普段通り淹れてブラックで飲んだのですが、香りも薄くて深みもあまり感じられませんでした。「お湯が多かったのかな？」と思い、2杯目はお湯の量を減らしたのですが、それでも自分には合いませんでした。スッキリしたコーヒーが好みの人には合うのかもしれません。お試しで沢山入っているものを買うべきではなかったです…
13,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,ふじた,2019年11月21日,5.0,テレワークのお供にたいへん良い,スペシャルブレンド系と似た味です。モカなどに比べ、味が薄いように感じますが、好みは人それぞれなので。1杯辺り20円切ってたのでお買い得です。スーパーのノーブランド物では、1杯16円ぐらいのがあります。賞味期限も、2020年6月9日まであり十分です。
14,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,Lathios,2021年4月1日,2.0,薄くてスッキリしたコーヒー？,私の淹れ方が悪いんでしかね？はちみつ入れないと飲めたもんじゃないですよ。
15,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,nok,2020年8月29日,2.0,普通に美味しい,1杯あたりのコストが安いので、気兼ねなく飲めますが、コクと言うより焙煎が強めなので苦みが表に出てきます。
16,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,ごっつ,2019年12月13日,5.0,安くて美味しい,まろやかで飲みやすい味でした。とてもお安く購入出来ました。
17,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,yaku,2020年3月1日,5.0,50パーセントオフでした。,クーポン利用で安価で購入出来ました。味も美味しく、量も多かったです。
18,B00FIVTJF8,UCC 職人の珈琲 ドリップコーヒー まろやか味のマイルドブレンド 8P×6 48杯,職人の珈琲,pinknoviora,2020年4月4日,5.0,まろやかで飲みやすい味です。,セットで購入しやすかった
