,ASIN,product,brand,name,date,score,title,comment
0,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,めかぶ,2018年10月30日,4.0,高いけどお得に購入させていただきました！,難病で完全ミルクの我が子。このミルクはごくごく飲んでいます。e赤ちゃんやはいはいも飲んでいますが我が子はこれが一番好きらしく夜中寝ぼけているとき粉ミルクをこぼさす作って飲ませることもできます。定期便で注文したさいカトーレック宅配業者が来ました。私と子どもが寝ていて上の子と主人が散歩に行ったそうで鍵が開いていたそうです。インターホンに出なかったからと勝手に玄関に入り荷物が置いていました。私がドアを開けると少し離れたところで「あ！今不在票をいれようと。」と話されていました。また入って荷物を持って行くつもりだったと思うとぞっと怖い気持ちになりました。
1,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,もっさん。,2019年1月22日,5.0,遺伝子組み換えが……,出産した病院がこのミルクだったので、退院後も継続して使っています。缶のミルクとの違いは↓↓●スプーンを使わなくていいので楽♪●缶をリサイクル回収に出す手間がない♪●外出時に持ち運び便利♪コスパ的にも缶とあまり変わらないので、使いやすいキューブタイプを使っています。キューブが1個40ml、半分に割れば20mlとして使えるので、20-40-60-80-100-...と赤ちゃんの成長に合わせてミルクが作れます。奇数のmlで作りたいときは、捨てて調節します。(70ml作りたいときは、キューブ2個で80mlを作ってから10ml捨てる。)今までは小箱をドラッグストアーで購入していたのですが、大箱をAmazonで購入してみました。オマケもついていたので♪大箱の中に箱が2つ入っていたので、保管する際にかさばらずに便利です。注文から2日で届き、助かりました。また、購入したいと思います！！
2,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,Miyuki,2017年3月1日,3.0,ミルクは美味しい！宅配業者に問題あり,3-5か月になってくると1回量は200cc程度になってきます。粉タイプだと　スプーンすりきり1さじ分が20㏄に相等し10さじ必要です。キューブだと一袋に40ccつくれるキューブが5個入っており何も考えずに1袋，160ccで満足しちゃうだろうなというときもあるのでそのときは4個つかって1個おいておきます。夜眠いときなど粉タイプだと何さじいれたか忘れちゃうかもしれません。また入れるときに粉がこぼれたーとか，薬液消毒後などかわいてない哺乳瓶を使うときはスプーンがぬれてしまい次いれたいのにぬれたスプーンどうする？となってしまうかもしれません。キューブならこぼれてよごれることもないし，何個いれたっけとなっても哺乳瓶のなかで数えることができます。ぬれた哺乳瓶でも外側の袋に少々水滴がつくくらいです。低月齢でもキューブを半分に割ることができ20㏄，1.5個で60ccと調節可能です。キューブが端数になっても取り出しやすいように途中でカットできる青い点線の切り口がついていますが，袋の裏の折り返しになっている部分がかたくてうまくちぎれないことがあります。旦那さんや母にお世話をお願いするときも手間が少なくミルクが作りやすそうです。持ち運びも個包装なので清潔で簡便です。長期保存が可能で防災にも便利です。粉のほほえみ800g缶で１さじ約2.7g　200ccつくるのに10さじ27ｇで約29回つくれます。キューブ16袋入りは200ccつくるのに１袋27gで16回分432gで缶約0.54缶相当のようです。和光堂のはいはいなどよりはお高いですが，ほほえみどうしで考えると値段はあまりかわらないようなので，キューブタイプをおすすめします！ただし1日で200ccを5回程度のむと48本入りでさえ10日程度でなくなってしまいます。割高なので48本入り以上をおすすめします。帰省などで少しでも荷物を軽くしたいときに配送し、荷物を少なくするのにはよいかもしれません。あと忘れがちですが，ほほえみには応募マークがついていて，オリジナル絵本やフォトブックに応募ができるようです。はじめは気づかずに捨ててしまっていました。お忘れなく！
3,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,はなはな,2018年9月3日,4.0,便利です♪,産院で使っていて、息子が飲む味なのでそのまま継続。1日１回100㍉飲むか飲まないかだから、缶だと賞味期限が短い。なのでキューブにしてます。もう少し袋から取り出しやすいとせっかちの私は助かる。
4,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,いつか・子育て奮闘中,2019年1月9日,5.0,応募マークの回収もお忘れなく！簡単便利。16袋はすぐになくなり割高。帰省などで少しでも荷物を減らしたい方へ。,３０年前に苦労した事はズバリ缶ミルクの測り哺乳瓶へ入れて混ぜる事でした。外出の際には小分けにしてミルクを測り持ち歩くといつのまにかミルクが湿度で固まるので大変でした。このキューブのミルクは超便利ですね。今産まれて1週間でミルクと母乳の混合です。ミルクを作るタイミングもそれぞれ毎回違うので時間が読めませんね。キューブのミルクだとポイと入れて後お湯を足すばかりなので、赤ちゃんを待たせる事なく授乳がスムーズにやれてます。ホントにこの商品を考えて下さったメーカーさんに感謝！です。
5,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,Amazon カスタマー,2019年6月7日,1.0,たまにあげる混合育児に。,出産前に購入し、産後は完母だったので粉ミルクが必要なくなり離乳食メニューに活用しようと使ったところ口の周りと喉周りに見事に赤くぷつぷつとアレルギー反応が…。粉ミルクが原因かどうかを確かめるために、翌日そのまた翌日も粉ミルクだけを皮膚に付けて様子を見たところ、ぷつぷつと赤く反応が出てしまいました。我が子にはアレルギー反応が出てしまうモノで大量に買ったのでもったいないことをしてしまいました。我が子のようなことがあるので大量に買う前に試される事をオススメします。
6,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,non/non,2021年1月26日,1.0,時代は変わったね。,今までは、48袋+48袋+16袋+4袋+4袋の120袋入だったの。商品写真もそうなってる。でも開けてみたら、48袋+48袋+16袋＝112袋とお尻ふきが入ってた。お尻ふきいらねー笑たくさん入ってて割安だからコレ買ってるのに、1月から値上げするわ、中身がお尻ふきに変わってるわ、ダメダメだよ。
7,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,りーちゃん,2019年4月13日,3.0,我が子はアレルギー反応出たので大量に買う前にまずはお試しを,急遽仕事復帰する事になり、その間主人に子供を見てもらう為、調乳の簡単そうなこちらを購入。ですが普段完母なので…全く飲みませんでした…哺乳瓶が嫌なのかとも思いましたが、搾乳した母乳は一応飲んでくれるのでミルクが嫌なのだと思います。完ミや混合で尚且つ、ほほえみの味が好きな子でしたら凄く便利な商品だと思います。大量に余ってるので、試しに普段飲んでるカフェインレスコーヒーにクリープ代わりに入れてみたら本物のクリープには敵いませんが、そこそこ美味しく飲めました。子供が離乳食を食べ始めるようになったら、離乳食にも混ぜてみたいと思ってます。
8,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,くまぽん,2018年10月20日,5.0,景品が急に変わった……,混合ですがお出掛け時にはとっても便利です。二本の魔法瓶にお湯と水を入れておけば外出先でも怖いものなしです。大体冷まし水でちょうど良い温度になるので結構はやく出来上がります。粉に比べるとやはり溶けるのが遅いですが、それでも乳首に詰まることなどはないです。まだ新生児なのでこれからどれだけお世話になるかわかりませんがすぐに届くのも良いですね。
9,B00FQZRSUY,明治ほほえみ らくらくキューブ 27g×16袋入り,明治ほほえみ,ゆめ,2021年1月18日,3.0,1年以上賞味期限があります,特別パック 景品付き内容量:3
