,ASIN,product,brand,name,date,score,title,comment
0,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,ＦＪＲ,2019年6月23日,3.0,値段分の価値があります,母の日用にチョイス。私は紅茶は飲まないので味は測りませんが、母はおいしいと飲んでくれたので、高価な分やはり違うのでしょう。不満なのは缶の角が若干へこんでいたことかな。この商品は缶もおしゃれということでチョイスしたので、残念でした。適当な商品ならパッケージがつぶれていようと捨てるものなので気にしませんが、この商品は缶まで商品なので。自分用ならともかく、贈り物用で買うなら店舗で買ったほうがいいのかな？
1,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,毛玉,2019年9月19日,3.0,蒸らし時間は２分～２分１５秒が飲みやすかったです。,時期によって、クオリティに物凄いさがあるので、ガチャ要素が強いです。美味しい時は本当に素晴らしい香りです。ハズレは、少しレベルが高い日東紅茶かな？って感じで、今回久々に外れ引きました。
2,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,月奈,2020年1月31日,5.0,箱の角がへこんでいた,いや～ぁ､ホントに美味しい‼…(^^♪...フォートナム&メイソン ロイヤルブレンドがこんなに手軽に入手できるなんて‼同量のホットミルクで割って...自分なりのミルクティーは毎朝のお気に入りになっています。
3,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,あおぽい。,2020年5月4日,5.0,美味しいのは美味しいのですが。,この品物は十数年前から愛飲しています。土曜日の朝食に欠かさず甘めのミルクティーで飲みます。これが我が家の1週間の区切りです。とても気に入ってます。
4,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,サヒツカ　ノオ,2020年5月6日,5.0,いや～ぁ...こんな手軽に入手できるなんて‼,この紅茶は５０年以上飲み続けているがいつも通り美味しく、香りもあり多少茶葉を多く入れても、長い時間おいても苦くならず、さすがと思っている。ミルクティが最高です。
5,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,チビとミー,2020年1月1日,5.0,1週間のメリハリ,これは、イギリス王室御用達だけあって、ミルクティーが1番です。言えないくらい長い間愛用しています。ミルクティーのお好きな方には飲んで頂きたい逸品です。高いのがたまにキズですが。
6,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,しゅう,2016年5月20日,4.0,美味しい紅茶,この味は王道でしょう。この紅茶だけで、他の製品がこの世に無くても問題ありません。ただ、この値段は極悪。それほど大量に消費するわけではないので、経済的負担というほどのことは無いのですが、それにしても。
7,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,華,2020年5月13日,4.0,私の定番,今までAHMADイングリッシュブレックファーストを飲んでいたのですがたまには変えてみようかなとフォートナム&メイソン、ロイヤルブレンドを購入しました。とっても飲みやすくまろやかな味で渋味も少なく飲みやすくて気に入りました。缶もオシャレで気に入ってます。
8,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,poz1,2020年6月27日,3.0,まあまあ,フォートナム&メイソンの紅茶は十数年前に一時期日本で入手しにくくなった時を境に一気に味が落ちました。それまでは、ダントツの味わいでしたが。それが残念です。
9,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,ＡVE,2021年1月12日,5.0,最高の品質,めちゃめちゃ美味しいです。自分が未熟なため美味しい入れ方を探すのに苦労しましたが、はっきりいって最高です。
10,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,スカダー,2018年8月17日,5.0,昔の味は今は無い。,さすがフォートナムの逸品です、間違いありません！濃く入れても苦くなく、マイルドで香り高い！
11,B00GY3UZV6,フォートナム&メイソン ロイヤルブレンド リーフ 1缶(250ｇ)［並行輸入品］ [並行輸入品],フォートナム&メイソン,Kindleのお客様,2019年10月2日,3.0,確実にこれは伸びる,口当たりは柔らかいです、香りは少し弱い気がしましたあくまで個人の感想です
