,ASIN,product,brand,name,date,score,title,comment
0,johnny walker,2020年10月15日,4.0,オシャレで丈夫なケースに入った、香り高い緑茶（５袋）！,※　添付した画像は、アップした順に、以下のようなタイトルを付けてみました。（１）「ミニブック」だから、ボールペンは入らない（２）開閉は、この角度まで（３）内装も、ばっちりオシャレ！（４）しっかり開閉できる凹凸のフタ構造（５）保存用のチャック付き（６）丈夫なティーバッグ（７）ティーバッグを開いて。茶葉を観察（８）茶葉を除くと、光沢のある生地！（９）USBメモリが下段に５本、上段に、もう５本は入ります！（10）USBメモリの、こんな並べ方も！１）スリランカの緑茶であって、紅茶ではないので、砂糖なしで、その香りを楽しむのが基本のようですが、砂糖を入れても、美味しいです。２）ティーバッグは５袋。光沢のある丈夫な生地に包まれており、ヒモも丁寧に付いています。安物のティーバッグのように、ホチキス止めではありません。３）ティーバッグの生地がよくできているので、茶葉を捨てて、乾かしてから、何らかの用途が考えられます。わたしは、そのままの形で「本のしおり」として使っています。何でもかんでも、すぐに使い捨てをする現代の風潮に「待った！」をかけ、「こんなふうにも使えるんだよ」というアピールになるからです。４）…とはいえ、この商品を購入したのは、アンティーク調のオシャレなブック型ケースに惹かれたからです。正直、中身には、あまり関心がなかったのです(笑)。フタは、しっかり開閉できますから、大事な小物を入れておくのに、ちょうどよさそうです。このレヴューの画像の最後に載せたように、USBメモリも、たくさん入ります。※　ペン・ケースとして使用したい場合は、この「ミニブック」では、ボールペン等が入らないので、同じブック・シリーズの、大きなもの（長さが17㎝ほど）を選びましょう。５）時には、自分へのご褒美に買ってもよいし、ハーブティー好きな人へのプレゼントにしても、喜ばれるはずです。ケースの表面には、デザインの微妙な凹凸が付いていて、持った時の肌ざわりもよいです。本のように立てると、本物の洋書がそこにある感じがします。この緑茶のシリーズは、他にもいろいろ。徐々にコレクションするのも、楽しいことでしょう。６）肝心の味も(笑)、上品で、美味しいです。嘘じゃありません！沸かしたてのお湯を注げば、一気に、茶葉が開いて、香りが立ちます。紅茶みたいな自己主張はないけれども、ハーブティーらしい、穏やかな香りが、しみ通ってゆきます。７）購入したのは、2020年10月14日でしたが、賞味期限を見たところ、2022年９月１日でした。開封さえしなければ、それだけ持つのでしょう。ティーバッグの５袋が入っている袋には、保存用の開閉できるチャックが付いているから、いいですね。このケースに密閉しておけば、湿気ることはないでしょう。８）この商品は「ティーブック」タイプですが、メーカーの情報をみると、オルゴールやバスケットになっているパッケージ（缶入り）もあるようですが、4,320円（税込）などの高価なものばかり！より身近なこの「ティーブック」のほうが、少しずつ、買いそろえていけそうです。※　持って、眺めているだけで、楽しくなる、ちょっと贅沢なこの「緑茶」。お気に入りの映画でも観ながら、味わうと、いい雰囲気になるかも⁉,,
1,木村瑠花,2021年2月26日,5.0,ここ最近買ったものの中で一番好きだった,感動しました。なんて美しい商品なのか、と。立体感のある金属製の箱と繊細な絵が不思議の国のアリスに出てきそうな、ディズニーのお土産屋さんで売ってそうな、ファンタジックでレトロな美しさ。惜しむらくは印刷がとても摩擦や衝撃に弱そうなのでところどころごく小さなひっかき傷から銀色が見えてしまう点ですが、そんな瑣末な事はどうでもよろしいレベルで綺麗な箱です。コレクションしたい。大切にします。お茶飲んでなくてまだ味のことが分からないので書けなくてごめんなさい。またきっとお世話になります。,,,
2,ちぇぶ,2020年11月6日,5.0,可愛らしい缶！,こちらの商品、ジャケ買いのようですが、本当に可愛らしい缶なね入ったtea なんです。友人、知人の個展の手土産に最適、軽くて可愛くて女性にはきっと喜ばれる手土産です、リピートするつもりです！,,,
3,Rinya,2021年3月18日,4.0,ホワイトデー用に購入,フレーバーティなので味に好みはあるが個人的にはバシラーティは美味しいと思う。何より贈り物として、バシラーティのブックシリーズは見た目が素晴らしい。紅茶を楽しんだ後も、入れ物としても使える。あと、茶葉ではなくティーバッグというのも贈り物に向いている。二倍の値段になるが、二回り程大きいブックもある。そちらは、こちらと違い中身もたっぷりなので、目的に応じて使い分けたら良いかと。,,,
4,Amazon カスタマー,2019年1月17日,5.0,見た目も、中身もよい。,お湯を入れてすぐ、良い香りが広がり癒されます。缶も再利用のしがいがあります。,,,
5,アオパン,2021年4月4日,4.0,パッケージがオシャレ,予想通りのさっぱりとしたお茶でした。濃いめの食事をした後は、とってもよく合います。またプレゼントした際は、パッケージデザインが良いので、とてもオシャレと喜ばれました。,,,
6,taro9000,2019年5月27日,5.0,美味しい,Vol.1～3セットで購入、色々な味が楽しめます。飲み終えたら缶も再利用できるし、気に入っています。,,,
7,あっこかあさん,2019年6月30日,5.0,お値段以上の可愛いさ,コンパクトで可愛いすぎる缶！贈り物にしました。,,,
8,maik,2021年6月4日,4.0,母の日ギフトでに！,ギフトで送り喜んでもらえました！,,,
9,Amazon カスタマー,2021年5月17日,5.0,プレゼントに最適,友人にプレゼント。素敵だと喜ばれた。,,,
10,Amazon カスタマー,2021年3月2日,5.0,可愛い,とにかく可愛い。紅茶も美味しいです。,,,
11,澤,2019年9月29日,5.0,本の形が良い,本の形が良いので、買いました。,,,
