,ASIN,product,brand,name,date,score,title,comment
0,一葉,2016年12月22日,5.0,しっかりとしたお味のデカフェ,今回で3度目のお取り寄せです。イギリスから空輸で届きます。なのに送料無料。日本で買うよりも断然安く、味もデカフェなのに、しっかりとしたアールグレイ。カフェインを夜摂りたくない方にぴったり。出産前後にもお薦めの品です。,,,
1,nobuko999,2017年9月28日,5.0,香りがいい,カフェインがダメで、紅茶は諦めていたのですが、カフェインレスでアールグレーがあるなんて感激です。とても香りがよく、普通のアールグレーと遜色ありません。もともとフォートナム＆メイソンが大好きなので、他の香りでもカフェインレスがあれば嬉しいです。ロイヤルブレンドは香りが弱く、こちらもカフェインレスを購入しましたがわざわざフォートナムでなくてもいい感じです。そっちはミルクティーかチャイにしていただこうと思います。,,,
2,ゆかりん,2017年2月25日,5.0,紅茶好きにお勧めです,紅茶の消費量が多い為、わざわざデパートに足を運ぶのも･･･と思いこちらで購入。普段はブランドに拘って茶葉から淹れていますが、妊娠中の為あまり大量には飲めずデカフェ(ノンカフェイン)を探していました。ベルガモットも安っぽいケミカル的な香料でなく、ふんわりやさしいものでした。さすがのフォートナム、ティーバッグでもとっても美味しいです。,,,
3,マーヤ,2021年1月18日,5.0,ぼ,箱がとても素敵なので、何かの贈り物に添えるのに適しています。好評です。わたしは緩衝材のかわりにこちらを同梱したりしています。,,,
4,ちゅわわん,2019年12月18日,5.0,香り豊かで美味しい,アールグレイの香りが良く、美味しく頂いております。,,,
5,ハニもも,2014年11月26日,5.0,上品な香りとノンカフェインの安心感で、夜にも愛飲しています,体調を壊し、カフェイン禁止になったので、大好きな紅茶が飲めなくなりがっかりしていました。スーパーにもノンカフェインの紅茶はありますが、香りや味が・・・。そして、今回この上品な香りの紅茶に出会えて大満足しています。,,,
6,twinkerbird,2020年2月27日,5.0,おやすみ前に安心,デカフェのアールグレイは初めてでした。夜寝る前に飲むために購入しましたが美味しいです。,,,
7,Fさん,2020年5月14日,5.0,おいしいです,デカフェですぐ、アールグレイの香りも良くおいしいです。何回もリピート購入してます。,,,
8,まっす,2020年11月6日,5.0,香りがある,カフェインレスなのに、おいしいです‼︎,,,
9,Amazon カスタマー,2017年2月14日,4.0,絶賛,友人のプレゼントに大変喜ばれました。香りが良く、奥深い味わいと絶賛された。,,,
