,ASIN,product,brand,name,date,score,title,comment
0,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,りりあ０７,2019年4月28日,1.0,賞味期限で残念！,ユニカフェの青が取り扱い止まったのか買えなかったのでこちらを買ってみましたが、色の付いたお湯って感じ。パッケージを開けたときは一応香りはありましたけど…。何が違うんだ？と思ったらあちらは8グラムでこちらは7グラム、それをカバーするためかお湯が抜けにくく、フィルターか粉が細かい？ように感じました（お湯の指定はどちらも140ml）。お茶も出がらしでも行ける人なら、120パックも入っててお得であると思えるかも？紅茶見たく暫くお湯に浸しておくのか？。深いコクとかなんの冗談かと思いました（渋味はある）。
1,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,Toshi,2020年10月23日,4.0,赤・緑両方試しました。,熱湯をチョロチョロとゆっくり注ぎ、下に落ちるお湯の量と注ぐ量を同等にしてフィルター上部までお湯が満たされないように注げばコクよりも苦味が強い珈琲になります。熱湯をゆっくり注ぎ、下に落ちるお湯の量より多めにフィルター上部一杯一杯まで先に注げばコクがあって苦味が少ない珈琲になります。個人的に前述の注ぎ方だと苦味が強すぎて砂糖やミルクを入れないと飲めません。後術の注ぎ方は珈琲は多少薄めになりますがブラックでも美味しく飲めます。後は熱湯を注ぐ速度を調整すれば好みの苦味の珈琲になると思えます。
2,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,時々レビュー,2019年4月24日,2.0,味が薄い,ずっとブルックスの一番安い19円モカブレンド（税別）を飲んでいたのですが、タイムセールでこちらの商品が22円から16円に値下げになっていたのでお試しで注文してみました。同時に淹れてみましたが、ブルックスのほうが香りがあり、味わいも良いです。こちらは、残念ながらコーヒーというよりは、焦げたような味がするお湯・・といった感じ。もしかしたら、たっぷりの砂糖や温かい牛乳でカフェオレにしたり、キャラメルシロップを入れたりしたら、それほど気にならないのかも知れませんが・・私はブラックしか飲まないので、安くてもこの品質では、リピは無いです。
3,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,Amazonカスタマー,2019年1月9日,4.0,熱湯の注ぎ方で苦味が全く異なる味になります,リピートしています。他の方のレビューにあるような賞味期限の短いものに当たってしまったことは（たまたまタイミングが良かっただけかもしれませんが）ないです。また、我が家は皆すごくコーヒーを飲むので、多少期限が短くても消費しきってしまいます。一人暮らしの方や、毎日のように飲まない方には期限のリスクがあるかと思います。味ですが、このお値段と、ドリッパーなどを出したり洗ったりの面倒なくカップで一人分淹れられることを考えれば、十分すぎると思います。二人以上でデパ地下ケーキなどを食べるときは、豆屋さんで挽いてもらったコーヒーを淹れています。
4,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,はなこ,2017年12月28日,3.0,香りがないですね・・,普段はスーパーで売られてて、美味しかったのでリピートしていました。サイバーマンデーにて120杯を購入。しかし…いつもと味が違う。おかしいなとおもって2袋目を開けて飲んでもやはり味が違う。苦味がまして焦げ臭い感じです。uccのカスタマーサービスにTELすると、袋裏面記載の賞味期限とLOT番号みたいなやつを聞かれ、ダンボールごと回収していただく手続きをしました。以後のuccの対応は、追記して行きたいと思います。期待を込めて星3つ！
5,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,Amazon カスタマー,2018年3月25日,4.0,コスパ良いです,毎日、２〜３杯飲んでます。毎日飲んでも飽きのこない苦味と酸味のバランス。後味も重たすぎず、スッキリしています。封を切った時に広がる香りは毎回新鮮な挽きたての香りです。お値段も1杯あたりでみて、充分な価格。会社にも持って行って淹れています。
6,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,やきとり,2020年5月8日,5.0,当たり外れがあります,嗜好の範囲ですが，コーヒーはこだわりを持って飲んでいます。休日は豆を挽きハンドドリップで飲んでいますが，職場ではそんな悠長なことは出来ません。結論的には，所詮「ドリップコーヒー」ですが，少しでも満足度の高いコーヒーを求めて，これまで色々と飲みました。前置きが長くなりましたが，このコーヒーの第一印象は薫り高く，商品名のとおり，他のドリップコーヒーと比較して「深いコク」を感じることが出来ます。評価としては個々様々となりますが，私個人としては，この価格（セール中は１個17円）でこの香りと味は出会ったことがありません。コーヒー好きにも満足できるベストバイドリップコーヒーだと思います。
7,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,侯爵,2019年12月10日,5.0,毎日のコーヒーにちょうどいい,普段は成城石井のロイヤルスウィートの豆を購入し、デロンギのマグニフィカSで飲んでおり、夫も仕事に２杯分、コーヒーボトルに入れて持って行っていますが、、、あっという間に豆が減っていくため、ドリップで良さげな物がないか探してみたところ、サイバーマンデーでお買い得になってた上、評価も高かったので、大容量ではありますが、買ってみました。香りもまぁまぁしますし、ホーローケトルで沸かしたお湯をしっかりふやかしてからそそぐとなかなか美味しい！と感激しました。カフェやコーヒー専門店で購入するドリップパックは10グラムが多いように思うので、7グラムは少し少ないな、と思いますが、、、お値段から考えればそりゃあそうですよね。とにかく期待していなかっただけに、かなり満足度は高めです。夫もコーヒー変わったね、と言ってきたので、味どうやった？と聞いたところ、美味しかった、と。気持ち濃い目に淹れたからかな、とも思いますが、買って良かったです。又、製造年月日が最近の物を送っていただいたので、かなり嬉しかったです。
8,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,洋画ファン,2021年1月29日,4.0,リーズナブル,安さに惹かれて大人買い。蒸らし時間やお湯の量、温度等丁寧に入れると、十分おいしいコーヒーになります。コーヒーは良い豆を贅沢に使って、おいしい水で作れば、際限なくおいしくなりますので、これがどれほどかを表現すれば、例えばキーコーヒー等８ｇパックと比較して、ちょっと薄いというかパンチが欠けているのかも。しかし、単価７０－８０円と２２円の安さを考慮すると、自分はこれです。Amazonの食品あるあるですが、安さが有名な近所の食品スーパーに、同じものが１８パック包装で売ってましたが、単価計算すると４円程度安いことが判明。次からそれを大人買いします。
9,B00KXU3FI6,【Amazon.co.jp限定】UCC 職人の珈琲 ドリップコーヒー 深いコクのスペシャルブレンド 120杯,職人の珈琲,一購買者,2019年12月12日,5.0,どこが賞味期限切れ？,価格がかなりお値打ちですが、これより高い値段の他社の商品と飲み比べましたが、コクがあって旨いです！他社製品は少し薄めが多いですが、これはシッカリとした味で満足です！賞味期限も約一年あるので、鮮度も十分です！配送拠点との距離によるのでしょうが、午後の注文で翌日午前には届きましたから、配達はかなり迅速です。たた、同じ労働者として、物流はこんなに早くなくても十分ですから、申し訳ない気持ちです。
