,ASIN,product,brand,name,date,score,title,comment
0,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),NT,2021年1月4日,5.0,思った以上に濃くて嬉しい,クセや渋味が少なくて、一番好きな味です。紅茶は苦手だけれど、身体に良いとテレビで見て他のバラエティパックを買ったのですが、その中のひとつがこのアーマッドのEnglish Tea No.1でした。他の紅茶は、あー、やっぱり紅茶は無理…と思いましたがEnglish Tea No.1を飲んだ時、こんなに飲みやすい紅茶があったんだと嬉しくなりました。そこで、この紅茶だけのパックが欲しくて今回購入しました。やっぱりホッとする味です。いつも、コーヒーばかりでしたが、紅茶の時間も持てて充実しています。
1,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ニャームズ,2019年10月11日,5.0,好きな味なんです。,元々コーヒーも紅茶やフレーバーティーも大好きな私に似たのか、子供たちが紅茶を飲む様になったので、ちょっとお高い紅茶をガバガバ飲まれたらたまったものではないのでこちらを購入。アルミ包装を開封すると、茶葉の香りと同時にふわっとかすかにベルガモットの様な香りがします。元々濃いめが好きなのとアイスティーで飲みたかったので少し濃いめに入れました。ホットの状態でひと口飲むと、気持ちわずか紅茶の渋みを感じ後から紅茶の茶葉の香りが追いかけて来ました。アイスティーでも美味しく頂けました。デイリーユースには十分な商品です。定期便に登録しました。
2,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2020年3月10日,4.0,紅茶のクセや渋味が苦手な方におすすめ紅茶です。,普段はイングリッシュブレックファストとアールグレイ、ダージリンをローテーションで飲んでいるのですが、気分転換にこちらも購入。前述の3つよりも薄めに感じますが、味の濃い料理を食べたりするときにはちょうどいいかなという味です。少し長めに茶葉を浸しても味が濃くならず渋くなる感じ。味的にはブレックファストに近いです。ガッツリしたスイーツには会わないかなと（同ブランドのアールグレイなどのほうが合う）思うので、複数種買ってローテーションがお薦めです。
3,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),sakuracci,2014年12月8日,5.0,良い,この製品はアルミ個包装でしたので湿気の心配をせずに楽しめます。味も香りも少し薄めですがまずまず合格点というところ。それでもその辺のスーパーで売っているものよりは美味しいです。一日数杯飲むのでこれで満足です。今後も継続して愛飲決定です。数年前まで通勤途中にある百貨店で購入していましたがその時は紙の個包装だったと記憶しています。その時の味のほうがもう少し濃かったようです。値段はこれと同程度でした。追記：少し贅沢をしたい時のために「AHMAD TEA (アーマッドティー) イングリッシュブレックファースト 2g×20P 」も購入してみました。単価は二倍ですが、味も香りも一段上で、くつろぎの時間を楽しめます。
4,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),yuzuli416,2020年10月22日,3.0,薄く感じるかもしれないけれど、飲み分けに,イギリスのスタンダード紅茶であり、未添加品(ブレックファースト)に少々香り付けした品だ。香り付けが、チョット半端な付け方かな？と思われる。もっと白黒付けた方が個性的で好い様に思う。イギリスのスタンダードであり、日本人にお馴染みの(日東)紅茶とはチョット味が違う。イギリス本土でお馴染みの(よく出される)紅茶であり、そのお味である。
5,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),mytoshi,2020年12月16日,5.0,アルミ個包装なので安心。味は合格点ギリギリ？,素晴らしい。香り味。このお値段でこれが一番お勧めと思います。ベルガモットの香りで、ストレート、豆乳、牛乳、お菓子。全て良し。入れ物も紙だし。良かったら、茶葉のみでもう一息お安く買える商品もあれば、なお助かります。
6,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Mr.K,2019年9月18日,5.0,チョット半端なお品か？と思う,いつも神戸紅茶のミルクティー用と一緒に入れてます。ブレンドすると美味しいです。5年以上、朝のミルクティーをそうして楽しんでます。赤い方のパッケージの紅茶（イングリッシュ ブレックファーストだったかな？）は、ヒルトンのモーニングのバイキングで使われています。
7,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),なっちゃん,2021年1月5日,5.0,お値段味、バランス良し。,濃いめのミルクティーが好きなので定期おトク便で購入しています。アルミ個装なので香りが飛ばず、封を切ると紅茶の良い香りがします。シリコン製のカップ用ふたで蒸らしてからいただくのが私の定番となりました。
8,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),popo,2020年4月25日,4.0,渋みのないのがいい,普段飲むのに最適です。毎日昼食時に紅茶を飲むので、なるべくいっぱい入っているものを探していました。個包装で、しっかり4辺が封されていて、新鮮さが保たれており、衛生的にもとても安心できます。味も飲みやすく、好き嫌いのない味だと思います。あと、結構すっきりと飲める気がします。
9,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),HIBI,2021年5月22日,5.0,無難にガブガブ飲める,味、香りが気に入ってます。同じメーカーのカフェインレスアールグレイを飲んでいて、こちらを買いました。カフェインレスではありませんが、こちらの味の方が好きです。大容量、お安くいうことなしです♪
10,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),つち,2020年4月26日,5.0,普段におすすめの紅茶,クラシックセレクションで気に入ってNo1だけ追加購入。味も値段的にも飲みやすく、大量消費するので気に入ってます。結構濃い目にでるので多めのお湯で淹れてます。気になるところは、タグが取れやすいくらいです。
11,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ちろるちょこ,2014年5月4日,4.0,美味しい,思いますと書いたのはティー通ではなく、コーヒー党だからです。ティーは高校時代、タバコを吸い始めた時コーヒーとティーとどちらが合うか試した時から飲んでません。その後４０年余毎日コーヒーとタバコがないと１日が始まりません。ティーを買ったきっかけはSamaDoyoの茶器を買ったので飲んでみるかと考えAmazonでサーチし、レビューを見ながらこれに決めました。コーヒーで言えば大体１Kg分ですよね。割安だと思います。高校時代に一通り飲んだtwinningは高いので外して、Liptonのイエローラベルとどうか言えばこちらが美味しいと思うですが？とにかく気に入ってます。
12,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Fire brigade,2017年7月17日,5.0,のみやすい,AHMAD TEAのLemon Lime と Fruit Tea を飲んで、その濃厚でコクのある美味しさに惹かれました。すこし大目に購入して常飲したいと思ったので、今回イングリッシュティーを買いましたが当たりでした。香りが濃くて、美味しいです。豆乳を混ぜて、ミルクティーにして飲んでいます。
13,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),kznr8684,2020年9月19日,5.0,美味しいと思います,紅茶の出がとても良いです。手軽に何杯も飲む派にはぴったりきました。ミルクティーでもレモンティーでもストレートでもいけます。個包装なのも素晴らしいです。
14,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),かもしか,2020年8月3日,5.0,濃くて美味しい,トワイニングが好きでよく飲んでいますが、値段に対し数が少ないので100pに釣られて、初めて購入してみました。結果十分なお味でした。ベルガモットの香りが強くストレートでも美味しく頂けます。毎日飲むには十分な量とお味です。無くなったらまた注文します！
15,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),もっふもふ♪,2019年7月20日,4.0,たっぷり！,色んなフレーバーティーがあるが、朝いちばんは癖のないこの紅茶が一番のみやすいです。一袋から濃いめの紅茶が作れるので、800ｃｃのティーポットに２袋を入れて抽出後、冷蔵庫に入れて少しづつ飲んでいます。レモンを入れたりミルクを入れたり色んなテイストを楽しんでいます。
16,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),かなた,2021年2月18日,5.0,くせなし,水筒に入れて会社に持って行っています。毎日飲むのに優しい価格で助かります。
17,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),製品,2018年2月15日,1.0,コスパ良し,AHMAD TEA アーマッドティー　結構気に入ってアールグレイ　セイロン購入して美味しくこちらも楽しみにしていましたが　なんらそこらのティーバッグと変わりないレベルで非常に残念１００Pもどうしようという感じです。リピートはしません。
18,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),おーちゃん,2020年4月20日,5.0,家計に優しい価格です,普段飲むお茶に良いと思います。味もしっかり出てる割に渋みもなく飲みやすくてついつい沢山飲んでしまいますが、結構な勢いで飲んでても沢山あるのでなかなか減らないです。
19,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),raky,2020年11月29日,5.0,これは・・AHMAD TEA アーマッドティーと思えない,久しぶりに飲みました。今人混みに出られないので、助かりました。美味しかったです。
20,B00LFJ5HU8,AHMAD TEA ( アーマッドティー ) イングリッシュティーNo.1 ティーバッグ 100袋入り [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ねこねこ,2019年11月22日,4.0,飲みやすく、コスパ良,値段とイギリスで一番売れてる、との宣伝文句に引かれて購入。軽く蒸らしてもそこそこ良い味。しっかり蒸らせばミルクティーでも大丈夫だろう。普段使いに最高
