,ASIN,product,brand,name,date,score,title,comment
0,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,こまどり姉妹,2018年6月14日,5.0,びっくりした,出産して授乳のためデカフェコーヒーを探してました。妊娠前にはこの製品のカフェイン有りをずっと飲んでいましたが、味や濃さが全く同じで驚きました。他のデカフェを試したけど、やっぱりコーヒー感が薄れて満足できなかったので、さすがドルチェグストだなぁと感心しました。遊びに来た友達に出したら、デカフェだと言うまで全く気付きませんでした。
1,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,奥久琶八申田,2021年5月11日,5.0,ルンゴがお勧め！デカフェとは思えない美味しさ,今まで飲んだカフェインレスコーヒーの中で1番おいしいです。普段は普通のコーヒーを飲んでいるのですが、寒暖差の激しい時期や梅雨時などはカフェインを摂取すると気持ち悪くなってしまうので、おいしく飲めるカフェインレスコーヒーを色々試していました。こちらの商品はむしろ普通のコーヒーよりおいしいと思えるくらいおいしいので、カフェインレスコーヒーはこれで固定になりそうです。
2,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,memome,2019年3月11日,5.0,デカフェとは思えない,味はコンビニコーヒーぐらいかな？と思いますが、淹れたてのカフェインレスコーヒーが手軽に飲めるので大変重宝しています。デメリットは、ついつい夜も飲んでしまうのでカプセルの消費が早くなりがち。濃さのガイドはあるものの、自分好みの湯量で飲めるのも良いです。
3,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,匿名希望,2017年6月7日,5.0,カフェインレスとは思えぬうまさ,間違ってカフェインレスを購入してしまったのですが、誰一人、カフェインレスという事に気がつきませんでした。
4,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,mim,2015年6月19日,4.0,カフェインレスコーヒーがより手軽に,カフェインレスでもこれくらい美味しいならOKカフェインが骨の形成を阻害すると知り、カフェインレスを探していました。骨粗鬆症の予防の為、カルシウムなどのサプリを飲んでもカフェインを摂れば本末転倒、ドルチェグストにカフェインレスがあってよかった★
5,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,となりのぽにょ,2021年4月18日,5.0,間違って購入,どれをとっても、満足の行くものです。ネッスルでドルチェカプセルが1時販売中止と聞いてこんかいは1000円高いけど購入しました。2021年4月18日時点です。、
6,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,草だんご,2021年7月6日,2.0,カフェインレスでも美味しい‼‼！,コーヒー自体は好きなのですが箱がボロボロでした。これ、同じこと書かれてる方沢山いますね、配送業者にアマゾンから注意したほうがいいんじゃないんですか
7,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,マリさま,2021年3月28日,5.0,美味しいし値段も手頃です,以前から飲んでいますが、買い足ししてなかったのでこちらで購入。Amazonは次の日に届くのでありがたい。買い物ではかさばるので助かります。またリピしたいと思います。
8,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,島宗正,2020年1月6日,4.0,コーヒー通,ネスカフェドルチェグストを愛用しています。授乳中の為に色々なカフェインレスコーヒーを比べてみましたが、この商品が一番味が濃く、おいしく感じています。
9,B00N8B3JAG,ネスカフェ NDG ドルチェグスト 専用カプセル レギュラーブレンド カフェインレス 16杯分×1箱,ネスカフェ NDG,Amazon Customer,2016年9月21日,5.0,カフェインレスなので良い！,寝る前・夕食後にコーヒーを飲みたくなるので購入しました。味もそんなにレギュラーと変わらずにおいしいです。カフェインレスということで眠れなくなることも少ないと思います。
