,ASIN,product,brand,name,date,score,title,comment
0,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,かまちこ,2019年3月24日,4.0,水イボ対策に。,普段麦茶を飲んでいますが、味に飽きてしまったのでハトムギ茶を飲み始めました。水出しだと香り味が物足りないので、湯沸かしポットでお湯を沸かしてその中にティーバッグを入れて、お湯出し？しています。（入れたまま煮出してしまうと、泡で吹きこぼれてしまうので）麦茶よりコストは高くつきますが、ペットボトルを買うよりは断然安いので、しばらく飲んでみようと思います。
1,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,らんこちゃ,2017年9月22日,3.0,お茶の味が薄い,30袋入りでお徳かと購入したが、一袋当たり4グラムしか入っていなかった。１Lあたり2袋入れる必要がある。他社製品は一袋当たり7グラムくらい（水１Lにつき１袋）のものが多いと思う。お徳！と飛びついてはいけません。
2,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,ピッコ,2020年4月23日,3.0,麦茶飽きてきた人に。,ハトムギが肌にいいと聞いて普段何かしらお茶は飲んでるので、こちらに変えれたらいいかもと思い購入。しかし麦茶が苦手な我が家はやっぱり苦手だった模様。ほうじ茶はどんどん消費しますが、こちらだとなかなか減らない。飲めないことはないです。まずいとかでもないです。薄い麦茶は飲めると言うので薄めにしてみましたが味気ない感じで美味しくなく、ほうじ茶に少しづつ混ぜて使用してます。（家族は気付いていないと思う。）肌への効果は不明です。
3,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,O,2018年9月23日,3.0,一袋あたり4グラム　水１Lに2袋,薄いです。麦茶の容器だと2パック入れないといけないみたい。いつも飲んでる伊藤園の麦茶のかわりに買いましたが、コスパよくないのでリピはしません。イボや肌荒れにいいかなぁと期待して買ったのですが、そちらを評価できるほどは飲めてません。
4,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,Suzie,2019年1月26日,5.0,麦茶がちょっと苦手ですが、やっぱり味が苦手,国産の商品をいくつか試したけど、その後この中華産やってみると、味、香りともこっちがいいと思いました。国産の方がもちろんいいのだけど、伊藤園だし、こっち一本にしようかな、と。考えます。
5,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,ことこ,2020年12月2日,1.0,水出し、お湯だし両方で使用,伊藤園というブランドを信じて買いましたが、全く出ませんでした 。普通の行平鍋 八分目ほどの お茶を作るのに、パックが4個も必要でした 。安価ですが、かえって高いものにつきます。味も特においしくありません。こんなものを売り出しては、伊藤園のブランドが傷つくのに、いいのでしょうか？
6,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,DEVUJA,2020年8月9日,2.0,うーん,伊藤園さんで、しかも国産とのことで安心して購入させて貰いました。煮出さずに冷水で作り置きしてますが、1L容器に本来は1袋で良いようですがそれではあまりにも薄く、2袋入れて時間をかなりおいても色も味も薄くて美味しいとは感じられません。煮出すと少しは濃くなるのでしょうか？煮出し･冷水用となってますが、それでは意味がありません。手軽な冷水用として使用したいので、こちらの商品については次回の購入はありませんね。伊藤園さんなのにガッカリです。
7,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,Prime会員読者,2020年6月2日,4.0,出が悪いことこの上無し,連日毎日のようにコーヒーを飲み過ぎなことに気づき、朝の1杯を申し訳程度にはとむぎ茶をホットにして飲んでいます。美肌効果などはまだ飲み始めたばかりで、よく分かりません。しかしまあ、そんな効果はとりあえず置いといて。さすが伊藤園、味は癖がなくとてもおいしい。満足。確かに他の方のレビューにある通り、若干味が薄めである感は否めません。飲む場合はしっかりゆっくりお湯で出せるような、時間的余裕のある人向けの商品。コスパもそれなりで気に入っています。
8,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,yuko,2020年6月10日,2.0,多分小さなイボ対策には効果あり。,送料対策に購入しましたが、他の方も書かれていますが薄いです。2リットルのやかんに普段なら2パックですが、4パック必要です。元々1パックのgが少ないので、非常に割高。すぐなくなりました笑。500mlのマイボトルに1パック入れるのにはちょうどいい量かもしれません。伊藤園なのに、少し騙された感がありました。
9,B00N9RRVYE,伊藤園 伝承の健康茶 国産はと麦茶 ティーバッグ 30袋,伝承の健康茶,imuya,2018年9月21日,5.0,ハイグレードそば茶,1パックだと薄いので2パック使用して、1Lのポットで作ってますはと麦特有の風味があって美味しいですはと麦が肌に良いとの事で飲用を始めましたが心無しか良いような気がします
