,ASIN,product,brand,name,date,score,title,comment
0,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,Pocho,2018年7月24日,5.0,がぶ飲みするのでカフェインレス　価格は注意,最近はカフェインレスのものが増えてきましたが、探していた時は味が薄かったりミルクが入っていたり甘かったりばかにしてるのか！と思うほどぼやけたものが多かったので普通にコーヒー飲んでほっとしたい…という気持ちを満たしてくれたのがこれでした。酸味も気にならずクセのない味でカフェオレなどで飲んでもおいしいです。ホットでもアイスでも楽しめました。たっぷり入って購入しやすい価格なのもよかったです。（ひとビン698円として30杯分なので1杯23円くらい）詰め替えもシールをはがして逆さまにしてビンに刺すだけなので簡単でした。
1,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,青一,2020年12月19日,5.0,多少は薄味な感もあるけど、健康のためには,初めはカフェインレスって足りない感じで苦手だったのですが医者に勧められカフェイン摂取を断つことになりそれでもコーヒーは飲みたくて飲み始めてみました。初めは海外のものを飲んでいたのですが、やや癖がありこちらに切り替えたところ、そうしたクセもなく飲みやすい口当たり。冷えると少々酸味などが際立ってしまうので暖かいうちに飲みきることがおすすめですが、毎日飲むのに問題ないくらいには美味しいです。やはりちゃんとしたコーヒーには全く敵いませんがそれでも飲みたい方には是非おすすめします。
2,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,レビュアー,2021年7月26日,5.0,妊娠～授乳中に飲んでいました。,インスタントやドリップタイプのデカフェを5種類ほど試し、一番バランスがよかったのがゴールドブレンドです。産前産後にお世話になってます。デカフェはどうしても普通のコーヒーより味が落ちてしまうし、まずいのが多い中、ゴールドブレンドは毎日飲むのに耐えられる味です。最初はそれでもまずいなぁ…と思って渋々飲んでましたが、慣れたらこの味がおいしく感じるようになりました。詰め替えもワンタッチでザーッと落ちてくれてめっちゃ楽です。粉っぽくなりむせることがないのが地味にいい。容器は元々飲んでいたマキシムの80gの瓶で問題なく詰め替えられてます。ちょっと高いけど、授乳終わるまではゴールドブレンドに頼ろうと思います。
3,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,Dawn,2020年5月2日,5.0,慣れたら全然美味しいカフェインレスコーヒー,カフェインは摂取量をあやまると体調に不具合をきたすため、注意がいるのだと知りこの製品に辿りつきました。なんだかんだでコーヒ通をきどっていてもネスカフェゴールドブレンドが最強であり、これはカフェインレス（完全ではないですが）として味は抜群です、
4,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,あるま,2019年2月9日,4.0,デカフェはこれに落ち着いた,ソリュブルなどと小難しく表記しているので分かりづらいですが瓶入りのインスタトコーヒーと同じ品です。ただ開封した直後のネスカフェ自慢のあのレギュラーコーヒー風の香りは瓶と比べるとあまりありません。味は同じです。製品とは関係ないけど定期便でじわじわ値上げしていくのやめてくれないかなぁ。
5,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,tokyo guest,2021年6月7日,4.0,ノンカフェインの最高峰か。,環境に配慮して詰め替え用を購入してますが、瓶で新規に購入するのとあまり値段が変わりません。詰め替えは瓶に押し付けるとこぼれず詰めることができて便利ですが、もっと単純にすればコストも下がり、ビニールも減らせるので改良の余地あるかと。味は普通のインスタントコーヒーと変わりません。
6,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,シーモンキー,2017年11月28日,4.0,開けたての香りは瓶より劣る,寝る前でもコーヒーが飲みたいので、購入。前評判ではカフェインレスコーヒーはあんまおいしくないとのことで、おっかなびっくりの購入でしたが、ちゃんとコーヒーの香りもしますし味もします(笑)まぁドリップとかで苦み・香りを追い求める方には全然違うのかもしれませんが、普段普通のゴールドブレンドを飲んでる分にはこれで十分においしいです。ネックはやはり値段と量の少なさですが、普通のコーヒーと違う分、ひと手間かけてるから致し方ないのかなと。一か月ぐらい続けて、たまに普通のコーヒーを飲んだりするとお昼後でも眠くなくなったりするので、緩やかにカフェイン断ちしたい方にもおすすめです。
7,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,たか,2021年1月3日,5.0,もう少し安ければ,普段使っているバリスタのコーヒーが切れた為急いで購入。アマゾンさんは配送が早いので助かっている。カフェインレスは一般のものよりいいのだが、ない飲み物に比べれば3％？は入っているので残念ながら今年（ベンゾ減薬中）は飲めなかった。夜眠れない人カフェインが苦手な人にはいいと思う
8,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,momojiri,2017年11月14日,5.0,バリスタ愛用5年以上！！,一年を通じてレギュラーコーヒーもエスプレッソも飲みますが冬に向かう季節にはなぜかインスタントコーヒーにクリープをたっぷり入れてお砂糖をちょっと甘めになるくらいいれたものが飲みたくなります。交感神経をあえて刺激する必要もないのでカフェインレスが良いです。デカフェでも味や香りを犠牲にしていない、美味しいコーヒーだと思います。
9,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,blan,2018年12月26日,4.0,手軽さと便利さがGOOD,もともとの瓶詰めタイプは店舗で購入したのですが、毎回瓶詰めタイプを買うには高くつくので詰め替えをいろんなお店で探していても見つからずネスカフェのサイトで見つけて購入しようとしましたが、たまたまこちらで見つけて安く購入出来て良かったです。詰め替えも楽チンなので大助かりです。
10,B00N9U3LPO,ネスカフェ ゴールドブレンド カフェインレス エコ&システムパック 60g×2個,ネスカフェ RSC,ふふっ,2015年7月23日,5.0,美味しいです,私の地元のスーパーではどこでもこのカフェインレスコーヒーがありません。ですので、アマゾンが届けてくれるのが何よりありがたく嬉しいです。昔はコーヒー好きだったのですが、次第にカフェインレスでも飲めるようになってきました。要は慣れです。味も非常に良く出来ていて、さほどの違いはありません。
