,ASIN,product,brand,name,date,score,title,comment
0,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,だん,2020年4月16日,5.0,詐欺みたい,ずーっとこの商品飲んでます！わたしのかなりのイチオシ商品です。とても飲みやすて、お手頃かな？と思います！スーパーで買うと20パック入って398円とかであるのをよく見かけます。なので、1袋100パック入って1000円はありがたいと思ってます。味も飲みやすくて大好きです。全然、垢を感じないです。子供もめちゃくちゃゴクゴク飲んでくれるので、嬉しいです！！耐熱性能の星を3つにしたのは、ホットで飲んだことがないからです。参考にならずすみませんm(._.)mただほんとに飲みやすいのは確かで、かなりオススメです！
1,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,goku,2021年1月3日,4.0,病みつきになっていますが、理由は不明！,子ども達にも飲ませています。来客時に出すと、とても喜ばれる。飲み飽きないのでリピ買いしてます。
2,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,みちょん,2020年3月12日,5.0,ほとんど垢を感じさせないTea,とってもお安く購入できてすごくありがたいです。味も美味しくて大好きです
3,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,Amazon カスタマー,2020年10月18日,5.0,みんな大好き,お茶の苦手な夫も、水筒で職場に持参して毎日1Ｌは飲んでいます。味も好みだしノンカフェインなので、安心してゴクゴク飲めるところがいいです。毎日３Ｌは作っている我が家では大容量で、500円お得の5袋セットをリピ買いしています。
4,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,無名,2020年10月25日,5.0,飲みやすい,体にもよく毎日１リットル飲んでおります。定期的に購入しています。
5,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,Amazon カスタマー,2020年7月3日,4.0,クセのない飲みやすさ,夏場を迎え，冷やして飲んでいます。南アフリカの味がします。
6,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,やじさん4491,2016年8月1日,5.0,ティーライフ,電気ポットで沸かしたお湯を麦茶用のポットにルイボスティーと入れると、しっかり色が出て、簡単に作れます。夏は、冷たいお茶をよく飲むので、簡単に作り置き出来て重宝しています。
7,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,藪内　武司,2021年5月20日,5.0,クールな飲み物,なにしろ安い！飲みやすい
8,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,かずま,2015年10月17日,5.0,お得です,家で飲むお茶はすべてルイボスです。健康に良いノンカフェインで「奇跡のお茶」と呼ばれている南アでしか採れないお茶を安く提供いただいてありがたく思っています。
9,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,aki,2018年12月24日,5.0,リピートです,ノンカフェンがうれしい
10,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,マーボー,2016年4月26日,5.0,飲み続けています。,飲みやすくてとても気になって毎日美味しくいただいてます。(^∇^)👍
11,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,西田佐和子,2017年7月25日,2.0,抗酸化作用があるから,お茶そのものについては問題ないと思います。が、今まではパック１つあたり3gだったのが、現在2
12,B00NUMELVE,【まとめ買い】ティーライフ ルイボスティー 101個×5袋セット (ノンカフェイン ルイボス茶 水出し お茶 ティーバッグ),ティーライフ,Amazon カスタマー,2014年12月17日,5.0,お気に入りです,大変美味しくいただきました。値段も手ごろで、お店の対応も早く、とても良かったです。
