,ASIN,product,brand,name,date,score,title,comment
0,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,ニャームズ,2017年7月22日,5.0,紅茶は素人ですが、それなりに追求もしたんです。,ブラックコーヒー派ですが、紅茶ではアールグレイが好きです。自宅ではずっとジャンナッツのアールグレイを気に入って飲んでいましたが、こちらも気になり今回購入しました。ジャンナッツよりフルーティで爽やかな印象です。水出しのアイスティーも美味しいです。家族もオリンダの方が好みなのでしばらくはこちらをリピートします。
1,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,blackuma,2019年6月20日,5.0,コスパ高い,紅茶のアールグレイといったら、オリンダ製品しか飲みません。癒し効果抜群です。スリランカのお茶っ葉が身体に合うみたいです。TWININGSはイギリス製品ではなく中国製品で、飲むと喉がいがいがしちゃうので買わなくなりました。
2,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,ポロネーズ,2020年7月1日,5.0,爽やかで美味しいです。,アールグレイの命でもある柑橘系の香りがとても強く、紅茶自体も深みがあってお気に入りです。何度もリピしています。ストレートでもミルクでもどちらでも美味しくいただけます。100pとたっぷりあるので、毎日気兼ねなく飲めるのも良いですね。ただ個包装が昔ながらの紙なので、うちでは開封したら即密封容器に乾燥剤と一緒に入れて保存しています。
3,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,ひっぷあっぷママ,2019年8月31日,4.0,癒し効果ありの紅茶です。,香りはかなり強く出るので、美味しいです。私は普段紅茶をガブガブ愛飲するので、そのことを考えると、少し割高には思いますが、美味しいし、また、リピートすると思います。開封してから割とすぐなくなるからいいですが、時間のかかる人は、小包装とはいえ、紙で包まれているだけなので、もしかしたら、香りが飛んだりあるかもしれませんが、実際のところはわかりません。
4,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,プライム会員,2019年1月13日,1.0,香りが強くて美味しい！,香りがほとんどありません。味も無いです。同じような手ごろな値段では、Janat、AHMAD等がありますが、それらの方がずっとアールグレイの香りがあって、紅茶の味もあります。他のレビューで香りがあると読んで買ったのですが、箱によって違いがそんなにあるのでしょうか？？？
5,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,Amazon カスタマー,2017年10月26日,1.0,味も香りもいいです,香りがきつすぎて、香水みたい。飲み物としてはツライ。ジップロックを、飛び越えて芳香剤がわりになります、、
6,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,Amazon Customer,2021年2月21日,5.0,香りも味も無い,以前は、違うメーカーのアールグレイを愛飲していましたが品切れの為こちらを購入しました味も 濃くちゃんとアールグレイです。こちらの商品も良いです。
7,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,カスタマー,2019年8月7日,4.0,香水,しっかりヴェルガモットの香りがするスリランカ産のアールグレイ紅茶です。コストパフォーマンスはとても良いです。主にホットでミルクティーにしますが、夏はアイスでもいけそうです。ただ、ティーバッグが薄い紙で出来ているようで、直ぐに破れてしまいます。私は、少なくとも2煎目までは淹れるので、破れたらストレーナー（茶こし）を用意して別のカップに移して飲みます。
8,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,チベット,2020年4月18日,4.0,量も多く安い,アールグレイが好きなのでこちらを購入してみました。一つずつのパックを包んでいるのは紙で密封性は余り良く無い感じでしたが価格とのバランスを考えると特に問題は無いと思っています。
9,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,けんちん,2016年10月5日,4.0,くせの強い紅茶です。香りが嫌いな人多いかも。,JANATのアールグレイが価格高騰しすぎているので、お店でこれをみて買ってみたら、いい勝負。香りも味もいいです。これからも600円台前半を維持していただけると嬉しいです。もっと安いともっと嬉しいですが。
10,B00QWDDRKE,オリンダ 100Pアールグレイ,ボーアンドボン,ままちゃん,2017年1月9日,5.0,アールグレイが好き,レビューを見て買ってみました。予想より香りが強く、渋味も少なくて、アイスでも美味しく香り良く飲めます。この品質でこのお値段、愛飲になると思います。2017/09/12追記夏の間ずっと水だしのアイスティーで愛飲、リピで購入しました❗
