,ASIN,product,brand,name,date,score,title,comment
0,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,ドゥービーは好きだけど,2019年5月12日,3.0,手放せないエスプレッソの魅力,illy程パンチがないかな。イリーは飲むたびに「ん～～！！」って感じで唸るほど美味いWが、キンボにはそこまで唸らないかな。重みはあるけど、香ばしさというか喉を通るときの旨みの深さはイリーほどない。イリーだけでは、2杯出しで飲んでいる自分には後半飽きるので、ミルクを入れて飲んだり楽しんでいますが、イリー7、キンボ3の割合でブレンドして飲むとちょうどいいバランスです。
1,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,リフレ派マネタリスト,2019年1月2日,2.0,バランスの取れた味わい,ペーパードリップ、トルココーヒー、茶こしといろいろ試しました。商品のパッケージには香り★★★★★って書いてあるんですが……デカフェとはいえ、価格からは信じられないほど香りが弱いです。味はコクがしっかりあって酸味もそれなりで、バランスが取れています。けれどどうも酸化しているような、飲んだ後の気持ち悪さがあります。総じて、この値段のコーヒーの質じゃないと感じます。もう買いません。
2,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,ヨドバシチョットコム,2020年9月16日,3.0,可もなく不可もなく。パンチがほしいが悪くはないかな,エスプレッソメーカー 直火式 を購入したので極細挽きのこの粉を買った。でも9気圧のエスプレッソマシーン向けであり、2気圧のエスプレッソメーカー 直火式には合ってないとネットで知った。粉が目詰まりを起こしたり、抽出したコーヒーに雑味が入るという。中細挽き、細挽きが合っているらしい。でも捨てるわけにはいかないので、粉を少なめにしてドリップにしてみた。絶品とは言えないけど美味しく飲めたのでこれで楽しみたいです。
3,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,ちょこわぶ,2020年8月3日,5.0,香りが弱すぎる,コーヒーの粉、今回、6種類ぐらい高いの買いました。その中で一番美味しかったです。というより、これまで買った粉の中で一番美味しかったです。好みなんでしょうが。これより美味しい粉あったら教えてください。豆は面倒なのでイヤです。来客の時は、いつも使ってるかのようにミルで豆砕きますけどね。
4,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,SUZUKI,2017年11月28日,5.0,エスプレッソメーカー 直火式 には合わないらしい,ドリップには向かないがエスプレッソマシンで入れるとチョコレートのような味と香りで砂糖に負けない。ナポリで飲むように8gで出来上がり25ccくらい。砂糖を入れて飲むと美味しい。濃厚なのでフォームドミルクでラテを作ると喫茶店で飲むラテより美味しい。
5,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,KAIくんの伯父,2020年4月22日,5.0,これは美味い,細引きで粉のようなコーヒー豆の挽きあがりです直火式にも使えますがエスプレッソマシーンにも適しています250gで1000円切るのだからコストパフォーマンスは悪くないと思いますイタリアの家庭の味を味わいたい方にお勧めです
6,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,imazon,2020年8月15日,4.0,美味しくて手頃な値段,しばらく在庫切れでしたが、やっと手に入るようになりました。1回だけillyを飲んでみましたが、味が強く、粉もなんだか湿っぽくてマキネッタで淹れてもお湯の上がり方がイマイチでした。その点、キンボ・ナポレターノは安心して使えます。でも価格には不満。400円近い値上げはちょっとやり過ぎではありませんか？
7,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,katka(かてぃか),2020年1月31日,1.0,ビアレッティで使っています,キンボを試してみました。嗜好品なので、好みの問題です。私の好みには合いませんでした。イタリアンの店でも、キンボを使っている店のエスプレッソは口に合わないので、やっぱりだなとの感想です。好みが合えば、安めなので良いのかもしれません。私は、ムゼッティとイリーが好みに近いかな。(追記です！)エスプレッソで飲むには好みに合いませんが、アフォガート等のサブ的な用途ならば、まぁ使えるかもですね。
8,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,Boss,2020年3月5日,4.0,イタリアを日本で感じられること,購入したマキネッタもあるのですが使い方がいまいちよくわからないのでメリタのコーヒーメーカーやハンドドリップでコーヒーの様に入れています。サイフォンもあるがそれもまだ試してないです。家の機械だとお店のいわゆる泡立つ⁇エスプレッソにはなりませんが、まぁまぁ美味しいと思います。家に居ると何杯もコーヒーを飲んでしまうのでエスプレッソだと負担になりません。挽き目は細かいです。コーヒー好きの家族にはエスプレッソは物足りないみたいです。
9,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,Amazon カスタマー,2020年4月29日,5.0,美味しい！けど、価格変動要注意☆,KIMBO GOLDが好きなのでKIBO GOLDを買いましたという以外書くことがないですね。私はもう20年もKIMBO Gold愛飲者なので、EspressoといえばKIMBOで選ぶのはいつもGOLDです！
10,B00RYXHRM0,キンボ エスプレッソ粉 デカフェ 250g,キンボ,はるなこ,2017年4月11日,3.0,おいしい入れ方あるかなぁ,キンボはイタリアでもよくありますがいわゆる廉価版のコーヒーです。日本に輸入されるとかなりのお値段になりますが、ナポリっぽいコーヒーを楽しむのに良いかと思って購入してみましたがややブラジルコーヒーの味が強く私の好みではありませんでした。苦味がとても強いです。ベトナムコーヒー風に練乳込みで入れてみるとかえって美味しいかもしれません。
