,ASIN,product,brand,name,date,score,title,comment
0,リエ,2018年8月11日,4.0,味が濃くなり過ぎずミントが爽やかさで飲みやすい,外で飲んだ時に気に入ってしまい購入してみました。ルイボスティーの苦味の中にほんのりミントの香りがして飲みやすくすっきりしてます。パックに紐が付いていないので捨てる際に引き上げにくい点が残念かなと思いました。,,,
1,たぬこ,2018年5月25日,5.0,会社でも癒しのデトックス☆,本当はコーヒーが大好きなのですが、会社でずっとコーヒーはきつい(-_-;)。で、これをポットに入れて持って行ってます。500ミリリットルでテトラパック2コ。ポットにお湯を注いだらパックを入れっぱなしで持っていけるので、慌ただしい朝の用意も簡単。紅茶は渋いし、緑茶は薄くて飽きるので、このルイボスのマイルドなほど良い濃さとうっすらとしたミント感は掘り出し物です。デトックスにもなるみたいだし、夏もホットで続けます。,,,
2,アーピー,2018年12月22日,5.0,爽やかで美味しい！,値段は安くはないですが、味がすごく美味しいのでリピートしてます。ルイボスティーというよりミントティーという感じです。ミントのスッキリ感が好きな方ならハマると思います。,,,
3,jjjjj931,2019年4月9日,5.0,香りがとてもよいです。,会社の同僚に！ためしにもらったら、すごく美味しかったので、自分で買うことにしました。苦味というのでしょうか、お茶の香りがとってもいいです。,,,
4,密林探検者,2021年3月28日,5.0,ミント好きにオススメ,ミントがキツすぎず、ルイボスと合いすっきりと味わい深いです。美味しくて何杯でも飲めてしまうのですぐなくなってしまいます。近くに売ってないのでAmazonでリピート中。,,,
5,Amazon カスタマー,2021年5月20日,5.0,おいしい,おいしいすっきりしてます,,,
6,no15,2021年3月30日,4.0,少し物足りない,もう少しミントが強くてもよかったかなと思います。。淹れたてはミント感が少しありますが冷めるとなくなります。。,,,
7,アール,2021年6月11日,5.0,爽やか,ミントの香りが爽やかで、とても美味しかったです。,,,
8,N,2016年9月23日,5.0,美味しい,ルイボスティーはこれが1番です。個別包装になっていればもっと便利だと思います。,,,
9,Amazon カスタマー,2016年11月2日,5.0,以前にもいただいたことがあり、即買いでした。,飲みやすいルイボスティーに爽やかなミントが加わり、ちょっとリッチな気分でいただけます。,,,
10,Amazon カスタマー,2016年7月3日,4.0,ミントの爽やかな香り,前から同シリーズの普通のルイボスティーを愛飲しています。飽きるので味を変えてみようと思い、今回ミントを購入しました。飲み始めはミントの味と香りが気になり過ぎて飲み易いという感じではありませんでしたが、飲み続けるうちに慣れ、普通に飲めるようになりました。これからの暑い季節、ミントの爽やかな感じがいいと思います。,,,
11,ヤマ派,2021年4月2日,5.0,美味しい,美味しいですねほのかにミントの香りがとても良いです個人的には飲み続けるとミントの風味が慣れのせいかよく分からくなってきましたｗｗ,,,
