,ASIN,product,brand,name,date,score,title,comment
0,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,こまいぬ,2019年9月30日,5.0,味が変わりました！,日東紅茶というと、どうしても安物のティーバッグという先入観があり、たかをくくっていました。しかしどうしてどうして良品です。茶器をきちんとあっためて、よく濾過された水を適温で湧かし、愛情深く淹れてあげれば、いい仕事をするお茶です。コクがあり、しっかりしたボディーが持ち味。わがやでは、もっぱら豆乳や牛乳とあわせて呑んでいます。濃いめに抽出した日東紅茶をときどきの体調と季節と気分にあわせて、カルダモン、シナモン、ショウガ、ナツメグなどとあわせ、はんなり甘めの印度式チャイで楽しむ。自家製のマフィンをつまみながら・・・夫婦のささやかな幸せです。庶民派紅茶かもしれませんが、飽きのこないハイ・コスパ商品。
1,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,ペットの世話が大変,2020年1月6日,5.0,追加購入で日東３種比較,アールグレイが大好きで高級な海外品から低価格のものまで色々紅茶を飲んできましたが、これが一番香りが高く、おいしいです。苦いというレビューを書いている人は入れすぎているのではと思います。適切な量を入れれば、香りがよく苦くなることはありません。水だしにすると特においしいです。ポットにパックに入れたこれを入れて、半日もすればお湯では出せないいい香りが楽しめます。1年くらいずっとこれにはまっています。時々浮気をして他のを試してみますが、やっぱりこれに戻ります。なくならないでほしいです。
2,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,hirosabo,2018年7月9日,4.0,まったりと濃い庶民派紅茶,無難なおいしさ。ただ開封後も香りが非常に長続きしました。開けて一ヶ月以上はハッキリとアールグレイの香りがして、レビューとの違いに驚きました。保存方法が良かったんでしょうか？袋の上部を切り取った後、極力空気を抜いて1cmずつ折り畳み輪ゴムを巻いただけなのですが…
3,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,Amazon カスタマー,2020年7月27日,3.0,毎日飲んでます！,なんかレビューがタイプ別で投稿できないので全部まとめて。アールグレイ：柑橘系の香りはしっかりしてます。他のブランドのもので香りが全くしないものしか知らなかったので、アールグレイとはなんぞやというのがよく分かりました。ただ、水出しだと、どことなく薬の味が気になりました。渋みの少ない紅茶：オーソドックスで、香りがそれほど高いとは言えませんが味がしっかりしていて、紅茶を飲んでいるという感触を与えてくれます。香りが飛んでしまった紅茶にブレンドすると程よいバランスを保ってくれます。こく味のある紅茶：確かにミルクティーに合う感じ。単体だとあまり美味しくない。香りの高い紅茶：水出しでかなり美味しい。無糖午後の紅茶みたいな感じ。これ3回ほど購入しましたが、3回目でハズレを引いたようで、香りの無い酸っぱい紅茶でした。酸っぱい紅茶なんて初めてです。クオリティーの維持をしっかりして欲しい。
4,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,ストライプ,2018年10月16日,5.0,香りが強め,紅茶はティーパックで飲むタイプだったので、茶葉からいれてみようかとお試し購入。緑茶の感覚でいれたら濃すぎて飲むに堪えず。ただし中身は良質な紅茶であるため香りは良く味も良い。正しく紅茶の淹れ方を覚えていけば、さらに美味しく飲めて行きました。自分はコーヒー党ですが、ときおりの気分転換として紅茶も楽しめるよう味わうには十分に良いものかと思います。
5,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,Amazon カスタマ一,2019年7月1日,2.0,個体差あり,ミルクティーが好きでお手頃な茶葉を探していたところ、こちらが安くて評価がよかったので購入してみました。残念ながらアッサムは苦く香りも少なく、美味しくなかったです。ミルクパンで煮だした茶葉にミルクを入れてロイヤルミルクティーを作りたかったのですが、茶葉が少ないと味が薄く、多くすると苦くてまずいです。そこそこのお値段の茶葉で作ると喫茶店のような美味しいロイヤルミルクティーができたので、やはり茶葉は妥協しちゃいけないなと思ました。
6,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,零美裕書代（れびゅうかくよ）,2021年4月8日,5.0,美味しいけれど入れ過ぎ注意,毎朝シナモンや夏みかんの皮、干し生姜、ミントなど季節に応じたものを入れて、濃い目ミルクティーで飲んでいます。セイロンが一番クセがなくて飲みやすく感じます。だいたい1ヶ月1袋くらいの消費です。賞味期限が長いので、おトク便がスーパーより安くて、おすすめです。なぜかセイロンだけ売ってるとこが少ないので、なくなると探し回っていました。アマゾンおトク便で扱っていただけて本当に助かっています。
7,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,tea,2018年12月21日,5.0,苦い…,リプトンの白缶の代わりに試しに買ってみておいしかったので、以来何年もこれです。以前はスーパーで買っていましたが、売っているところが少なかったので助かります。安価なのにダージリンの風味があり、変に渋いわけでもなく飲みやすいと思います。
8,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,dahlia,2018年9月26日,5.0,地味な逸品♪,香り高い紅茶です。たっぷり入っててコストパフォーマンス+品質にも満足しています。以前はずっと近所のスーパーで買っていましたが、何故か置かなくなってしまいました。ここにリーズナブルな価格で扱っていてくれて助かりました。これからも末永く扱って下さい。
9,B00U7F865O,日東紅茶 こく味のある紅茶 135g,日東紅茶,キビタキ,2020年7月26日,2.0,紅茶の香りが楽しめない,濃い目のチャイに使うので　この程度のアッサムで十分なのだが…梱包が馬鹿すぎ。自動梱包なのかな。何がSDGsだよ。段ボール無駄すぎ
