,ASIN,product,brand,name,date,score,title,comment
0,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,AN,2020年9月2日,4.0,普通のルイボスティーよりも栄養が多いらしいです,前からルイボスティーは好きだったのですがこちらが初グリーンルイボスティーです。グリーンだと甘さもなくてすっきりとしていて飲みやすい。他社のグリーンルイボスティー も飲んでみましたがこちらの方が味わいがしっかりしています。又リピートしたいです。
1,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,harukoubou,2020年4月29日,5.0,夜更かししなくなったのと、睡眠が深くなってきた。,マイボトルに入れて職場で飲んでいます。ノンカフェインで胃にもやさしく、通常のルイボスティよりグリーンルイボスティのほうが香り(紅茶のような香りがします)も良く美味しいです。こちらの商品は３ｇのティーパックなので味が濃いです。
2,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,もふ,2019年9月26日,5.0,僕は毎日飲むならこれがいいかな,味はあっさりしてて、薄め。ルイボス特有の風味や味はなく、物足りない人には物足りないかもだけど…苦味とかが苦手な人には良いかも。身体にも良いみたいだし…後は30包よりか多かったら、もっと良いのにと思います。
3,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,由布のママちゃん,2020年1月20日,5.0,お気に入り,実家で両親が飲んでいて味見すると美味しかったので購入しました。600mlのお湯にティーバックひとつがちょうどいいサイズでした。水筒に入れて毎日仕事に行く時に持参しています。ルイボスティーは独特の味がするので、飲みにくいものが多いですが、このグリーンルイボスティーはとても飲みやすく、続けて飲みたいと思う味です。ルイボスティーは身体にもいいのでリピートしました。
4,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Amazon カスタマー,2021年2月9日,4.0,本当に飲みやすい,元々赤のルイボスティーをずっと飲んでましたが、それよりも抗酸化作用があると聞いて、購入しました。ルイボスティーの独特の香りや味わいは好きな方ですが、こちらはクセが無く、甘みがあって飲みやすいです。ルイボスティーのクセが好きな人には物足りないかなぁと感じるぐらい優しいです。その他、有機栽培、不織布の漂白剤を使用してない所が気に入って購入しました。しばらく飲み続けてみます。
5,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,yokohama2020,2020年6月11日,5.0,飲みやすいルイボスティー☆,飲み始めて１週間ですから、活性酸素除去効果がどれ程かは分かりませんが、味はとても美味しく、オーガニックということで安心できますし、また購入したいと思っていましす。
6,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,山口友美,2019年3月13日,5.0,グリーンルイボスティー,ルイボスティーは体に良いと言うので飲も続けています。とても飲みやすいので気に入っています。
7,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,ookinikt,2020年10月24日,4.0,リピートしたいと思っています,少し薄い気が、しました。慣れだとは思いますが。プライムデイズでお買い得で購入しました
8,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Kitty,2020年4月30日,5.0,飲みやすい,変なくせもなく、美味しく飲める
9,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Amazon カスタマー,2020年4月30日,5.0,ルイボスティーが更に進化‼️,すごく美味しいです。長く続けられそうです
10,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,ケイ,2021年2月27日,5.0,飲みやすい,子どもの花粉症のために購入しました。子どもでも美味しいと飲んでくれてます。私もルイボスティはちょっと苦手でしたが飲みやすくて美味しかったです。
11,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,ぽぱ　えりっくましゅー,2020年1月26日,5.0,美味しい！！,飲みやすくて、手軽で、体質改善に最適
12,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,上本　由布子,2020年7月12日,5.0,後味がスッキリして美味しい,飲みやすく、私の口には合ったようで美味しかったです。お値段も手ごろだったのも良かったです。
13,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,田中 敦子,2021年6月13日,5.0,美味しかった,いろいろなメーカーのものが有りますが、味が飲みやすく、一回に出す量も適量で扱いやすかったので気に入ってます。
14,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,ton,2021年6月20日,5.0,飲みやすいです。,グリーンルイボスティーは初めてでしたが、癖もなくとても飲みやすいです。
15,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Amazon カスタマー,2021年2月8日,5.0,飲みやすい味,美味しかったです！めっちゃ飲みやすい！
16,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,細川誠司,2015年8月1日,4.0,のみやすさ,2回目です。さっぱりとして飲みやすいです。ただ30パック1000円は割高かなと思います。
17,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,どきんちゃん♪,2020年10月20日,5.0,大変飲みやすかった,がばい農園さんのお茶は、安心できるので両親に送りました。とても美味しいね〜と、両親も喜んでくれてました。ありがとうございました。
18,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Amazon カスタマー,2021年2月18日,3.0,美味しい,普段は普通の赤いルイボスティーを愛飲。グリーンはより体にいいと聞いて買ってみたが、味が苦手。もわっとした香り。配送は丁寧でよかったです
19,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,Marian,2020年11月3日,5.0,両親に送りました,初めて購入しましたがリーズナブルな金額で、味も良く、オーガニックでとても良かったです。
20,B00UL3N666,がばい農園 オーガニック グリーンルイボスティー 3g×30包 有機JAS お茶 ノンカフェイン 健康茶 ティーバッグ,がばい農園,むねこ,2020年12月3日,5.0,誰も悪くない,飲みやすく美味しいです。初めて飲みました。続けて愛飲したいと思います。
