,ASIN,product,brand,name,date,score,title,comment
0,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),tanu3,2020年12月18日,3.0,ミルクティーに,ミルクティー好きで、コスパとコクを求めていろいろなメーカーの試してます。正直、これはストレート向けです。イングリッシュブレイクファースト独特の香りと色、癖は強いですが、コクは深くありません。セイロンの味を多く感じるため、深く出そうとすると苦味が出ます。牛乳で割ると香り以外が薄くなります。ミルクティーを求めるなら、リプトンのミルクティー専用の茶葉のほうが、アッサムのコクがあって美味しかったです。以上。
1,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),オールバッド,2020年11月7日,4.0,濃いめがすきな方に、お勧め,朝は、濃い目に淹れて、ミルクを加えてミルクティに。午後の気分転換にストレートで。金曜日の夜は、好きな英国ミステリードラマを観ながら、ストレートティに、少しラム酒を加えて飲んでいます。普段使いとして飲むのに、ちょうどよい価格だと思いますが、近所のスーパーで買うほうが安いですね。というか公式オンラインストアと近所のスーパーの価格は同じで、アマゾンのほうが高いのは何故だろう。べらぼうにアマゾン価格が高いわけではないですが、アマゾンさんに抗議の意味で、星を一つ減らして星４つにしています。
2,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ささくれ,2020年11月8日,5.0,ストレート向けですね,持ち運び便利な個包装タイプです。イングリッシュブレックファーストの紅茶が大好きなので、アーマッドティーの100個入りなら大丈夫かなと思い購入しました。イングリッシュブレックファーストなのに、全体的に味が薄く感じるので、通常タイプよりもティーバッグの中身の量が少ないのかもしれません。それでも個包装は便利です。
3,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),tfoa5th,2020年5月26日,5.0,好きなときに飲んています,最近紅茶にはまり、カフェなどでよく頼むのですが、カフェではアールグレイやダージリンなどがが多く他の味があまりないので、あまり店にはおいていない味で自宅で簡単に作れるティーパックを探していたところ、こちらの商品が目についたため購入を検討しました。実際飲んでみると後味がすっきりとしており、牛乳との相性も良いので、名前の通り朝食のお供にもってこいだと感じました。気になった方は、是非とも飲んでみることをお勧めします。
4,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),にゃん★,2020年4月13日,5.0,100個入りの個包装,色も香りも大満足です。クセが強くないので誰が飲んでも美味しい紅茶です。友人宅に訪問する時に、焼菓子と一緒に手土産にしてて、好評です。100Pでもあっという間になくなります。
5,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),yua,2020年7月25日,4.0,朝食に飲みたい,いつもリプトンの紅茶をよく飲むのですが、味に飽きてきたので、こちらの紅茶を購入しました。香りはすこし控えめで、味は飲みやすい味の紅茶です。ミルクと相性がいいと書いていましたのでミルクティーにしてみると、とても美味しかったです。ストレートで飲むよりミルクで飲むのを個人的にオススメします。他の味も気になります。
6,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),tate,2021年4月18日,5.0,朝のミルクティーにはこれ！,朝、コーヒー+パンは身体に良くない気がして、紅茶を飲むことにしている。そんな時、イングリッシュブレックファストはぴったり。濃いめの味でしゃっきりするし、ブレンドされたアールグレイが味に深みを出している。ただし、この紅茶に限らず、ネットで買うよりも、輸入食料品店やスーパーの方が驚くほど安く買える。こんなご時世ではあるが、町に出よう！人と会おう！手にとって買い物しよう！
7,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),紅葉,2020年4月12日,5.0,安くてたくさん入っていて美味しい,これまで専らアールグレイを飲んでいましたが、気分を変えて注文してみました。他の方の評価にもありますが、ミルクティにしたり濃い紅茶が好きな人にとってはとてもいい紅茶だと思います。無くなったらまた注文しようと思っています。
8,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),amecyanカステラー,2021年7月8日,5.0,手頃な値段でガブガブ飲める,ミルクティーや濃く飲みたい時には煮出していただいています。なかなか、この価格で濃く出せるのがありませんでした。こちらの紅茶と出会えて紅茶好きの私としてはハッピーです。
9,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),britishman 1930,2021年2月13日,3.0,手頃な価格。,味は割と濃く出ます。香りが薄いです。説明を見るとミルクティー向きと書いてあります。たしかにストレートより甘いミルクティに合いそうな紅茶。次回はアールグレイを購入してみます。
10,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年6月10日,5.0,安いのに美味しい,渋みはあまりなく、コクがあるので飲みごたえがあります。会社用に買っていて、冷めても渋みがあまり出てこないので美味しく飲めます。ふくよかさはないですが常用の紅茶としては最適です。これまでイエローラベルを飲んでいましたが爽やかさに飽きてしまっていましたが、ストレートでも毎日飽きずに最後まで飲めるので次も買う予定です。全て個包装なのもデスク保管にはありがたいです。
11,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ボビー,2021年6月10日,3.0,味は濃いけど香りが薄い,気に入ったこと同価格帯の別商品より、味がしっかりしている紙包装の為、香りが消えそう気に入らないこと100P中、3個不良品。　パック破れ１、ひもなし２。
12,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ccci9,2020年10月27日,2.0,コクがあり良いです,デザインもよく、ロイヤルミルクティ飲みたくて期待したけど味がいまいち美味しいまでいかなかったし、イオンで半額近くで売ってた
13,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),syn,2020年9月25日,5.0,味は〇、紙包装の為タッパー等移し替え推奨。不良品３。,100個も入ってるのに、個包装なのが助かります…味は少し薄めですが、ストレートとでもミルクティでも美味しいです(^^)毎日ガブガブ飲んでいます‼︎
14,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ティマ,2020年12月4日,2.0,期待した,今迄リントンズのブレックファーストティーを飲んでいましたが たまには違う物をと思い こちらを購入してみましたが やはりリントンズの方が毎日 何杯飲んでも美味しい。こちらの商品は微かな雑味が感じられる。
15,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),はなちぇり,2020年12月14日,5.0,リピするかも❣️,今までアールグレイが好きだったので、そればかりを飲んでいたのですが、こちらの紹介文にミルクティーに向いていると書かれていたので、飲んでみたところ、アールグレイより濃く茶葉が抽出されるので、とても美味しくいただいてます。しばらくは、こちらを愛用しようと思っています。
16,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),もっふもふ♪,2020年12月2日,3.0,朝にぴったり,商品の説明に「カフェインタイプ デカフェ」と書いてあり詳細な説明欄にも「カフェインタイプ デカフェ」と書いてありました。でもイギリス本国の公式サイトにも日本の公式サイトにもアーマッドティー イングリッシュブレックファーストにはデカフェと記載されておらず、届いたパッケージにもデカフェの記載はなく、箱の中にもデカフェという説明はありません。既に開封したので返品は諦めましたが、紅茶ランク上位の人気商品なので正しい説明にした方が良いと思います。
17,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Pajero滋賀,2021年2月6日,3.0,お気に入りの紅茶なので定期購入。,１つずつ密閉パッケージに入ったティーバック。あんまり香りはしないかな。たくさん入っているので毎日手軽に紅茶を飲むのに良い。
18,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),祐奈,2020年5月20日,4.0,説明に誤りがあってガッカリしました,タイトルどおりです。ティーバッグを3～5分熱湯で抽出と指示がありますが，多少超過しても苦くはなりません。この3年間，同社のイングリッシュナンバーワン（火木土）とこの商品（月水金）を，朝一番のミルクティーで喫んでいます。
19,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),あきかん,2021年1月22日,5.0,お手軽紅茶,毎朝ミルクティーでスタートしております。コスパ良いこちらの商品20年以上愛飲してます。以前は成城石井で購入してましたが買い物の制限でてからこちらで見つけて定期購入しております。助かります。
20,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ticktack,2021年3月7日,5.0,安い，朝のミルクティーによし,個人的な感想ですが、味・色・渋み・香り　は問題ありません。近所で売ってるのは茶葉だけなので、このコストパフォーマンスはありがたいと思います。マイボトルにも使えるので助かってます。
21,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),kazukazu６４,2021年4月21日,3.0,20年以上愛飲,香りも味もぼんやりした印象です。カフェインレスとしてはお買い得だと思います。
22,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),ミクロン,2021年3月6日,3.0,またリピートするでしょう,今回初めてイングリッシュブレックファーストを購入。今まではイングリッシュティーを購入していました。好みの問題だとは思いますが、私はイングリッシュティーの方が好みかな。リピートはありません。
23,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2020年12月7日,5.0,ぼんやり,ティーバッグの紅茶です。一回分ずつ個包装になっていて、しっかり封がしてあり香りが逃げにくい包装です。色も香りも濃い感じなのでミルクティに合います。
24,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),niche,2020年7月31日,5.0,クセが無く毎日ストレートで飲んでます,とても綺麗ないかにもイングリッシュブレックファーストって感じの赤色がでる美味しい紅茶です。少し高めですが十分満足してます。
25,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年2月6日,5.0,コスパ抜群！ビニール紙で個包装！,毎回海外で購入していましたが、このご時世で海外にも行けなく此方で購入しました。雑味が無くストレートで美味しく頂けますが、濃く煎れてミルクティーにしても美味しく頂けます。
26,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),かぺらわごん,2020年3月4日,4.0,とても綺麗なイングリッシュブレックファースト,めっちゃ美味しいという程ではないけれど、普通においしくいただけます。トワイニングスが高いので買ってみましたが、こちらで十分かな。
27,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),あゆみ,2021年3月4日,3.0,雑味の無い美味しい紅茶です,イングリッシュＮｏ．1の方が好きでした
28,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),mamamama,2020年10月25日,5.0,コスパよし,ブラックティーと云われるだけあって、色味も濃い味もしっかりコスパも良い
29,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年4月2日,5.0,普通でした,アッサムの香りも良かったのでリピートします。
30,B00W0K1DPE,AHMAD TEA ( アーマッドティー ) イングリッシュブレックファースト ティーバッグ 100袋 [ 英国ブランド 個包装 ],AHMAD TEA (アーマッドティー),そろそろ老人,2021年1月14日,3.0,リピート予定,いつも飲んでいるリプトンや日東紅茶と比べて香りが少ない気がしました。値段相応という感じです。
