,ASIN,product,brand,name,date,score,title,comment
0,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,くまびよ,2018年8月20日,5.0,かなり好き！,ペットボトルに入れてそのまま持っていくのもよし、炭酸水にぶちこんでスパークリングハーブティーにしてもよし見た目がルビーレッドで美しい
1,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,POMにゃんこ,2021年7月26日,4.0,甘めが好きな人は満足します,びっくりするくらい箱が凹んでました笑すぐ飲みた買ったので返品せずそのままです。味は酸味がある中に甘味もあってすっきり美味しいです。オレンジとストロベリーの相性が良く色も鮮やかなので夏にぴったり。何も入れなくても甘みをかんじられるので私はプチダイエットにも使ってます。
2,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,会心の一撃,2018年11月27日,5.0,甘くて美味しい,水筒に水を入れ、これをぶっこむだけで美味しいお茶の出来上がり。クリアボトルにすると赤い見た目がおしゃれで、砂糖なしでも甘さを感じられるので、健康的な美味しさが味わえます。至高の一品
3,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,rrk,2021年6月12日,5.0,びっくりするくらい箱が凹んでました笑,水出しでも簡単に作れます。色がビタミンカラーで最初はビックリしましたが、味は飲みやすかったです。
4,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,Amazon カスタマー,2021年5月29日,5.0,まさに味よし見た目よし,とても爽やかでほんのり甘味を感じます。夏の飲み物として最高です。定期便の購入を考えてます。
5,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,darrl,2021年5月15日,2.0,色にビックリ,個人的には好きじゃない。もう買いません。
6,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,Amazon カスタマー,2018年8月1日,5.0,爽やかで美味しい,子供も気に入って飲んでいます。美味しい。
7,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,ash,2018年10月4日,5.0,個人的には、好きじゃない。,ハーブティーといっても、爽やかな甘さで美味しいです。色もとてもきれい！色々な方にオススメしてます。
8,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,長次郎,2021年7月19日,4.0,うまい！,夏には楽～。麦茶に飽きていたけど、ノンカフェインが良いので試しに購入してみたら、さっぱり飲みやすくて家族ではまりました。
9,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,achu,2017年10月25日,4.0,何度もリピートしています,ほんのり甘くて美味しいです色もキレイティーパックは、ずっと入れたままでも大丈夫です
10,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,れも,2020年9月21日,1.0,リピしています,違う種類が混ざっていた。見た目が似ていたので、作った後に色と味が違うので気付いた。届いたらしっかり確認必要です！
11,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,Amazon カスタマー,2019年7月3日,1.0,簡単おいしい,三箱セットを購入したのに一箱しか入ってませんでした。返金または 追加で発送いただきたいのですが、手続きおしえてください
12,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,小野実宗乃,2017年11月17日,5.0,違う種類が混ざって届いた,これ、めっちゃ美味しいです。夏は一つクーラーボトルに水と一緒に入れておくと、サングリアみたいな、きれいな赤いフルーツウォーターになります。冬はホットで。クコの実を入れるとほんのり甘くて味のアクセントになりますよ。お客様が来るときなどにも、簡単でおしゃれで、美味しいと好評です。
13,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,問合せ,2020年10月9日,4.0,再送希望,砂糖を入れなくてもほんのり甘くてゴクゴク飲めます！できるスピードも早いので職場にストックしてマイボトルで都度作っています。公式オンラインストアが見当たらなく近くのスーパーにも売ってないのでAmazonで買うことにします。一箱に入ってる量が少ないのと合わせ買い対象なのが玉にきずなので星一つ減らしましたが商品自体はいいです。
14,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,ジュリーク,2018年8月22日,5.0,きれいな赤いフルーツティー,水出しの紅茶ですが、ほかの方も言われているように美味しいです。無糖のストレートティーしか無理という方でなければ、飲んでみる価値は大いにあると思います。
15,B00XSEUW0S,ポンパドール クールセンセーション ストロベリーオレンジ 2.5g×8P,ポンパドール,Amazon カスタマー,2018年8月23日,5.0,美味しいし早くできる！,初めてハーブティにハマりました‼️職場に濾過材を抜いたブリタの容器に入れていってます！コンブチャクレンズを混ぜるのが私流です。 甘いもの、たべなくなりましたー
