,ASIN,product,brand,name,date,score,title,comment
0,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,アマン,2019年1月10日,5.0,不当表示、原産国の間違い。,ミルクを入れてもストレートでもとても美味しいので何回もリピートしています。ティーバッグは入れたままで飲むものなので、そのようにしていますが渋すぎるようなことはなく、最後にかなりスパイスが感じられるのも最高です。
1,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,フルート,2021年1月9日,5.0,好きな人は好きな味,yogiのチャイルイボスとの比較です。こちらの方がよりスパイシーでしたが、もともとこの手のフレーバーは大好物なので大当たりでした！量もyogiよりたくさん入っていてお得ですし、なくなったらまた購入します。いつも750mlのTHERMOSのボトルにティーバッグ1つ入れて15分くらい蒸し、取り出してから持ち歩いています。日によってルイボスのみのティーバッグをプラスしてます。個人的には、何も入れずストレートで飲むのが一番美味しくいただけます。
2,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,cococo,2018年9月17日,5.0,結構スパイシー,簡単に作れる顆粒タイプでないチャイを探してたんですが、これはホントに簡単！牛乳入れたコップにチャイのパックを入れて、チンするだけ。これだけで本格チャイが出来ます。量もマグカップサイズでも全然大丈夫！ルイボスティーなのにルイボスなのが分からない位本格的。オーガニックだし、ノンカフェインだし、30袋でコスパも良い。リピありでした！
3,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,三十,2020年11月19日,5.0,東南アジアのお料理が好きな人なら必ずや恋に堕ちるスパイシーなお茶,朝お湯を沸かし水筒にティーパックと入れます。適当なところで取り出して日中飲んでいます。入れっぱなしだと良くないかと思います。振ってパックが破れたこともあるので、振り過ぎは禁物です。好き好きですが、私はストレートで飲んでいます。ミルクや砂糖を入れるならもう少しスパイシーでも良いと思います。
4,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,あっくん,2021年2月2日,5.0,簡単美味しい！,癖ありますが私は好きです。ストレートも美味しいですが、ミルクティーもおすすめです。
5,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,洗濯母ちゃん,2021年6月1日,4.0,便利,ルイボスティーは鉄分補給のために飲んでいます。これは生姜も入っていてあたたまる。ミルクティーにすると甘くないチャイができます。
6,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ろみ,2020年5月26日,5.0,手軽にインドのチャイ,ルイボスティーであまり美味しいとりあえず思う商品に出会ったことがなかったのですが、こちらの商品はお茶代わりに気兼ねなく飲めるぐらい美味しくて毎日飲んでいます。チャイの味、スパイシー風味が後味がよくて癖になります。毎日飲んでも飽きないのも凄いおすすめです。
7,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,kobatama,2018年3月12日,1.0,ミルクティーがお勧め,ヨギティーのルイボスチャイは、後味がさっぱり、子供でも飲めそうな優しいお味ですがこちらの商品は後味が残って苦手でした。ヨギティーの成分と比べるとハニーブッシュが入っているのでそれが自分的には体質に合わなかったのかな？舌に違和感が残ります。
8,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,mayumayu,2017年4月21日,5.0,美味しいです,ルイボスチャイにはまり、ものすごく高いもの以外買えるものは買いましたが、これは、味はもちろん、ルイボスらしい夕焼け色の出具合も、チャイのスパイス感もすごくいい。こんなに入っていてコスパが素晴らしい。ボトルにそのままお湯を入れて職場で飲んでいます。
9,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,r*********,2015年11月12日,4.0,ルイボスティーで気分が悪くなる,スパイスの香りもしっかりついていて、最初キツイくらいかなぁと感じましたが、すごく美味しいです。お砂糖とミルクを入れても美味しかったです。ノンカフェインなので、寝る前に飲むのも良いかも。またリピートしたいです。
10,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ランボルギーニ,2020年3月14日,5.0,これぞチャイルイボスティー,いつもはガスコのグリーンルイボスティーを飲んでいますが、同じガスコからこんなの出てるの知らなかったので、試しに買って飲んでみたら…なんて美味しいの！元々チャイは好きなので、でもルイボスとチャイってどうなのって思ってたけど、全然いける。しっかりスパイシー！好みの味！
11,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazon カスタマー,2021年4月10日,5.0,美味しかったです。,アッサムで淹れたチャイには負けるけど、ルイボスティーでここまでチャイを再現したのは素晴らしい！！チャイとして十分美味しく頂けます。カフェイン断ちに良いかも。リピートします。
12,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Sundaylove,2021年1月26日,5.0,美味しい！,ルイボスの風味と生姜などのスパイシーさ、仄かな甘味のバランスがよく、とても飲みやすいです。他社のルイボスチャイや似たようなお茶も試しましたが、他社のものは癖が強く感じます。他のルイボスチャイが合わない方も、こちらのものなら飲めると思います。
13,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ACO,2018年5月8日,5.0,ルイボスチャイもあり,妊娠中の妻の飲み物として購入しています。なかなか良い飲み物がないらしくて、困っていたのですが、これは美味しくてノンカフェインで良いみたいです。
14,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,長谷川毅,2020年10月16日,5.0,風味のバランスが絶妙,チャイ大好きですが、これは体にいいルイボスのチャイで、しっかりスパイスも効いていて、とても美味しい！しかもガスコなのにリーズナブルなのが嬉しい！
15,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazonカスタマー,2021年6月21日,5.0,妊娠中の飲み物に,香りと味がマイルドで身体に優しい感じがします。在宅ワークでの一息に最適です。
16,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,みーこ,2018年12月19日,5.0,びっくり！,砂糖とミルクを足して飲んでいます！とっても美味しいのでまた買いたいです
17,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ぬい,2020年5月3日,5.0,美味しいです,とても美味しくいただいてます。また、注文しようと思ってます。
18,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,シマリス,2019年11月11日,5.0,美味しい,スパイスの香りが強めですっごくおいしいです！チャイだーーー！！という感じでずっと嗅いでいたいですね。お茶パックを入れっぱなしでも渋くならないのがいいです。リピします。
19,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,早田,2019年10月3日,5.0,ルイボスティーでも、美味しいです。,色々 チャイを買いますがこれは 美味しいです。でも スパイス的に 冬が おススメと個人的には 思います。私は 寒い季節飲みます。
20,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ぴよ,2020年9月13日,5.0,お手軽チャイ,香りがキツくないので飲みやすい。冬はミルクティーがおすすめです。
21,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,マーズ,2020年4月19日,5.0,スパイス感が とてもいい,とても美味しくて気に入って定期的に購入しています
22,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazon カスタマー,2021年5月5日,3.0,香り,最初はスパイスがきつくて飲みにくかったのですが段々慣れてきてクセになります
23,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazon カスタマー,2021年4月20日,5.0,とても美味しい,お湯出しでもミルクでも美味しかったです。
24,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,きびだんご,2020年4月1日,5.0,ルイボスがチャイ,味が濃く、とても美味しかったです。
25,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazon カスタマー,2020年2月2日,5.0,Rooibos tea,リピートしました！
26,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ちゃんまろ,2019年1月5日,5.0,美味しかったです。,香りしっかりのチャイで満足度が高いです
27,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,なー,2016年11月11日,5.0,美味し！,牛乳を入れて飲んでます。美味しいですよ。ティーパックタイプで手軽に飲めるのもいい。
28,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,スター,2017年10月13日,5.0,香り最高,チャイ好きですが、ルイボスチャイはなんだか美味しくなさそうと思ってました。が、寝る前にカフェインレスのチャイを飲みたくて、レビューを信じて恐る恐る購入してみました。感想は、かなり美味しいです！ルイボスはあまり主張してなくて、スパイス効いてるけど飽きるほどではなく、まろやかで飲みやすい！ストレートでも美味しいし、ミルクと、少し甘みを足すと最高です。私的にルイボスにミルクを入れる日がくるとは思っていませんでしたので(笑)尚更です。レビュアーの皆さん、ありがとうございます。
29,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,子育て主婦,2021年2月9日,4.0,美味しいです,すごく香りが強くて、良い匂いです！だけど味は薄いです。ほぼお湯…ブラックティーベースのチャイを想定して買ってしまったので私の好みではありません。(ルイボスティーが苦手なのかも)普段はストレートで飲むのが好きですが、牛乳でレンチンしたら、美味しく飲めました！
30,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,Amazonカスタマー,2019年5月12日,5.0,リピートする美味しさ,本楽的な味が素晴らしい！ずっと飲みたいので廃盤にしないで欲しいです。ティーバッグを入れっぱなしにするスタイルなのでオフィスでも気軽に飲めるところもいいです。
31,B00YDW17IU,ガスコ Gassルイボスチャイ 60g,ガスコ,ア,2017年10月30日,5.0,ルイボスティー,かなり美味しいです。これに生クリーム(47%が個人的にはベストです)を入れると最高です♡
