,ASIN,product,brand,name,date,score,title,comment
0,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,ｋ＿SAAB,2017年10月29日,5.0,ルイボスティーを飲み続けられるならコレ。,１つずつパックになっていないので、濃さは自分で調整しながら作るのですが、美味しい・・・オーガニックの並行輸入のお茶を今までは飲んでいましたが、こちらのも美味しい！！ルイボスティーは疲労回復にも良いので、スポーツの後にのんだり疲れた時に飲むと脳がすっきりするので、有り難いです。2パック購入して良かったです。iwakiのガラスボットまで買って、沢山作って冷蔵庫に保存です。
1,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,k,2019年3月25日,5.0,肌の調子が良い,強い味や香りではないので始めは失敗だったか？と後悔しました。普段はインパクトのあるアーマッド・アールグレイ等が好きなので。しかし煮出して2L作るとコスパは悪くない。そして何より身体に優しい。身体自体が求める。なんだ？このお茶は？染み渡るんですよ。本当に（笑）。
2,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,monkapi,2019年5月14日,5.0,美味しかった・・・,少量で値段もしますが本当美味しいです。こんな美味しいルイボは始めてです。紅茶と同じように飲めます。またリピします。
3,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,ビックリマンチョコ,2018年12月24日,5.0,暫く飲んで評価が変わった稀例。,これまでパック入りのルイボスティーを利用してきて、若干渋みがあるのを感じてきたが、この商品には渋みが全く感じられることがなく、このような茶葉があることを初めて知った。
4,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2020年1月13日,5.0,美味しいルイボスティ,いろいろなルイボスティーを試してみましたが、ここの商品が一番美味しいと感じました。また、オーガニックで体にも大地にも優しく、今後も安心して購入させていただきたいと思っています。
5,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,六合同春,2018年8月21日,5.0,渋みを感じない,カフェでルイボスティーを飲んだのをきっかけに家でも飲みたくて、ネットで探してたどり着いたのがこれでした。注文は3回目です。自分好みの味に煮出すまでにちょっと時間がかかりましたが、本当においしいです。カフェで飲んだのより美味しいと感じるくらい…(^^)渋みや苦味がないので温かくても冷たくても後味すっきりでたのしみました。お届けも早くて助かりました。
6,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,白菊,2018年8月31日,5.0,一番美味しいルイボスティー,ルイボスティーはお茶専門店で有機栽培とか、グリーンルイボスティーとかいろいろ種類を変えて購入していました。それなりに美味しかったです。しかし続けて飲もうとは何故か思わなかった。このルイボスティーは、何故かのど越しがすごくよくて、ごくごく飲める、身体にスーッと入っていく感じです。特に今年の暑さ対策に、飲みやすさとルイボスの性質から手放せません。
7,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2019年1月29日,5.0,美味しい！,美味しいですよ。特にミルクティ（チャイやロイヤルミルクティーのように濃い目に煮出す）にして冷やして愛飲しています。あたたかいままでももちろん美味しいです。どうぞ衛生面のいい、無農薬で美味しいものをいつか販売してほしいと思います。
8,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,mi,2019年3月18日,5.0,美味しい,水出しもティーポットで飲むのもなんでも、ホッと一息つきたい時にピッタリ！お店で売ってるのはフレーバーティーばかりなので、こちらの茶葉が気に入りました！！すぐに飲み切っちゃうので、リピート確定で２度目にて３袋一気に買いました！
9,B010LJTLE0,● ルイボスティー ●【最高級100％茶葉の味の秘訣！】 オーガニック100％　有機100％（JAS認定）,紅茶専門店 京都セレクトショップ,syario,2019年6月11日,5.0,味がとてもいいです,いろいろな ルイボスティーを買って 飲み比べました。どれも不味くはないですし、美味しいです。ですが、このルイボスティーは、特別です。他より まろやかで 濃くて 一味違いました。高級感溢れる味わいでした。
