,ASIN,product,brand,name,date,score,title,comment
0,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,やまやま,2019年4月30日,5.0,甘味料もりもりで甘さが嘘っぽい,優しい甘さでめっちゃうまいです。砂糖も何にも入れなくても充分に甘い。疲れたとき、これを飲みながら休憩するとホッとします。職場で配ると、男女問わず美味しい美味しい喜ぶぐらい、好評です。人工甘味料についてやいのやいの言われてるが、確かにアスパルテームが入っている。でも砂糖は入ってないっぽい。なので普段からダイエットコーラ飲んでる人とか、パルスイート使ってる人とか、甘いもの飲みたいけど太りたくない人には特に問題ないと思う。私は自然食派！人工甘味料嫌い！長生きしたい！みたいな人は飲まなければいいです。個人的には熱湯入れたマグカップに5分以上つけて飲むと味が濃くなるのでおすすめ。ミルクを入れてもうまいです。ケチくさい話をすると、1つのティーバッグで2杯目を作ろうとすると、他のティーバッグでは有り得ないぐらい超うすいのができる。ちゃんと1つで1杯分なんですね。たまに生産停止になって買えなくなるので、買えるときにストック買いしてます。
1,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,ma.na,2019年11月20日,1.0,甘味料いらない,他の方の口コミにもありましたが、本当に甘すぎました。普段甘党ですが、お砂糖をそのまま食べたような甘さで、紅茶の風味は感じられず、人口甘味料の味が舌に残ります。自然な甘さを求めているかたにはオススメしません。
2,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,村雨紅寧,2019年12月31日,4.0,仕事疲れに癒しの一杯。,とても甘い紅茶。お菓子と一緒飲むと美味しかった。■甘さ蜂蜜が入っていると書かれている通りただのお湯でも結構甘くなる。ホットミルクと一緒に飲むと優しい味になった。■かかく高い！何度も買いたくなるような価格帯ではない。ただ美味しいのでリピートしたいとは思うけど頻繁には買えない。高いので☆ひとつ下げます。※人工甘味料で評価を落としている人がいるけど人工なものが溢れている今の環境で『この紅茶が人工甘味料使っているからダメだ』と言っているのはナンセンス。日常生活でオーガニックな食事や飲み物だけの人なんて皆無に等しいでしょ？甘さの好みも人によって程度が違うので、つまるところ買って自分で試さないと良いか悪いかはなかなか判断できないと思う。少なくとも家に遊びに来た友人にこの紅茶を振る舞うと全員美味しそうに飲んでいたよ。
3,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,harapecopanda,2020年10月12日,5.0,甘すぎて飲めない,ティーバッグなのにはちみつの味が濃厚でとても美味しいです。砂糖を入れなくても甘くて、それも自然な感じの甘さなので私にはちょうどいいです。甘すぎるのが嫌いなかたにはおすすめできません。なぜか人工甘味料を最上の悪だととらえている人のレビューが目立ちますが、そういう人は市販のティーバッグの紅茶など買わずに自分で栽培して飲んでいればいいと思います。なんでもかんでも人工物を悪だと思うかたはamazonでお買い物などせず自分で全部作って食べてください。文句付けるところがおかしいです。
4,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,わっしょい,2020年3月18日,1.0,美味しいけど高い紅茶。,砂糖を何杯もいれて紅茶を飲む人にはオススメです。が、私には甘過ぎて飲めませんでした。はちみつパウダーだけでいいのに、人工甘味料？メーカーは何を考えてるんでしょうか。。牛乳たっぷり入れてミルクティーにしても、砂糖水を飲んでるような甘さです。飲めないので消費方法としては、紅茶ケーキや紅茶クッキー（もちろんレシピの砂糖は加えないでください笑）で使うと程よく食べれました。これで消費していきます....
5,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,Amazon カスタマー,2018年5月3日,3.0,疲れた日の癒しの一杯,甘すぎて甘すぎて・・・これも蜂蜜の甘さだと思えばまだ我慢できるけど、人工甘味料だから厳しいです。「極上」の言葉にものすごく期待したのですが、これは飲みきれないかも。。他の紅茶とブレンドしてみたりしたけどやっぱりダメ。どう消費しよう？追記マグカップでたっぷり一人分を作ってみたら、やっぱり甘いけど（笑）まあまあいける感じになりました。
6,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,Amazon カスタマー,2020年5月11日,3.0,甘過ぎる,いつもカルディでも売っているグランハ　サン・フランシスコ　はちみつ紅茶を飲んでいましたが、カルディでもAmazonでも売切れになっていたので、最近、SNSで美味しいと話題になっていたこちらを買ってみました。ちょっとお値段はしますが、確かに甘くて美味しいです。でも、人工甘味料の甘さらしいのでちょっと残念です。人工甘味料で極上？？？という感じはしますが、ティーパックでこんな甘いのは飲んだことはないので甘いお紅茶を求めていらっしゃる方にはお手軽に飲めてお勧めです。
7,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,usako,2017年11月6日,1.0,甘い,とてもおいしくて気にいっていたのですが、再度購入したところ、パッケージが変更さていて、送られてきたのは写真とちがうパッケージでした。ティーバックの中袋がやぶれやすいのが改善されていたのはよかったのですが、肝心の味と香りはガタ落ちで、全然別物になっていました。以前のような濃厚な甘いはちみつの味と香りがまるでしません。がっかりです。もう買いません。
8,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,ふく,2020年2月7日,1.0,めちゃくちゃ甘い紅茶でした,最初に感じたのが人工甘味料の味でした。私は飲めません。レビューに書いている方がたくさんいらしたのに、読まずに買ってしまって残念でした。ネットで売ったらすぐに買ってもらえたので、好きな方はいるのでしょうね。
9,B013OSZVC6,Lakshimi(ラクシュミー) 極上はちみつ紅茶 ティーバッグ25袋入り,Lakshimi,らく,2020年2月2日,2.0,香りが嫌い,人工甘味料の風味が強く、これなしの方がほのかな蜂蜜の甘さが楽しめて良かったんじゃないかなという味。ただ、家で飲むとほっとする味です。喉にも良さそう。ただ、冷めてしまうと何とも言えない不味さです。熱い内に飲むのがおすすめです。キンキンのアイスは試したことがないので分かりませんが…。
