,ASIN,product,brand,name,date,score,title,comment
0,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,‪＼あまじょんかしゅたまー／,2017年1月2日,5.0,水で溶けるので入院用、避難グッズ用にも,コンビニでよく1リットルパック100円とかでフルーツ系のジュースを出しているあのメイトーの味です。500ml換算すると約8～９パック分相当になります。そう考えるとかなりお買い得ではないでしょうか。あと人工甘味料が使われていないので安心して飲めます。それに冷水でも一瞬で溶けて手軽にオレンジティーが作れてしまう点が良いです。
1,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,りる,2020年5月16日,5.0,初めて購入,普通の店舗にはこのオレンジだけ見たことがなくAmazonで見て購入。レモンとアップルは飲み飽きてしまってしかもオレンジはこれらの2種より甘みが少ないですし香りが優しくて程よい甘さです！普通の店舗でもレモン、アップルのように売られていたらいいのに、、と思うようなおいしさ、手軽さです。わざわざティーパックから淹れる時間がない朝などいいです！ゴミも出ないしアイスもいけるからいいですね〜！
2,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,ヨッシー,2018年12月28日,3.0,コンビニでおなじみのメイトーの味でお買い得,ちょっと薄味な蜜柑の皮のような味に感じます。おススメは同じ種類の１番手アップルティー、２.３番手レモンティー、レモネードかな。正直２番手、３番手は同じくらい。ホットが美味しい季節、冷たい水でもかき回しても溶け易い。美味しいお給料だワンニャン♪
3,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,カスタード,2021年1月3日,3.0,このシリーズの中で一番好きです,このシリーズのレモンティーとアップルティーがおいしかったので、本商品も試してみたところ、オレンジの風味が好みではなかった。なっちゃんとかファンタオレンジの、あの人工っぽい「オレンジ風味」が好きではない人は好まない味だと思う。
4,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,Amazon カスタマー,2020年8月23日,3.0,ちょっとミカンの皮のような薄味かなぁ。,メーカーは子供の頃からチョコレートなどで馴染みがあるのでその辺は安心。本商品、美味しいけど作りが子供さん向けかな。書いてあるとおり作ると、甘い。私には甘すぎる。ちょっと甘いものが欲しい時にいいんだけど、甘さを抑えてその分オレンジ風味の香りや味を強調するとかして大人向けを作って欲しいなあ。甘味料的な口に変な甘さがないところが好きなので、そこがより良くなれば、良いなと。
5,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,kou,2019年7月6日,5.0,人工オレンジジュースの風味が苦手な人にはおすすめしない,このオレンジティー、美味しくてハマりました。甘酸っぱくて、レモンティーとはまた違う味で好きです。無くなったらまた購入したいです。
6,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,フラウ,2016年1月30日,4.0,美味しいけどちょっと甘すぎかも。,生オレンジのフレッシュ感というより駄菓子の粉ジュース的なオレンジ感に近い印象です。オレンジ風味の粉末紅茶は見かけないのでオレンジ好きな人には良いんじゃないかと思います。やや甘めなのでお湯の量で調節するか、レモン果汁なんかを少し入れて好みの風味にすると良いと思います。
7,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,saram,2021年3月8日,5.0,美味しい！,コーヒー・紅茶好きなのですが、この粉末紅茶というのもなかなかイケますよね。１杯分で結構な量をスプーンでよそりますが、量をけちると薄く感じます。適量入れてお湯を注ぐだけなので楽ちんです。こちらは他社にはラインナップされていないオレンジ風味で、香りと果汁感がしっかりあります。
8,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,Namio,2018年11月12日,2.0,それぞれにそれぞれの美味しさが…,あ～昔の粉ジュースみたいだね。オレンジ味の粉ジュースだわ。こんな砂糖だらけの飲み物飲んで大丈夫かな？もうちょっと紅茶の風味が欲しいな。嫌じゃないけど、リピしたいものじゃなかった。
9,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,Amazonのお客様,2021年2月7日,5.0,粉末ジュース,味は同社のアップルティーよりも飲み易い。アップルティーの方は適量で作るとほぼアップルジュースで飲んでも飲んでも喉が渇く。こちらは爽やかな甘さで適量でも喉が渇き辛い。
10,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,wbeam,2020年5月6日,5.0,粉ジュース？,冷たい水でも溶けがいいので、手軽に飲めます。入れる量で味の濃さをその時の気分で変えられますし、オレンジの香りがちょっとした気分転換になります。健康のために飲んでいるクエン酸も、これがあると飲みやすく重宝しています。
11,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,百足丸,2020年11月6日,4.0,飲み易い,在宅で仕事中などに飲んでます。甘くて香りもよくリラックスできます。くつろぎタイムですね♪その甘さが運動不足でもあり太らないか心配ではありますが・・・
12,B0142F7N7G,名糖 オレンジティー 500g,名糖産業,Amazon カスタマー,2021年2月21日,2.0,美味しいです。,名糖のものはいつも美味しいのに、これはアレと拍子抜け。買って半年以上経って半分以上残っているのですがもう飲むことはないと捨てました。
