,ASIN,product,brand,name,date,score,title,comment
0,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,Amazonカスタマー,2019年9月4日,3.0,フレーバーティーが60P入り！,リプトンのイエローラベルのピーチマンゴーが好きで、こっちのやつも味が同じだろうと思い買いましたが、ピーチやマンゴーのフレーバーが弱く感じました。香りだけで甘いミルクティーを楽しみたかったのですが。業務用なのでしかたないかな😊
1,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,まどれーぬ,2017年12月17日,5.0,味が変わった！？☆5→☆3,ミックスベリーとピーチとアップルティーのアソートを購入してアップルティーが気に入り、こちらの業務用でリピートしました。スーパーで売っている三角のティーパックより香りが華やかなので、こちらでずっとリピートすると思います。生姜を入れてアップル風味の生姜紅茶にするのも体が温まっておすすめです。
2,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,ドキンちゃん,2020年6月14日,2.0,リプトンイエローラベルより,最近夜用に飲んでる、日東のアップルティーデカフェのものと比較した。香りは日東の勝ち。日東のはデカフェの為か、味がこれより薄い。が、このリプトンアップルティーは味も香りも控えめ気味で、リピは無いと思います。残念
3,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,Amazonカスタマー,2019年4月22日,5.0,美味しくてお買い得,メッシュの三角パックより、こちらのアルミパッケージのほうが香りが強く感じるので50P入りを購入しました。毎日会社に持って行くので、たっぷり入ったパックは有難いです。毎年リプトンのアルミティーバッグ楽しみにしています。今年はブルーベリーマフィン、ミックスベリーが出ていたので注文しました。どちらも良い香りで満足です。
4,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,たまちゃん,2020年2月1日,3.0,ん〜、香りも味も薄い目。,紅茶好きの友達の為にいつも10パック入りのバラエティパックを買い置きしていましたが、友達が好きなブルーベリー&ラズベリーティーが2パックしか入ってないので、すぐになくなり、これだけのパックはないかと探しておりました。メーカーは違いますが、どちらも紅茶では有名なメーカーですので、迷わず購入しました。友達も喜んで飲んでくれています。
5,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,Amazonカスタマー,2019年2月28日,1.0,ミックスベリー,お店や他の香り高いフルーティーな物を期待していると、ガッカリです！普通の紅茶に微かな香りで、うん？？って感じですが、普通の紅茶と思えば美味しいです。
6,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,みーた,2021年3月15日,4.0,探していました！,いつも緑茶を飲んでいて、たまには紅茶も良いかと思い。セールで1
7,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,Fuse,2019年12月17日,4.0,香りが薄すぎる！,自宅でホットなアップルティーを飲むならこれでしょう。アルミ袋で香りも飛びませんし、香りも良いです。ただ、果汁は入っていないので味としてはコンビに等で売っている同じクリプトンのアップルティー（紙パック）の方がおいしいです。
8,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,まゆみ,2021年3月21日,5.0,味が安定していて、最後までおいしい,この商品に関して伸縮性、安定性の意味がわからないため評価は⭐︎1にしたしたが、味は問題ないです。職場用に購入し、人気はありました。
9,B0151BXGDK,リプトン フレーバーティーアソート 3種(アップル・ピーチ&マンゴー・ミックスベリー) アルミティーバッグ×60袋,リプトン,こまとこ,2020年7月13日,5.0,在宅勤務のおともに,以前Twitter等でバズったフランス式アイスティーの淹れ方でアイスティーにして飲んでいます。リンゴの味と香りがほんのりとして美味しいです。
