,ASIN,product,brand,name,date,score,title,comment
0,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazon カスタマー,2019年1月3日,5.0,切らしたことはありません。,フルーツ系のティーバックってあんまりなくて、、、他のは香りがキツかったり味がイマイチだったりしましたが、こちらは適度な香りでおいしいです。どれもおいしいので、毎日選ぶ楽しさがあってよいです。スーパーにあったりなかったりするので、こちらでまとめ買いできて安心。
1,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazonだいすき,2020年4月12日,5.0,癖がない,息子夫婦がサイパンに新婚旅行に行った際に現地でフレーバーな紅茶を買って来てくれてから癖になってしまい好んで飲むようになりました。ところ、飲み終わってしまい再度購入したく色々と調べたのですが入手出来ず、この商品を購入しました。100％、私がイメージしたものとは、違いますが値段の割には、良い感じの商品で惜しまず飲めるので癖になるかも知れませんね。
2,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,ひまじん,2020年5月19日,4.0,おいしいです。,コーヒー派ですがたまに変わったものが飲みたい日のためにリピートしています箱の中から適当に摘んで飲みますが、どれも美味しくハズレがありません美味しいですが真っ当な紅茶とは違います。暖かいジュースってな感じです
3,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,世界のトトロ,2021年4月27日,1.0,癖になるかも‼️,残念ながら品質が落ちてしまいました。香りはありますが紅茶の味が以前とは比較にならないほどまずいです。水出しなんてもっての他。大変優れたデイリーユースできるものだっただけに残念で仕方ありません。個包装の素材もキラキラしていて好きだったのに、安っぽい見た目にもガックリです。もう買わないかな。
4,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,rings,2018年5月4日,2.0,温かいジュース,とってつけたようなリンゴの香りでした。残念、私が期待していたものと少し違いました。
5,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazon カスタマー,2020年5月6日,4.0,とても美味しい,普段は普通の紅茶を飲んでいるのですが、バラエティのフレーバーティーは６種類もあり、フルーツの香りがいい気分転換になります。
6,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,m,2021年4月2日,2.0,リンゴの香りが人工的,思ったより香りが無くて残念でした。
7,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazon カスタマー,2020年11月11日,5.0,気分転換に,香りが素晴らしい。フルーツティーとしてはコスパが良い。
8,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazon カスタマー,2018年7月9日,4.0,価格相応かな,この商品を購入する前に、輸入食材を多く扱うスーパーで海外のアソートパックを買ったのですが、ハズレは無いだろうと思っていた紅茶が全く美味しくありませんでした。こちらはそんなことはなく、どれも安心の美味しさです。
9,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,ビール好き,2020年6月10日,3.0,ホットしたい時に飲む紅茶,あまりおいしいとは言えない。もう少しフレバーが効いていればいいのに
10,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,underig,2019年2月2日,5.0,日本人好み,お手軽にいろいろなフレーバーの紅茶を楽しむことが出来ます。上を見ればきりがないのでしょうが、自宅でお手軽に飲むにはちょうどいいです。
11,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Mr.coffee,2018年8月27日,2.0,もう少しフレバーが効いていればいいのに,暫くご無沙汰しているうちに、リニューアルしたのか、お気に入りのがなくなりました。残念!
12,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,ファントム,2019年12月9日,5.0,コスパよし,いろんな香りが楽しめて、とてもいいて゛す。
13,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,ロール,2020年5月2日,2.0,前の方が良かった,とても美味しいけど・・・高い
14,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,ai,2018年1月16日,5.0,リピート,ミルクティーにして飲んでます。とても美味しいです。なかなか市販されていなくてこちらで見つけて定期的に購入しています。
15,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,Amazon カスタマー,2020年5月9日,5.0,美味しい,色々なフレーバーがたのしめます。いい香りで癒されます。
16,B01568IJKI,日東紅茶 デイリークラブ 6バラエティーパック 10袋入り×6個,日東紅茶,まっき,2020年12月28日,4.0,色んな気分が楽しめます！,香りが良く落ち着く紅茶なのですが飲んだ後頻繁にお手洗いに行きます。カフェインが強いのでしょうか？仕事疲れの夜の休憩の一時に飲むので、何回も夜中に起きますね
