,ASIN,product,brand,name,date,score,title,comment
0,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,８,2019年5月23日,4.0,甘い,そのままだと少し甘ったるいので、牛乳で溶かし、濃ゆ〜く入れた麦茶で割ると意外や意外！美味しい飲み物になったので、そのレシピでいつも飲んでます。親でもいいけど牛乳で溶かした方が美味しいと思います。
1,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,tantantan,2019年4月20日,5.0,美味しい！,リピート3回目。近場で見かけないので助かります。ペットボトルで市販でよくあるロイヤルミルクティーのような美味しい味が自宅で楽しめる。しかも、カフェインレスだから寝る前でもOK。冬の期間ずっとお世話になりました。そろそろ初夏になるのでリピ買いやめますが、また今年の冬シーズンにお世話になる予定。
2,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,soyura,2019年3月10日,4.0,簡単おいしい,授乳期に飲んでいます。とっても美味しいミルクティーが飲めるのでとても有り難いです。スティックタイプってないんですかね〜？パパに入れて貰うと毎回濃さが違うものが出来ちゃって（笑）
3,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,TimTam,2021年3月20日,3.0,美味しい,美味しいのですが、かなりの量を入れないと味がしないので、紅茶の風味を期待するとがっかりするかもしれまさん。でも商品自体はお湯を入れるだけで簡単なので、便利です。
4,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ゆん,2018年11月8日,5.0,甘くて美味しい,妊娠中に購入しました。優しい甘さでおいしく、くせがなくて飲みやすいです。カフェインレスなので妊娠中でも安心です。溶かしてすぐに飲めるので便利です。
5,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ずんどこずんどこ,2020年6月29日,2.0,紅茶の風味が弱いかな,妊娠中なので、デカフェ関連で探しました元々ミルクティー大好きなんですが、水で作るとちょっと薄く感じるかな？かといっていっぱい入れすぎて粉っぽいのもヤだし…牛乳などで作ると少しマシになるかも
6,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Amazon カスタマー,2020年2月21日,5.0,優しいあまさでおいしい,カフェインレスなので、夜に紅茶オレが飲みたい時に。優しい味なので子どもから御年配の方まで大丈夫そうです。甘さもちょうどいいですね。ジッパー付きで保管もしやすい。リピートしたいです。
7,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ＣＹＡＮ,2020年10月1日,5.0,水だと薄い味,店舗に置かなくなって残念2思っていましたが、ネットで見つけて思い切って購入してみました。以前飲んでいたのはノンカフェインのコーヒーだったので、ミルクティーはどうなのかなと思いましたが、とても美味しかったです。
8,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,みち,2020年7月11日,5.0,甘め,カフェインを摂りたくないけどミルクティーは飲みたい欲がとても満たされます。粉の量で濃さが調整できるのもいいですし、味がこっくりしてクリーミーでなにしろ美味しい！リピ買いしています。
9,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,東京の妖精ひとみん,2020年8月31日,4.0,アマアマがのみたいひとむけ,濃いめが好きで多めに入れて飲むと胃が荒れてしまうのが残念…なんでも適量が大切
10,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,どんたこす,2020年9月8日,5.0,クリーミーで甘さも満足。,甘い物が、欲しい時に飲んでいます^ ^美味しいです^ - ^
11,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ララララ,2020年7月10日,5.0,美味しいです,牛乳で割っても美味しく飲める。カフェインレスだったのがなお良し
12,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,仁美^_^,2019年2月13日,4.0,美味しい,お湯を注ぐだけですぐできて美味しいです。もう少し量が多ければ５つ星です。
13,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,MH.M,2019年4月4日,5.0,美味しく頂きました,他2社より苦みがなくてより甘さがある日東紅茶をポットに300入れておいてこれ小さじ1を60でわって飲んでる
14,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,天の川,2020年5月14日,5.0,美味しい！,私にとって、完璧な粉末飲料でした。
15,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Amazon カスタマー,2020年6月7日,5.0,最近はまってる,結構甘めですけれどスティックタイプと違って好きな量で飲めるので気に入っています
16,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,りんご,2018年3月3日,5.0,カフェインが過敏な方にはおすすめです。,他のカフェインレス紅茶を飲んだことがないので比較できませんが、次回もこの商品を購入したいと思える程の味でした。甘過ぎず、紅茶らしい味わいです。
17,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ゆっこちゃん,2019年6月22日,5.0,ノンカフェイン、人口甘味料不使用,お湯で溶かすだけで美味しく飲める☺甘さも私は丁度良い☺
18,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,唯,2020年4月11日,4.0,好みの味でした(ت),甘めなので、甘さ控えめで入れたいときはデカフェ紅茶で入れるとちょうど良かった。
19,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Amazon カスタマー,2018年4月10日,5.0,美味しい☺,妊娠中でカフェインレスの飲み物を色々買っていますが、これは大ヒットです！紅茶の味もミルクの味も砂糖の量も好みで、とっても美味しいです。カフェインレスにありがちな味や風味の違和感はありません。リピ買いしてます！
20,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,今日も今日とて,2019年1月6日,4.0,カフェイン控える時に,たっぷりあって、美味しいです。他の種類も買いました。色々と楽しんで居ます。
21,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,わらこ,2018年1月11日,5.0,とても美味しいです。,授乳中で３パック目リピです。甘いものが飲みたいときに良いです。
22,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,玉井ますみ,2019年3月11日,4.0,良かったです,手軽にいただける優しいドリンクで気に入っております。時々少し物足りなさを感じ過剰にパウダーを入れてしまいます。何か一つ風味にアクセントが加わるとよいのかもしれません。
23,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,２児のママ,2017年9月29日,5.0,美味しい。,美味しい！妊娠中から授乳期間、ミルクティー飲みたい時のために購入しました。水で溶いても、牛乳で溶いても美味しいです！
24,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,MERUMIL,2020年4月29日,5.0,甘くて美味しい,このミルクティーは、とっても美味しいから大好き❤売ってるお店がないからずっと探してて。久しぶりに見つけて飲んだらやっぱり美味しい‼️
25,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,購入,2020年4月20日,5.0,濃いめで,美味しかった！他製品と飲み比べましたが断トツに美味しかった！！
26,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,エリエリ,2020年8月4日,5.0,とにかく美味しい❗️,やさしくてマイルドでこくがあってすごく美味しい✨
27,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,obo,2017年4月21日,4.0,美味しかった！,ノンカフェインを探していて、でも紅茶系も飲みたくて買いました！ ミルクで溶かすと時々溶けなかったり(ミルクでもと書いてたので試しました)したので、そこが－☆です。薄めなので多く入れると体にはよくないのかなーと思いました。
28,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,さ,2017年4月12日,5.0,おいしい,飲みやすく何度もリピートして飲んでいます。毎朝甘いのを口にするとホッとします。
29,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,milk,2020年5月1日,5.0,ノンカフェイン,カフェインレスのミルクティーで、顆粒はあまりないのでリピしてます。ちょっと甘めですが、おすすめです。
30,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,茶色い紅茶,2019年12月14日,5.0,お気に入り,カフェインレスで美味しいのでリピート購入してます。甘いミルクティーです。
31,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,tana,2018年4月23日,5.0,カフェインレスで美味しい,妻が妊娠しており、カフェインレスのミルクティーを探していた所、とても美味しいものがみつかり良かったです。
32,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Amazon カスタマー,2019年12月16日,5.0,美味しい！,最高♡
33,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,mai,2019年1月13日,5.0,美味しい,美味しいです‼︎妊娠中の為リピ買いしてます。
34,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ひぃ,2016年6月27日,2.0,美味しすぎ！,うーんミルクティー風味な感じで悪いけど美味しくはないです、これならデカフェの紅茶の茶葉で自分で作ったほうがいいです、カフェイン無しでも添加物らしきものがたくさん入っていて体によくなさそう全部飲めなかった
35,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,りん,2016年11月17日,5.0,ノンカフェイン,少し薄く感じる時もありますが密封できる粉の水もお湯もOKなミルクティーは一年中使える物なので嬉しいです。カフェインレスなので時間を気にせず寝る前に少し何か飲みたいと思った時気軽に作れるのがいいです。友達へのちょっとした差入れにしましたがそちらも喜ばれました。
36,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,つばき,2017年6月26日,2.0,味が微妙,1〜2回飲んで終えました…甘いっす。妊娠中なので、体重管理中にはガブガブ飲めません。
37,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ミノサン,2018年6月1日,5.0,カフェインレスなのが嬉しい,レス商品は後味が気になる製品が多いけど、これも多少さらっとしてるとこあってきになるけど、味は美味しくてリピしてます。この前ミルク切らしてお湯で混ぜて飲んだけど、全然美味しかったです。
38,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,わかめ,2016年1月1日,5.0,甘い…,生クリームを使用した、パウダータイプのミルクティーです。密封チャック付きで、自立できるタイプの袋のため立てて置いておけておけます。粉もサラサラで飛び散らず、よく工夫されていると思います。ティーカップ1杯あたり、スプーン3杯(12g)のパウダーに120mlのお湯または水を入れて飲むため、約20杯飲むことができるとの事。スプーンは付属していないので、自宅にあるティースプーンを使用してすくう必要があります。ホットで飲んだところ、生クリームのコクがしっかり感じられ、午●の紅茶を甘さ控えめにしたようなまろやかな美味しい味だと思いました。ただ、個人的にはもう少し甘さがほしいと思ったため追加で蜂蜜を入れたところ、ちょうどよい甘さになりました。甘さが足りない分には自分で追加して調節できるため、甘すぎるよりも良いと思います。一方、水で溶かしてコールドでも飲んでみたところ、こちらはちょうどよい甘さで、さっぱりとしつつ程よいミルクのまろやかさが感じられ、とても美味しいと思いました。ホットよりもむしろコールドのほうが美味しいのではないかとさえ思えます。夏場は氷を入れて飲めば最高だと思います。水かお湯に溶かすだけで本格的な美味しいミルクティーが飲めるため便利な製品だと思います。なお、2016年1月1日に受け取りましたが賞味期限は2016年10月25日までと十分ありましたので、普段のお茶としてはもちろん、来客用に買っておくのもおすすめです。
39,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Anon,2016年1月13日,4.0,美味しい〜〜,この手のパウダータイプの紅茶飲料は、紅茶は申し訳程度でほとんど味を感じないものが多いのですが、さすが和光堂さん、しっかり紅茶味。そして、お湯で溶かしただけなのに、濃厚なミルク感。とても満足のするミルクティーが簡単に出来上がります。また、夜に飲むのに嬉しいカフェインレス。夜中にミルクティーを楽しみたくても、カフェインが気になって諦めて別の飲み物にすることもよくあるので、手軽でカフェインレス、そしてちゃんと紅茶味のするものは貴重です。ただ、好みの濃さにしようとすると、相当に甘くなる（笑/カップほぼ1/3ほど入れます）。もう少し甘さ控えタイプもあるとうれしいなぁと思います。
40,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,まつひろ,2016年1月3日,4.0,カフェインを摂りたくないひと、特に妊婦さんや授乳期のお母さんにオススメ,パウダータイプなのでマグカップにいっぱいでも、小さなカップでも自分で量を調節出来るので便利。紅茶の苦味は良くも悪くも全くなく、ミルク感が際立つミルクティーです。朝からコーヒーを何杯も飲むので、一日トータルのカフェイン量が気になるところ。こちらはカフェインレスなので寝る前でも目がさえることなく、安心して飲むことが出来ます。私には甘さも十分ありました。ミルクたっぷりで優しい飲み口でとても美味しいと思いました。
41,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,大怪獣,2016年1月3日,3.0,控えめな甘さ,普通においしいのですが、この普通というのが大事です。現在妊娠中の奥さんに飲んでもらいました。彼女は当然カフェインを控えなければなりません。なので普通に紅茶は楽しめない訳です。なお、カゼインナトリウムをカゼインに変更して欲しいです。リスクは後者の方が低いからです。そのため星を一つ減らしました。
42,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,candy31,2016年1月1日,4.0,カフェインレスでミルク感たっぷり,砂糖とクリーム感のほどよいやさしい甘味。クリーム感を出すために生クリームも使っています。カフェインレスなので夜に飲めるのがありがたい。以前こちらの別の商品を飲んだときは人口甘味料で不自然な甘さのものがありましたが、きちんと砂糖と生クリームをつかった本商品は非常に飲み易く、変に後味が残ることもなく、まさにやさしいミルクティーです。
43,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,casanegra,2016年1月4日,4.0,普通においしい,インスタントのココアやカフェオレはたいてい規定通りの水やお湯で作ると、なんか薄くて美味しくないしミルク感も薄まってるものが多いのですが。これは生クリームのコクのおかげで、お湯で作ってもちゃんとコクがありました。人工甘味料でなく砂糖を使っているので、ややカロリーが気になりますがせっかく飲むなら美味しいほうがいい！牛乳で作るとさらに美味しいです。カフェインレスで、妊産婦も子供も安心。スティックではないので、スプーンで取るのが面倒かと思いましたがむしろ、濃さや分量を調節できていいです。ただ、ちょーっと甘すぎるかな？子供にはちょうどいいと思います。大人としては、もう少し紅茶の風味というか、苦みがあってもいいのに、と思いました。
44,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,hiro,2016年5月28日,4.0,やさしい甘味とミルク感,ロイヤルミルクティーな感じですが、パンチが足りません？ミルクが重い感じです。ミルク感を薄めようとお湯を足すと紅茶の香りもものすっごく薄くなってしまいます。ミルクとティーのバランスが悪いと思うので、－☆1で。しかし、子供たちに安心して飲ませられるのが嬉しいです(o^^o)
45,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,ひらり,2016年1月4日,5.0,生クリームのコクがあるので、水やお湯で作っても美味しい。,私は体質的にコーヒーが飲めず、日頃、紅茶を愛飲しています。こちらのミルクティーは生クリーム入りの為、砂糖を少なめにしても十分でソフトな味わいを楽しんでいます。また、カフェイン含有量も少ないことから、授乳中の妻も含め家族みんなで飲めるので、今後愛用品になりそうです。
46,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,たあう,2016年2月16日,5.0,カフェインレスは嬉しい(o^^o),シンプルなミルクティーなので、ショウガを加えたり、シナモンを加えて、さらに味の変化を楽しめます。さらっとした粉末は、溶けやすくて、手軽に使えてよいです。私は、定量を使うと、甘すぎるので、少なめに使っています。
47,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,mu-cha,2016年1月1日,4.0,幼児から授乳中の女性まで家族皆で楽しめる,ホットでお湯で溶かして飲んでみました味はあまり期待してなかったのですがコンビニで売っている紅茶飲料によく似た味でとても美味しいです20杯分飲めるとあるのでコスパも優れていると思います
48,B015WA6X8K,牛乳屋さんのやさしいミルクティー,和光堂,Amazonカスタマー,2016年1月22日,5.0,ホッとできます,美味しいミルクティーです。この手のミルクティーでは一番おいしいのではないかと思いました。すぐに溶けるのがポイント高いです。変な甘さが無いので、寒い時期にはピッタリです。
