,ASIN,product,brand,name,date,score,title,comment
0,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2018年12月19日,5.0,包装なし…,とても美味しいですまずお湯を注ぐと甘く香る苺のフレーバーが楽しい気持ちにさせてくれます個人的にはキャラメルやバニラなどの甘いフレーバーはやや苦手なのですが、こちらは甘い香りでも果実っぽさと少しだけ爽やかさも感じ楽しめましたまた、私が普段フレーバーティーはアールグレイ系の物しか飲まないので驚いたのですがお茶自体の味わいがフレーバーティーにしては濃くキレがある様に感じました個人的には茶葉に最も合う飲み方はストレートかなと感じましたが砂糖を入れてもミルクティーでも大丈夫だと思います普段はフレーバーティーがメインでないブランドをよく飲んでいるのですが、違和感無く楽しめました一緒に飲んだ家族も喜び、パッケージも可愛いと言っていたので良い買い物でした
1,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ゆいか,2017年9月27日,5.0,普通？,このケースが欲しくて買いました。同じシリーズのくま柄のケースを持っていてとても使い勝手が良いのでもう一つ欲しくて買いました。ケースに封筒やチケットを入れて鞄に入れるのに丁度よいです。もちろん紅茶も美味しいです。
2,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),はい,2020年10月10日,1.0,苺フレーバーとしっかりした茶葉の味わい,マスクいれにも出来るし、と友人にもあげようと複数購入。全てのケースが傷だらけで、マスク入れる気にならない。その前に貰っても困惑するでしょう。中古？？と。定価ですし、買いに行ける方は、アマゾンではなく、店頭での購入がよいかと思います。特に贈り物としているならなおさらに。
3,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),lkogaus,2018年11月26日,5.0,ケースがかわいい,手頃な値段と可愛さ。メインのプレゼントに添える物として購入しました。パックなら使いやすいし、相手も困ることのないプレゼントかなと思います。自分で飲んでいないので香りや味は分かりかねますが、他のレビューを見るにおそらく紅茶にうるさい人が購入する商品ではないのかなと思います。あくまで可愛いちょっとしたプレゼント、です。
4,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),香取線香,2020年6月25日,5.0,傷だらけのケース,決してマニアックな紅茶ファンというわけではないので、その点だけご留意ください。ちょっとしたギフトを探していたときに、ウェッジウッドなる紅茶ブランドの商品を知人から勧められて検索。この商品は４種類の茶葉（パック）が同封されていた。箱のデザインも洒落ていてギフト向きだと思う。実際のお茶を試しに自分用で購入して淹れてみたところ、淹れた瞬間に香りの違いを感じた。普段そこまで良いものを飲んでいるわけでは無いので、余計にはっきりと違った。何にせよ、香りも良ければ味も良い、見た目も洒落ているということで、お勧めできる。
5,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),はる,2021年4月30日,3.0,手頃な贈り物に,ウェッジウッドの紅茶って、どんな味？と、好奇心で購入。パッケージがかわいいのは、評判どおりなので言及しない。私は味はよいと思っている。茶葉を入れたままマグカップで飲んでいても、飲み終わりが近づく頃の、苦味えぐみがなく、最後まで味が一定で、まろやかで飲みやすい。特にアールグレイは、ティーバックの封を切った瞬間からお湯を注ぐまで、茶葉の良い香りが続き、お湯を注ぐと、鼻からの香りというより、口で香りを感じられるようになるのが良い。ただ、紅茶に香りを求める人には、物足りないのでは、と思う。私もその一人だ。イチゴは封切り時、果汁感のあるとてもよい香りなのに、飲んでいる時に香りを感じられず、残念だった。他の２つは、香りも感じられず。ピクニックって、名前に期待しすぎたかなw
6,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2019年7月11日,5.0,お手軽でこのクオリティ,パッケージ目当てですが、紅茶自体もいちごの香りがして良い気分でいただけました。こちらでは紅茶はあまり評価が良くないですが、私は紅茶にそんなにこだわりがないので全然大丈夫です(ただし日東紅茶は口に合いませんでした)。パッケージの裏面に貼ってあるシールがもっと簡単に剥がせたら嬉しいです。
7,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ばな奈千代子,2020年5月20日,5.0,味はよい,誕生日や母の日などの贈り物に悩んだときにお世話になっております。丸い箱に４つに分けられて包装されています、ストロベリーの柄がとてもかわいいです。今まで3度注文させていただいていますが、私自身一度も飲んだことがない(体質で飲めないので、聞いた感想なのですが、部屋中にイチゴの香りが広がって、味もおいしいみたいです！これからも食器やお菓子を贈り物に選んだ時に、もう一つ何か欲しいときはまた選ばせていただくかもしれません。
8,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),あゆみ,2019年11月11日,4.0,とにかく可愛い,自分用と友人へのプレゼント用に買いました。写真通りの可愛いパッケージで友人にとても喜ばれました。ただし、プレゼント用の袋や包装は無いので、星4つとさせていただきます。アールグレイを試してみました。アルミパックを開けると、とても良い香りがしました。お味は上品でアッサリしていました。香りや味が強いのが苦手な人に向いていると思います。一番気にしていた賞味期限も2022年4月30日でした。これから4種類のテイストを楽しませていただきます。
9,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),uncle カスタマー,2021年1月4日,5.0,喜ばれるけど、割高な気がします,良く通っているお店の方へクリスマスプレゼントとして購入しました。パッケージがきれいで、特に包装することなくても、かわいいと喜んでいただけました。値段的にもプレゼントを受け取った側が気にするような値段でなく、渡す側も渡しやすいです。味については人によって好みの違いがありますが、当方はおいしくいただけました。相手に重く思ってほしくない方や、ちょっとしたプレゼント、お返し等に対して最適な商品であると思います。
10,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2020年5月11日,4.0,美味しくいただきました。,自分は紅茶を飲む時、砂糖の他、ミルクやレモンを使うのですが、これにはそういったモノが不必要、既にストロベリーの甘味が茶葉に付いているから、そこそこ高価い茶葉の中には渋みが強いせいなのか、味に癖のあるものもありますが、これはそれもない、呑み易いと思います。缶は贈呈用には良いのですが、個人的には大容量の袋タイプも在ったらいいな。と思ってます
11,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),アテナシ,2019年12月13日,1.0,プチギフトとして最適,缶の可愛さに釣られたけど、中身はひどい・・・ゲストどころか自分で飲んでもブーイング。もうアマゾンでは購入しない。
12,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ni-gi.oki,2021年3月13日,1.0,香り高く、余分なモノが要らない,包装が簡易すぎるためか外装のプラスチックの箱が潰れ、紅茶の包み紙も折れ曲がった状態で送られてきました。知人への贈り物として購入したため到底渡すことができる状態ではない上に返品もできずに泣き寝入りのような状態です。ギフトにと購入する方はご注意を
13,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),春ちゃん,2019年3月17日,3.0,味も香りも・・・,クリアファイルのようなパッケージ目当ての購入。品質表示のシールがベターッて頑丈に張り付いているので、剥がして使用することは想定外なのでしょうね。ではなぜこのタイプのパッケージなの、という素朴な疑問。
14,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ひまなひと,2020年5月7日,5.0,中身の質は贈り物に最適、しかし包装はぐちゃぐちゃです,すっかり飲みつけてしまったらやめられません。牛乳や豆乳で割ると更に美味。香りも良くて、香りが大切だということをあらためて解しました。一番のお気に入りは、赤い色のピクニック？ですね。
15,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),CHIANTI,2019年7月23日,5.0,当然おいしいです,妻の誕生日に買いました。かれこれ数年間買っているでしょうか？私自身は飲んだことが無いので味の評価は出来ませんが、あまりプレゼントを好まない妻が、これだけは喜んでくれるので美味しいんだと思います。ただ、たまにamazonさんで「取り扱いなし」となってしまうところが残念ではありますが…
16,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),みゆ,2020年5月22日,4.0,良かったです,ちょっとした御礼に手頃な商品を準備したいのにすぐに出かけられない時にもアマゾンで注文しておけば遅くても数日で届くので、便利。いくつか常備しておけばなお安心。プレゼント包装にはなっていないですが、そもそも外装がオシャレなので、百均のりボンでもをつけてプレゼントバックに入れれば十分立派になります。
17,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ぱん,2020年1月21日,3.0,いちご🍓,値段のわりにたいしたことない。風味もそんなによくない。可愛いパッケージだけ気に入った
18,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ちゃらもん,2019年10月8日,4.0,プチプラで常備。,ジューシーなストロベリーというより、しつこめな香料という感じのストロベリーの香りですが、ウェッジウッド紅茶の中では唯一おいしいと思っています。不快な苦味やえぐみもあまり感じないので飲みやすいです。
19,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),amazonレビュー,2021年2月25日,5.0,パケのみ可愛い,母が紅茶好き&ウェッジウッド好きなので、これは最適と思い購入し、プレゼントしました。香りも良く、美味しいみたいで気に入ってくれました。ちょっとしたプレゼントにいいなと思います。
20,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),もふにゃむ,2021年6月17日,5.0,人工的な香りだけれど飲みたくなる,蓋の中は、中蓋無しでアルミパックに紅茶が入ってます。開封時、お湯入れ時、飲んだ時、全てに自然な苺の香りがして美味しい。缶目当てで、買いましたが缶も、可愛くて使いやすい。
21,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),赤錆,2020年8月30日,4.0,母へのプレゼントに！,最初、缶を開けた瞬間は香りが強いかな？と思いましたが、飲んでみたら苦みが無く、ちょうど良い香りで飲みやすかったです。コスパ良し！！配送中のアクシデントなのか、缶の蓋が潰れていました。贈答用には厳しいです。
22,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2021年6月2日,5.0,美味しくて、缶が素敵,ミルクティーにしたらかなり美味しくてびっくり！バニラアイスとかスイーツ系と相性バッチリで、大発見でした！ぜひ試してください！
23,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),キャメロン,2018年12月3日,5.0,コスパ良し！,甘みのある香りで味もしっかりしているので、蜂蜜たっぷりのミルクティーにすることが多いです。使用後の茶葉も、良い香りが残っているのでちょっとしたシンクの芳香剤状態です。
24,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),伊達　愛,2020年6月13日,5.0,プレゼント用に購入。,以前プレゼントしていただいた事があり、ブランドも好きで品質の良さはわかっていました。今回はちょっとしたお礼用に購入しました。さりげなくセンスの良さが感じられ、プチギフトに最適でした。
25,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2021年2月18日,3.0,自分用に購入しました,単品で購入する事をオススメします1kg超えの商品とそのまま箱に同梱されてたので、手元に届いた時にはボコボコでした
26,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),usagi,2020年6月7日,5.0,ケースも素敵です！,ホワイトデーのプチお返しに購入。味は分かりませんがすごい喜ばれました。
27,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),ぴか市,2021年1月12日,5.0,Amazon配送は注意,香りがストロベリーの香りと紅茶の香りで女性は癒されるかも甘いスィーツと合いますね。上品な味で美味しいです。
28,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),At,2019年2月28日,5.0,ホワイトデーのプチお返しに,バレンタインデーに、チョコレートに添えてお渡ししました。「センスがいい！」ととても好評でした！また、自分用にも購入しましたが、美味しくて気に入りました♪
29,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),pink,2021年4月6日,5.0,香りよく美味しかった☆,ホワイトデーに使いました。見た目も良かったです。味は知っているので　きっと喜ばれると思い選びました。
30,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),槇 里緒菜,2021年5月14日,5.0,褒められプチギフト,引っ越しのご挨拶に購入しました。オシャレだし喜んでもらえたとおもいます＼(^o^)／
31,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2019年12月9日,5.0,円形の箱が可愛いと思いました。,ずっと昔飲んだ木苺の紅茶に似たものを探していました。まさにこれ！すっごいイチゴ！本当にしっかりイチゴ！(笑)おいしいー！
32,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),チキチキ,2017年9月29日,3.0,悩んだ時にぴったりです。,かわいいケースで贈り物に向いています。ティーバッグは、クセがなく飲みやすい味でした。ですが、高級な紅茶の味を期待しているとガッカリするかも。
33,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),toko,2020年5月16日,5.0,色々な味が楽しめた,友達や、知り合いへのちょっとしたお礼やお返しに購入しました。紅茶も、上品なお味と香りだし、パッケージも可愛いので、マスクやチケット入れに使えると好評でした。
34,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),apple-pop,2021年4月29日,5.0,贈り物に,友達に、プレゼントに買いました。値段的にも、丁度いいです。
35,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon カスタマー,2020年6月19日,5.0,パッケージが可愛い,Very delicate aroma of strawberries. The delicate taste of strawberries is felt. Beautiful packaging
36,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),you,2021年6月19日,2.0,プレゼント,紅茶にハマっていて今まで飲んだことがないので購入して見ました。とても上品な味ですっきりと飲むことができました。色んなフレーバーが楽しめたので毎日飲むのが楽しみでした。もう少し沢山入っていたらもっと満足だった様に思います。
37,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),Amazon Customer,2021年2月23日,5.0,tasty tea,ワイルドストロベリー柄のクリアファイルに入っているので、紅茶を楽しんだ後、マスクケースに利用出来て、ちょっとした手土産やプレゼントに重宝します。
38,B016MGH35K,ワイルド ストロベリー ティーバッグ(9袋入),Wedgwood(ウェッジウッド),深川麻衣子,2019年2月4日,3.0,包装が素敵,プチプレゼントに購入しました。見た目が可愛いです。味は飲んでいないのでわかりません。
